G70001	Ἀαρών	aarōn	aaron	Aaron
G71166	δειλός	deilos	ðiylos	afraid
G71167	δεῖνα	deina	ðiyna	a certain one
G71168	δεινῶς	deinōs	ðiynos	terribly
G71169	δειπνέω	deipneō	ðiypneo	to eat supper
G71170	δεῖπνον	deipnon	ðiypnon	banquet
G71171	δεισιδαιμονία	deisidaimonia	ðiysiyðemoniya	religion
G71172	δεισιδαίμων	deisidaimōn	ðiysiyðemon	religious
G71173	δέκα	deka	ðeka	ten
G71174	δεκαοκτώ	dekaoktō	ðekaokto	eighteen
G71175	δεκαπέντε	dekapente	ðekapente	fifteen
G71176	Δεκάπολις	dekapolis	ðekapoliys	Decapolis
G71177	δεκατέσσαρες	dekatessares	ðekatessares	fourteen
G71178	δεκάτη	dekatē	ðekatiy	tenth
G71179	δέκατος	dekatos	ðekatos	tenth
G71180	δεκατόω	dekatoō	ðekatoo	to collect a tenth
G71181	δεκτός	dektos	ðektos	acceptable
G71182	δελεάζω	deleazō	ðeleazo	to entice
G71183	δένδρον	dendron	ðenðron	tree
G71184	δεξιολάβος	dexiolabos	ðeksiyolavos	spearman
G71185	δεξιός	dexios	ðeksiyos	right
G71186	δέομαι	deomai	ðeome	to pray
G71187	δέος	deos	ðeos	awe
G71188	Δερβαῖος	derbaios	ðerveos	from Derbe
G71189	Δέρβη	derbē	ðerviy	Derbe
G71190	δέρμα	derma	ðerma	skin
G71191	δερμάτινος	dermatinos	ðermatiynos	made of leather
G71192	δέρω	derō	ðero	to beat up
G71193	δεσμεύω	desmeuō	ðezmevo	to tie up
G71194	δέσμη	desmē	ðezmiy	bundle
G71195	δέσμιος	desmios	ðezmiyos	prisoner
G71196	δεσμόν	desmon	ðezmon	chain
G71197	δεσμός	desmos	ðezmos	chain
G71198	δεσμοφύλαξ	desmophylax	ðezmofiylaks	jailer
G71199	δεσμωτήριον	desmōtērion	ðezmotiyriyon	prison
G71200	δεσμώτης	desmōtēs	ðezmotiys	prisoner
G71201	δεσπότης	despotēs	ðespotiys	master
G71202	δεῦρο	deuro	ðevro	come
G71203	δεῦτε	deute	ðefte	come
G71204	δευτεραῖος	deuteraios	ðeftereos	on the following day
G71205	δεύτερος	deuteros	ðefteros	second
G71206	δέχομαι	dechomai	ðekhome	to welcome
G71207	δέω	deō	ðeo	to tie
G71208	δή	dē	ðiy	indeed
G71209	δῆλος	dēlos	ðiylos	clear
G71210	δηλόω	dēloō	ðiyloo	to make clear
G71211	Δημᾶς	dēmas	ðiymas	Demas
G71212	δημηγορέω	dēmēgoreō	ðiymiygoreo	to deliver a public address
G71213	Δημήτριος	dēmētrios	ðiymiytriyos	Demetrius
G71214	δημιουργός	dēmiourgos	ðiymiyurgos	builder
G71215	δῆμος	dēmos	ðiymos	people
G71216	δημόσιος	dēmosios	ðiymosiyos	public
G71217	δηνάριον	dēnarion	ðiynariyon	denarius
G71218	δήπου	dēpou	ðiypu	surely
G71219	διά	dia	ðiya	through
G71220	διαβαίνω	diabainō	ðiyaveno	to pass through
G71221	διαβάλλω	diaballō	ðiyavallo	to inform against
G71222	διαβεβαιόομαι	diabebaioomai	ðiyaveveoome	to confidently affirm
G71223	διαβλέπω	diablepō	ðiyavlepo	to see clearly
G71224	διάβολος	diabolos	ðiyavolos	devilish
G71225	Διάβολος	diabolos	ðiyavolos	devilish
G71226	διαγγέλλω	diangellō	ðiyanggello	to proclaim
G71227	διαγίνομαι	diaginomai	ðiyayiynome	to pass
G71228	διαγινώσκω	diaginōskō	ðiyayiynosko	to determine
G71229	διάγνωσις	diagnōsis	ðiyagnosiys	decision
G71230	διαγογγύζω	diagongyzō	ðiyagonggiyzo	to mutter
G71231	διαγρηγορέω	diagrēgoreō	ðiyagriygoreo	to become fully awake
G71232	διάγω	diagō	ðiyago	to live
G71233	διαδέχομαι	diadechomai	ðiyaðekhome	to receive
G71234	διάδημα	diadēma	ðiyaðiyma	crown
G71235	διαδίδωμι	diadidōmi	ðiyaðiyðomiy	to distribute
G71236	διάδοχος	diadochos	ðiyaðokhos	successor
G71237	διαζώννυμι	diazōnnymi	ðiyazonniymiy	to wrap around
G71238	διαθήκη	diathēkē	ðiyaθiykiy	covenant
G71239	διαίρεσις	diairesis	ðiyeresiys	difference
G71240	διαιρέω	diaireō	ðiyereo	to divide
G71241	διακαθαίρω	diakathairō	ðiyakaθero	to clear out
G71242	διακαθαρίζω	diakatharizō	ðiyakaθariyzo	to clear out
G71243	διακατελέγχομαι	diakatelenchomai	ðiyakatelengghome	to refute
G71244	διακονέω	diakoneō	ðiyakoneo	to serve
G71245	διακονία	diakonia	ðiyakoniya	ministry
G71246	διάκονος	diakonos	ðiyakonos	servant
G71247	διακόσιοι	diakosioi	ðiyakosiyiy	two hundred
G71248	διακούω	diakouō	ðiyakuo	to give a hearing
G71249	διακρίνω	diakrinō	ðiyakriyno	to make a distinction
G71250	διάκρισις	diakrisis	ðiyakriysiys	distinguishing
G71251	διακωλύω	diakōlyō	ðiyakoliyo	to deter
G71252	διαλαλέω	dialaleō	ðiyalaleo	to talk about
G71253	διαλέγομαι	dialegomai	ðiyalegome	to reason
G71254	διαλείπω	dialeipō	ðiyaliypo	to stop
G71255	διάλεκτος	dialektos	ðiyalektos	language
G71256	διαλλάσσομαι	diallassomai	ðiyallassome	to become reconciled
G71257	διαλογίζομαι	dialogizomai	ðiyaloyiyzome	to think
G71258	διαλογισμός	dialogismos	ðiyaloyiyzmos	thought
G71259	διαλύω	dialyō	ðiyaliyo	to disperse
G71260	διαμαρτύρομαι	diamartyromai	ðiyamartiyrome	to warn, testify
G71261	διαμάχομαι	diamachomai	ðiyamakhome	to argue vigorously
G71262	διαμένω	diamenō	ðiyameno	to remain
G71263	διαμερίζω	diamerizō	ðiyameriyzo	to divide
G71264	διαμερισμός	diamerismos	ðiyameriyzmos	division
G71265	διανέμω	dianemō	ðiyanemo	to be spread
G71266	διανεύω	dianeuō	ðiyanevo	to make signs
G71267	διανόημα	dianoēma	ðiyaniyma	thought
G71268	διάνοια	dianoia	ðiyaniya	mind
G71269	διανοίγω	dianoigō	ðiyaniygo	to open
G71270	διανυκτερεύω	dianyktereuō	ðiyaniykterevo	to spend the night
G71271	διανύω	dianyō	ðiyaniyo	to continue
G71272	διαπαρατριβή	diaparatribē	ðiyaparatriyviy	constant friction
G71273	διαπεράω	diaperaō	ðiyaperao	to cross over
G71274	διαπλέω	diapleō	ðiyapleo	to sail across
G71275	διαπονέομαι	diaponeomai	ðiyaponeome	to be greatly disturbed
G71276	διαπορεύομαι	diaporeuomai	ðiyaporevome	to go through
G71277	διαπορέω	diaporeō	ðiyaporeo	to be perplexed
G71278	διαπραγματεύομαι	diapragmateuomai	ðiyapragmatevome	to gain
G71279	διαπρίομαι	diapriomai	ðiyapriyome	to be furious
G71280	διαρπάζω	diarpazō	ðiyarpazo	to rob
G71281	διαρρήγνυμι	diarrēgnymi	ðiyarriygniymiy	to tear
G71282	διασαφέω	diasapheō	ðiyasafeo	to tell
G71283	διασείω	diaseiō	ðiyasiyo	to extort money
G71284	διασκορπίζω	diaskorpizō	ðiyaskorpiyzo	to scatter
G71285	διασπάω	diaspaō	ðiyaspao	to be torn to pieces
G71286	διασπείρω	diaspeirō	ðiyaspiyro	to be scattered
G71287	διασπορά	diaspora	ðiyaspora	scattering
G71288	διαστέλλομαι	diastellomai	ðiyastellome	to give orders
G71289	διάστημα	diastēma	ðiyastiyma	later time
G71290	διαστολή	diastolē	ðiyastoliy	difference
G71291	διαστρέφω	diastrephō	ðiyastrefo	to subvert
G71292	διασῴζω	diasōzō	ðiyasozo	save
G71293	διαταγή	diatagē	ðiyatayiy	putting into effect
G71294	διάταγμα	diatagma	ðiyatagma	edict
G71295	διαταράσσω	diatarassō	ðiyatarasso	to be greatly troubled
G71296	διατάσσω	diatassō	ðiyatasso	to command
G71297	διατελέω	diateleō	ðiyateleo	to continue
G71298	διατηρέω	diatēreō	ðiyatiyreo	to keep
G71299	διατίθεμαι	diatithemai	ðiyatiyθeme	to make a covenant
G71300	διατρίβω	diatribō	ðiyatriyvo	to stay
G71301	διατροφή	diatrophē	ðiyatrofiy	food
G71302	διαυγάζω	diaugazō	ðiyavgazo	to dawn
G71303	διαυγής	diaugēs	ðiyavyiys	transparent
G71304	διαφέρω	diapherō	ðiyafero	to carry
G71305	διαφεύγω	diapheugō	ðiyafevgo	to escape
G71306	διαφημίζω	diaphēmizō	ðiyafiymiyzo	to spread news about
G71307	διαφθείρω	diaphtheirō	ðiyafθiyro	to destroy
G71308	διαφθορά	diaphthora	ðiyafθora	decay
G71309	διάφορος	diaphoros	ðiyaforos	different
G71310	διαφυλάσσω	diaphylassō	ðiyafiylasso	to guard carefully
G71311	διαχειρίζομαι	diacheirizomai	ðiyakhiyriyzome	to kill
G71312	διαχλευάζω	diachleuazō	ðiyakhlevazo	to make fun of
G71313	διαχωρίζομαι	diachōrizomai	ðiyakhoriyzome	to be separated
G71314	διδακτικός	didaktikos	ðiyðaktiykos	able to teach
G71315	διδακτός	didaktos	ðiyðaktos	taught
G71316	διδασκαλία	didaskalia	ðiyðaskaliya	teaching
G71317	διδάσκαλος	didaskalos	ðiyðaskalos	teacher
G71318	διδάσκω	didaskō	ðiyðasko	to teach
G71319	διδαχή	didachē	ðiyðakhiy	teaching
G71320	δίδραχμον	didrachmon	ðiyðrakhmon	two-drachma
G71321	Δίδυμος	didymos	ðiyðiymos	Didymus
G71322	δίδωμι	didōmi	ðiyðomiy	to give
G71323	διεγείρω	diegeirō	ðiyeyiyro	to get up
G71324	διενθυμέομαι	dienthymeomai	ðiyenθiymeome	to think
G71325	διέξοδος	diexodos	ðiyeksoðos	corner
G71326	διερμηνευτής	diermēneutēs	ðiyermiyneftiys	interpreter
G71327	διερμηνεύω	diermēneuō	ðiyermiynevo	to interpret
G71328	διέρχομαι	dierchomai	ðiyerkhome	to go through
G71329	διερωτάω	dierōtaō	ðiyerotao	to find out
G71330	διετής	dietēs	ðiyetiys	two years old
G71331	διετία	dietia	ðiyetiya	two years
G71332	διηγέομαι	diēgeomai	ðiyiyyeome	to tell
G71333	διήγησις	diēgēsis	ðiyiyyiysiys	account
G71334	διηνεκής	diēnekēs	ðiyiynekiys	forever
G71335	διθάλασσος	dithalassos	ðiyθalassos	sandbar
G71336	διϊκνέομαι	diikneomai	ðiyiykneome	to penetrate
G71337	διΐστημι	diistēmi	ðiyiystiymiy	to leave
G71338	διϊσχυρίζομαι	diischyrizomai	ðiyiyskhiyriyzome	to assert
G71339	δικαιοκρισία	dikaiokrisia	ðiykeokriysiya	righteous judgment
G71340	δίκαιος	dikaios	ðiykeos	right
G71341	δικαιοσύνη	dikaiosynē	ðiykeosiyniy	righteousness
G71342	δικαιόω	dikaioō	ðiykeoo	to justify
G71343	δικαίωμα	dikaiōma	ðiykeoma	regulation
G71344	δικαίως	dikaiōs	ðiykeos	justly
G71345	δικαίωσις	dikaiōsis	ðiykeosiys	justification
G71346	δικαστής	dikastēs	ðiykastiys	judge
G71347	δίκη	dikē	ðiykiy	punishment
G71348	δίκτυον	diktyon	ðiyktiyon	net
G71349	δίλογος	dilogos	ðiylogos	insincere
G71350	διό	dio	ðiyo	therefore
G71351	διοδεύω	diodeuō	ðiyoðevo	to go through
G71352	Διονύσιος	dionysios	ðiyoniysiyos	Dionysius
G71353	διόπερ	dioper	ðiyoper	therefore
G71354	διοπετής	diopetēs	ðiyopetiys	fallen from heaven
G71355	διόρθωμα	diorthōma	ðiyorθoma	reform
G71356	διόρθωσις	diorthōsis	ðiyorθosiys	a new order
G71357	διορύσσω	dioryssō	ðiyoriysso	to break in
G71358	Διόσκουροι	dioskouroi	ðiyoskuriy	Dioscuri
G71359	διότι	dioti	ðiyotiy	therefore
G71360	Διοτρέφης	diotrephēs	ðiyotrefiys	Diotrephes
G71361	διπλοῦς	diplous	ðiyplus	double
G71362	διπλόω	diploō	ðiyploo	to double
G71363	δίς	dis	ðiys	twice
G71364	δισμυριάς	dismyrias	ðiyzmiyriyas	twenty thousand
G71365	διστάζω	distazō	ðiystazo	to doubt
G71366	δίστομος	distomos	ðiystomos	double-edged
G71367	δισχίλιοι	dischilioi	ðiyskhiyliyiy	two thousand
G71368	διϋλίζω	diylizō	ðiyiyliyzo	to strain out
G71369	διχάζω	dichazō	ðiykhazo	to turn
G71370	διχοστασία	dichostasia	ðiykhostasiya	division
G71371	διχοτομέω	dichotomeō	ðiykhotomeo	to cut to pieces
G71372	διψάω	dipsaō	ðiypsao	to be thirsty
G71373	δίψος	dipsos	ðiypsos	thirst
G71374	δίψυχος	dipsychos	ðiypsiykhos	double-minded
G71375	διωγμός	diōgmos	ðiyogmos	persecution
G71376	διώκτης	diōktēs	ðiyoktiys	persecutor
G71377	διώκω	diōkō	ðiyoko	to pursue
G71378	δόγμα	dogma	ðogma	decree
G71379	δογματίζομαι	dogmatizomai	ðogmatiyzome	to submit to a rule
G71380	δοκέω	dokeō	ðokeo	to think
G71381	δοκιμάζω	dokimazō	ðokiymazo	to test
G71382	δοκιμασία	dokimasia	ðokiymasiya	testing
G71383	δοκιμή	dokimē	ðokiymiy	character
G71384	δοκίμιον	dokimion	ðokiymiyon	testing
G71385	δόκιμος	dokimos	ðokiymos	approved by testing
G71386	δοκός	dokos	ðokos	plank
G71387	δόλιος	dolios	ðoliyos	deceitful
G71388	δολιόω	dolioō	ðoliyoo	to practice deceit
G71389	δόλος	dolos	ðolos	deceit
G71390	δολόω	doloō	ðoloo	to distort
G71391	δόμα	doma	ðoma	gift
G71392	δόξα	doxa	ðoksa	glory
G71393	δοξάζω	doxazō	ðoksazo	to glorify
G71394	Δορκάς	dorkas	ðorkas	Dorcas
G71395	δόσις	dosis	ðosiys	gift
G71396	δότης	dotēs	ðotiys	giver
G71397	δουλαγωγέω	doulagōgeō	ðulagoyeo	to enslave
G71398	δουλεία	douleia	ðuliya	slavery
G71399	δουλεύω	douleuō	ðulevo	to serve
G71400	δούλη	doulē	ðuliy	female servant
G71401	δοῦλος	doulos	ðulos	servant
G71402	δουλόω	douloō	ðuloo	to enslave
G71403	δοχή	dochē	ðokhiy	banquet
G71404	δράκων	drakōn	ðrakon	dragon
G71405	δράσσομαι	drassomai	ðrassome	to catch
G71406	δραχμή	drachmē	ðrakhmiy	silver coin
G71407	δρέπανον	drepanon	ðrepanon	sickle
G71408	δρόμος	dromos	ðromos	race
G71409	Δρούσιλλα	drousilla	ðrusiylla	Drusilla
G71410	δύναμαι	dynamai	ðiyname	to be able
G71411	δύναμις	dynamis	ðiynamiys	power
G71412	δυναμόω	dynamoō	ðiynamoo	to be strengthened
G71413	δυνάστης	dynastēs	ðiynastiys	ruler
G71414	δυνατέω	dynateō	ðiynateo	to be able
G71415	δυνατός	dynatos	ðiynatos	possible
G71416	δύνω	dynō	ðiyno	to set
G71417	δύο	dyo	ðiyo	two
G71418	δυσβάστακτος	dysbastaktos	ðiyzvastaktos	hard to carry
G71419	δυσεντέριον	dysenterion	ðiysenteriyon	dysentery
G71420	δυσερμήνευτος	dysermēneutos	ðiysermiyneftos	hard to explain
G71421	δύσις	dysis	ðiysiys	west
G71422	δύσκολος	dyskolos	ðiyskolos	hard
G71423	δυσκόλως	dyskolōs	ðiyskolos	hardly
G71424	δυσμή	dysmē	ðiyzmiy	west
G71425	δυσνόητος	dysnoētos	ðiyzniytos	hard to understand
G71426	δυσφημέω	dysphēmeō	ðiysfiymeo	to be slandered
G71427	δυσφημία	dysphēmia	ðiysfiymiya	bad report
G71428	δώδεκα	dōdeka	ðoðeka	twelve
G71429	δωδέκατος	dōdekatos	ðoðekatos	twelfth
G71430	δωδεκάφυλον	dōdekaphylon	ðoðekafiylon	twelve tribes
G71431	δῶμα	dōma	ðoma	a house;
G71432	δωρεά	dōrea	ðorea	gift
G71433	δωρεάν	dōrean	ðorean	freely
G71434	δωρέομαι	dōreomai	ðoreome	to give
G71435	δώρημα	dōrēma	ðoriyma	gift
G71436	δῶρον	dōron	ðoron	gift
G71437	ἔα	ea	ea	ha!
G71438	ἐάν	ean	ean	if
G71439	ἐάνπερ	eanper	eanper	if
G71440	ἑαυτοῦ	heautou	eaftu	himself
G71441	ἐάω	eaō	eao	to let
G71442	ἑβδομήκοντα	hebdomēkonta	evðomiykonta	seventy
G71443	ἑβδομηκοντάκις	hebdomēkontakis	evðomiykontakiys	seventy times
G71444	ἕβδομος	hebdomos	evðomos	seventh
G71445	Ἔβερ	eber	ever	Eber
G71446	Ἑβραῖος	hebraios	evreos	a Hebrew
G71447	Ἑβραΐς	hebrais	evraiys	Aramaic
G71448	Ἑβραϊστί	hebraisti	evraiystiy	in Aramaic
G71449	ἐγγίζω	engizō	enggiyzo	come near
G71450	ἐγγράφω	engraphō	enggrafo	to write in
G71451	ἔγγυος	engyos	enggiyos	guarantee
G71452	ἐγγύς	engys	enggiys	near
G71453	ἐγγύτερον	engyteron	enggiyteron	nearer
G71454	ἐγείρω	egeirō	eyiyro	to arise
G71455	ἔγερσις	egersis	eyersiys	resurrection
G71456	ἐγκάθετος	enkathetos	enggaθetos	spy
G71457	ἐγκαίνια	enkainia	enggeniya	Feast of Dedication
G71458	ἐγκαινίζω	enkainizō	enggeniyzo	to be put into effect
G71459	ἐγκακέω	enkakeō	enggakeo	to give up
G71460	ἐγκαλέω	enkaleō	enggaleo	to bring charges
G71461	ἐγκαταλείπω	enkataleipō	enggataliypo	to forsake
G71462	ἐγκατοικέω	enkatoikeō	enggatiykeo	to live among
G71463	ἐγκαυχάομαι	enkauchaomai	enggafkhaome	to boast
G71464	ἐγκεντρίζω	enkentrizō	enggentriyzo	to graft into
G71465	ἔγκλημα	enklēma	enggliyma	charge
G71466	ἐγκομβόομαι	enkomboomai	enggomvoome	to clothe with
G71467	ἐγκοπή	enkopē	enggopiy	hinderance
G71468	ἐγκόπτω	enkoptō	enggopto	to hinder
G71469	ἐγκράτεια	enkrateia	enggratiya	self-control
G71470	ἐγκρατεύομαι	enkrateuomai	enggratevome	to have control
G71471	ἐγκρατής	enkratēs	enggratiys	disciplined
G71472	ἐγκρίνω	enkrinō	enggriyno	to classify
G71473	ἐγκρύπτω	enkryptō	enggriypto	to mix
G71474	ἔγκυος	enkyos	enggiyos	pregnant
G71475	ἐγχρίω	enchriō	engghriyo	to put on
G71476	ἐγώ	egō	ego	I
G71477	ἐδαφίζω	edaphizō	eðafiyzo	to dash to the ground
G71478	ἔδαφος	edaphos	eðafos	ground
G71479	ἑδραῖος	hedraios	eðreos	firm
G71480	ἑδραίωμα	hedraiōma	eðreoma	foundation
G71481	Ἑζεκίας	hezekias	ezekiyas	Hezekiah
G71482	ἐθελοθρησκία	ethelothrēskia	eθeloθriyskiya	self-imposed religion
G71483	ἐθίζω	ethizō	eθiyzo	to be accustomed
G71484	ἐθνάρχης	ethnarchēs	eθnarkhiys	governor
G71485	ἐθνικός	ethnikos	eθniykos	pagan
G71486	ἐθνικῶς	ethnikōs	eθniykos	ike a Gentile,
G71487	ἔθνος	ethnos	eθnos	Gentile
G71488	ἔθος	ethos	eθos	custom
G71489	εἰ	ei	iy	if
G71490	εἰδέα	eidea	iyðea	appearance
G71491	εἶδος	eidos	iyðos	form
G71492	εἰδωλεῖον	eidōleion	iyðoliyon	temple of an idol
G71493	εἰδωλόθυτον	eidōlothyton	iyðoloθiyton	sacrificed to idols
G71494	εἰδωλολάτρης	eidōlolatrēs	iyðololatriys	idolater
G71495	εἰδωλολατρία	eidōlolatria	iyðololatriya	idolatry
G71496	εἴδωλον	eidōlon	iyðolon	idol
G71497	εἰκῇ	eikē	iykiy	in vain
G71498	εἴκοσιν	eikosin	iykosiyn	twenty
G71499	εἴκω	eikō	iyko	to give in
G71500	εἰκών	eikōn	iykon	image
G71501	εἰλικρίνεια	eilikrineia	iyliykriyniya	sincerity
G71502	εἰλικρινής	eilikrinēs	iyliykriyniys	pure
G71503	εἰμί	eimi	iymiy	to be
G71504	εἵνεκεν	heineken	iyneken	because of
G71505	εἴπερ	eiper	iyper	if indeed
G71506	εἰρηνεύω	eirēneuō	iyriynevo	to live in peace
G71507	εἰρήνη	eirēnē	iyriyniy	peace
G71508	εἰρηνικός	eirēnikos	iyriyniykos	peace-loving
G71509	εἰρηνοποιέω	eirēnopoieō	iyriynopiyeo	to make peace
G71510	εἰρηνοποιός	eirēnopoios	iyriynopiyos	peacemaker
G71511	εἰς	eis	iys	to
G71512	εἷς	heis	iys	one
G71513	εἰσάγω	eisagō	iysago	to bring in
G71514	εἰσακούω	eisakouō	iysakuo	to be heard
G71515	εἰσδέχομαι	eisdechomai	iyzðekhome	to receive
G71516	εἴσειμι	eiseimi	iysiymiy	to go in
G71517	εἰσέρχομαι	eiserchomai	iyserkhome	to go in
G71518	εἰσκαλέομαι	eiskaleomai	iyskaleome	to invite into
G71519	εἴσοδος	eisodos	iysoðos	entering
G71520	εἰσπηδάω	eispēdaō	iyspiyðao	to rush in
G71521	εἰσπορεύομαι	eisporeuomai	iysporevome	to go in
G71522	εἰστρέχω	eistrechō	iystrekho	to run in
G71523	εἰσφέρω	eispherō	iysfero	to bring in
G71524	εἶτα	eita	iyta	then
G71525	εἴτε	eite	iyte	if
G71526	εἴωθα	eiōtha	iyoθa	to have a custom
G71527	ἐκ	ek	ek	of
G71528	ἕκαστος	hekastos	ekastos	each
G71529	ἑκάστοτε	hekastote	ekastote	always
G71530	ἑκατόν	hekaton	ekaton	hundred
G71531	ἑκατονταετής	hekatontaetēs	ekatontaetiys	a hundred years old
G71532	ἑκατονταπλασίων	hekatontaplasiōn	ekatontaplasiyon	a hundred times
G71533	ἑκατοντάρχης	hekatontarchēs	ekatontarkhiys	centurion
G71534	ἑκατόνταρχος	hekatontarchos	ekatontarkhos	centurion
G71535	ἐκβαίνω	ekbainō	ekveno	to leave
G71536	ἐκβάλλω	ekballō	ekvallo	to take out
G71537	ἔκβασις	ekbasis	ekvasiys	way out
G71538	ἐκβολή	ekbolē	ekvoliy	throwing out
G71539	ἔκγονον	ekgonon	ekgonon	grandchild
G71540	ἐκδαπανάομαι	ekdapanaomai	ekðapanaome	to be completely expended
G71541	ἐκδέχομαι	ekdechomai	ekðekhome	to wait for
G71542	ἔκδηλος	ekdēlos	ekðiylos	clear
G71543	ἐκδημέω	ekdēmeō	ekðiymeo	to be away
G71544	ἐκδίδωμι	ekdidōmi	ekðiyðomiy	to rent
G71545	ἐκδιηγέομαι	ekdiēgeomai	ekðiyiyyeome	to tell
G71546	ἐκδικέω	ekdikeō	ekðiykeo	to avenge
G71547	ἐκδίκησις	ekdikēsis	ekðiykiysiys	justice
G71548	ἔκδικος	ekdikos	ekðiykos	punishing
G71549	ἐκδιώκω	ekdiōkō	ekðiyoko	to drive out
G71550	ἔκδοτος	ekdotos	ekðotos	handed over
G71551	ἐκδοχή	ekdochē	ekðokhiy	expectation
G71552	ἐκδύω	ekdyō	ekðiyo	to strip off clothing
G71553	ἐκεῖ	ekei	ekiy	there
G71554	ἐκεῖθεν	ekeithen	ekiyθen	from there
G71555	ἐκεῖνος	ekeinos	ekiynos	that
G71556	ἐκεῖσε	ekeise	ekiyse	there
G71557	ἐκζητέω	ekzēteō	ekziyteo	to seek out
G71558	ἐκζήτησις	ekzētēsis	ekziytiysiys	controversy
G71559	ἐκθαμβέομαι	ekthambeomai	ekθamveome	to be overwhelmed with wonder
G71560	ἔκθαμβος	ekthambos	ekθamvos	astonished
G71561	ἐκθαυμάζω	ekthaumazō	ekθavmazo	to wonder
G71562	ἔκθετος	ekthetos	ekθetos	thrown out
G71563	ἐκκαθαίρω	ekkathairō	ekkaθero	to cleanse
G71564	ἐκκαίομαι	ekkaiomai	ekkeome	to be inflamed
G71565	ἐκκεντέω	ekkenteō	ekkenteo	to pierce
G71566	ἐκκλάω	ekklaō	ekklao	to be broken off
G71567	ἐκκλείω	ekkleiō	ekkliyo	to alienate
G71568	ἐκκλησία	ekklēsia	ekkliysiya	church
G71569	ἐκκλίνω	ekklinō	ekkliyno	to turn away
G71570	ἐκκολυμβάω	ekkolymbaō	ekkoliymvao	to swim away
G71571	ἐκκομίζω	ekkomizō	ekkomiyzo	to carry out
G71572	ἐκκόπτω	ekkoptō	ekkopto	to cut off
G71573	ἐκκρέμαμαι	ekkremamai	ekkremame	to hang upon
G71574	ἐκλαλέω	eklaleō	eklaleo	to tell
G71575	ἐκλάμπω	eklampō	eklampo	to shine
G71576	ἐκλανθάνω	eklanthanō	eklanθano	to forget
G71577	ἐκλέγομαι	eklegomai	eklegome	to chose
G71578	ἐκλείπω	ekleipō	ekliypo	to fail
G71579	ἐκλεκτός	eklektos	eklektos	elect
G71580	ἐκλογή	eklogē	ekloyiy	election
G71581	ἐκλύομαι	eklyomai	ekliyome	to lose heart
G71582	ἐκμάσσω	ekmassō	ekmasso	to wipe off
G71583	ἐκμυκτηρίζω	ekmyktērizō	ekmiyktiyriyzo	to sneer at
G71584	ἐκνεύω	ekneuō	eknevo	to slip away
G71585	ἐκνήφω	eknēphō	ekniyfo	to come to one's sense
G71586	ἑκούσιος	hekousios	ekusiyos	spontaneous
G71587	ἑκουσίως	hekousiōs	ekusiyos	voluntarily
G71588	ἔκπαλαι	ekpalai	ekpale	for a long time
G71589	ἐκπειράζω	ekpeirazō	ekpiyrazo	to test
G71590	ἐκπέμπω	ekpempō	ekpempo	to send away
G71591	ἐκπερισσῶς	ekperissōs	ekperiyssos	emphatically
G71592	ἐκπετάννυμι	ekpetannymi	ekpetanniymiy	to hold out
G71593	ἐκπηδάω	ekpēdaō	ekpiyðao	to rush out
G71594	ἐκπίπτω	ekpiptō	ekpiypto	to fall off
G71595	ἐκπλέω	ekpleō	ekpleo	to sail
G71596	ἐκπληρόω	ekplēroō	ekpliyroo	to fulfill
G71597	ἐκπλήρωσις	ekplērōsis	ekpliyrosiys	end
G71598	ἐκπλήσσομαι	ekplēssomai	ekpliyssome	to be amazed
G71599	ἐκπνέω	ekpneō	ekpneo	to breathe one's last breath
G71600	ἐκπορεύομαι	ekporeuomai	ekporevome	to go out
G71601	ἐκπορνεύω	ekporneuō	ekpornevo	to engage in sexual immorality
G71602	ἐκπτύω	ekptyō	ekptiyo	to scorn
G71603	ἐκριζόω	ekrizoō	ekriyzoo	to uproot
G71604	ἔκστασις	ekstasis	ekstasiys	amazement
G71605	ἐκστρέφομαι	ekstrephomai	ekstrefome	to be warped
G71606	ἐκταράσσω	ektarassō	ektarasso	to throw into an uproar
G71607	ἐκτείνω	ekteinō	ektiyno	to stretch out
G71608	ἐκτελέω	ekteleō	ekteleo	to finish
G71609	ἐκτένεια	ekteneia	ekteniya	earnestness
G71610	ἐκτενέστερον	ektenesteron	ektenesteron	deeply
G71611	ἐκτενής	ektenēs	ekteniys	deep
G71612	ἐκτενῶς	ektenōs	ektenos	deeply
G71613	ἐκτίθημι	ektithēmi	ektiyθiymiy	to explain
G71614	ἐκτινάσσω	ektinassō	ektiynasso	to shake off
G71615	ἐκτός	ektos	ektos	outside
G71616	ἕκτος	hektos	ektos	sixth
G71617	ἐκτρέπομαι	ektrepomai	ektrepome	to turn away
G71618	ἐκτρέφω	ektrephō	ektrefo	to feed
G71619	ἔκτρωμα	ektrōma	ektroma	an abortion
G71620	ἐκφέρω	ekpherō	ekfero	to bring out
G71621	ἐκφεύγω	ekpheugō	ekfevgo	to escape
G71622	ἐκφοβέω	ekphobeō	ekfoveo	to frighten
G71623	ἔκφοβος	ekphobos	ekfovos	frightened
G71624	ἐκφύω	ekphyō	ekfiyo	to come out
G71625	ἐκχέω	ekcheō	ekkheo	to pour out
G71626	ἐκχωρέω	ekchōreō	ekkhoreo	to go out
G71627	ἐκψύχω	ekpsychō	ekpsiykho	to die
G71628	ἑκών	hekōn	ekon	voluntarily
G71629	ἐλαία	elaia	elea	olive
