G1	第一個字母
G3678	小驢
G3679	
G3680	侮辱
G3681	斥責
G3682	阿尼西母
G3683	阿尼色弗
G3684	與驢子相關的在新約聖經與其他字合用
G3685	動詞
G3686	名字
G3687	稱呼
G3688	驢
G3689	副詞
G3690	酸酒
G3691	尖銳的
G3692	開口
G3693	從背後
G3694	後面
G3695	準備好
G3696	用來作準備的工具
G3697	哪一類的
G3698	當……
G3699	哪裡
G3700	顯現
G3701	異象
G3702	烤過的
G3703	指天狼星出現
G3704	如何
G3705	所看見的
G3706	眼睛
G3707	可看見的
G3708	及物
G3709	憤怒
G3710	發怒
G3711	容易生氣
G3712	噚合六英呎
G3713	伸展出去摸一個東西
G3714	多山的
G3715	渴望
G3716	行在正路上
G3717	筆直的
G3718	開一條筆直的路
G3719	清早起床
G3720	清早
G3721	一大早
G3722	黎明
G3723	正確無誤地
G3724	確定界線
G3725	界線
G3726	命令
G3727	誓言
G3728	起誓
G3729	急往前衝
G3730	衝動
G3731	猛烈的衝擊
G3732	飛鳥
G3733	母雞
G3734	固定的界線
G3735	山
G3736	挖掘
G3737	失怙的
G3738	跳舞
G3739	……的那一位
G3740	每當
G3741	敬虔
G3742	對神的虔誠
G3743	虔誠地
G3744	氣味
G3745	與……一樣大
G3746	無論誰
G3747	骨頭
G3748	無論誰
G3749	泥土製的
G3750	嗅覺
G3751	腰部
G3752	……時候
G3753	當……
G3754	那
G3755	的單數
G3756	不
G3757	……之處
G3758	啊哈！
G3759	啊！禍哉！
G3760	決不
G3761	但不會
G3762	形容詞
G3763	從未
G3764	尚未
G3765	不再是
G3766	因此
G3767	然後
G3768	尚未
G3769	尾巴
G3770	天上的
G3771	從天上
G3772	天
G3773	耳巴奴
G3774	烏利亞
G3775	耳朵
G3776	產業
G3777	也非
G3778	這
G3779	這樣
G3780	不
G3781	欠債的人
G3782	義務
G3783	債
G3784	欠人某些東西
G3785	希望
G3786	利益
G3787	表面工夫
G3788	眼睛
G3789	蛇
G3790	山或懸崖的邊緣
G3791	攪擾
G3792	結集一大群人
G3793	群眾
G3794	碉堡
G3795	魚
G3796	晚
G3797	春雨
G3798	遲的
G3799	看見
G3800	薪資
G3801	昔在
G3802	誘捕
G3803	機關
G3804	苦難
G3805	遭受苦難的
G3806	苦難
G3807	指導者
G3808	兒童
G3809	教養
G3810	指導者
G3811	教育
G3812	從年幼時
G3813	小孩子
G3814	女奴
G3815	玩耍
G3816	男孩
G3817	打
G3818	帕卡底亞那
G3819	以前
G3820	老舊的
G3821	過時
G3822	使成為古舊
G3823	奮戰
G3824	更新
G3825	回到
G3826	全部一起
G3827	非常多
G3828	旁非利亞
G3829	客棧
G3830	旅館主人
G3831	慶典集會
G3832	與全家大小
G3833	完整全備的武裝
G3834	字意
G3835	可以作任何事
G3836	從各方向
G3837	到處
G3838	完全地
G3839	各個方面
G3840	各方各面
G3841	全能者
G3842	經常
G3843	確實
G3844	從旁邊
G3845	偏離
G3846	擲向前
G3847	踰矩
G3848	犯規者
G3849	強力促求
G3850	模式
G3851	不在乎
G3852	命令
G3853	下達命令
G3854	出現
G3855	離開
G3856	揭發
G3857	樂園
G3858	接受
G3859	無用的工作
G3860	交予
G3861	奇特的
G3862	傳統
G3863	引起忌妒
G3864	靠海岸的
G3865	忽略
G3866	託管
G3867	推荐
G3868	請求
G3869	在一旁坐下
G3870	叫到身邊來
G3871	遮蔽
G3872	託管
G3873	在手邊
G3874	鼓舞
G3875	代求者
G3876	馬耳東風
G3877	伴隨
G3878	在一旁聽到
G3879	看
G3880	帶著
G3881	沿岸航行
G3882	海岸
G3883	變化
G3884	欺騙
G3885	癱瘓的
G3886	鬆開
G3887	留下
G3888	打氣
G3889	安慰
G3890	安慰
G3891	觸犯法律
G3892	無法
G3893	煽動
G3894	反抗
G3895	掉在旁邊
G3896	航行經過
G3897	接近
G3898	相似地
G3899	經過
G3900	走錯路而失腳的意像
G3901	沖走
G3902	有記號的
G3903	預備
G3904	預備
G3905	擴展
G3906	觀察
G3907	細密觀察
G3908	置於……之前
G3909	恰好在旁
G3910	立刻
G3911	帶走
G3912	失去理性
G3913	瘋狂
G3914	過冬
G3915	過冬
G3916	即刻
G3917	豹
G3918	在場
G3919	帶進
G3920	暗中帶入
G3921	秘密地進入
G3922	
G3923	應用
G3924	除了……之外
G3925	營地
G3926	惹麻煩
G3927	客居
G3928	經過
G3929	略過
G3930	提出
G3931	安慰
G3932	處子之身
G3933	處女
G3934	帕提亞人
G3935	變鬆
G3936	置於……之旁
G3937	巴米拿
G3938	經過
G3939	住在就近
G3940	旅居
G3941	外人
G3942	諺語
G3943	醉酒的
G3944	走過的
G3945	相似
G3946	相像的
G3947	使變為尖銳
G3948	激動
G3949	觸怒
G3950	憤怒的情緒
G3951	激起
G3952	在場
G3953	盤子
G3954	坦率
G3955	自由
G3956	每一個
G3957	逾越節
G3958	經歷
G3959	帕大喇
G3960	擊打
G3961	行走
G3962	生育者或男性先祖
G3963	拔摩
G3964	弒父者
G3965	家族
G3966	族長
G3967	父親的
G3968	故土
G3969	八羅巴
G3970	從祖先或父家傳承下來的
G3971	繼承於父親/先祖的
G3972	保羅
G3973	使停息或停止
G3974	帕弗
G3975	字意
G3976	腳鐐
G3977	水平的
G3978	由陸地旅行
G3979	經由陸地
G3980	聽從
G3981	有說服力的
G3982	使之接受某觀點或採取行動
G3983	飢餓
G3984	嚐試
G3985	嚐試
G3986	試驗
G3987	嚐試
G3988	說服
G3989	海
G3990	砍頭
G3991	第五
G3992	打發
G3993	貧窮的
G3994	岳母
G3995	岳父
G3996	悲歎
G3997	悲哀
G3998	貧窮的
G3999	五次
G4000	五千
G4001	五百
G4002	五
G4003	第十五
G4004	五十
G4005	五旬節
G4006	
G4007	不論如何
G4008	在另外一頭
G4009	極限
G4010	別迦摩
G4011	別加
G4012	有關
G4013	帶在身邊
G4014	拿走
G4015	照亮四周
G4016	立起環繞
G4017	四周打量
G4018	袍子
G4019	包起來
G4020	好管閒事之徒
G4021	好管閒事
G4022	四處遊走
G4023	緊握
G4024	束腰
G4025	穿上
G4026	在周圍站著
G4027	塵土
G4028	遮蓋
G4029	圍繞
G4030	頭盔
G4031	有力量
G4032	完全地隱匿
G4033	環繞
G4034	向四周圍發光
G4035	留下
G4036	極其難過
G4037	等候
G4038	四周
G4039	住在附近
G4040	住在四周的
G4041	挑選的
G4042	經文
G4043	行走
G4044	穿入
G4045	撞到
G4046	獲取
G4047	維持安全
G4048	全部撕扯下來
G4049	被拉開
G4050	豐富
G4051	豐富
G4052	不及物動詞
G4053	不同凡響
G4054	更加
G4055	更加
G4056	甚於
G4057	無法測度地
G4058	鴿子
G4059	字面意思
G4060	四圍環繞安置
G4061	割禮
G4062	扭轉
G4063	到處亂跑
G4064	四處攜帶
G4065	蔑視
G4066	附近的
G4067	塵土
G4068	自誇
G4069	彼息氏
G4070	去年
G4071	鳥
G4072	飛翔
G4073	岩石
G4074	彼得
G4075	多石的
G4076	芸香
G4077	噴泉
G4078	使牢固
G4079	船的舵
G4080	何其巨大
G4081	陶匠用的黏土
G4082	皮袋
G4083	一腕尺
G4084	緊握
G4085	按
G4086	用來說服人的言論
G4087	使變苦
G4088	苦味
G4089	有苦味的
G4090	喻意
G4091	彼拉多
G4092	腫脹
G4093	小木板
G4094	大淺盤
G4095	飲用
G4096	肥油
G4097	販賣
G4098	跌落
G4099	彼西底
G4100	相信
G4101	真正的
G4102	對任何真理的堅信
G4103	值得信賴的
G4104	顯出自己忠於某事
G4105	使誤入歧途
G4106	謬誤
G4107	流蕩者
G4108	形容詞
G4109	石版
G4110	塑像
G4111	塑造
G4112	捏造的
G4113	寬闊的路
G4114	寬度
G4115	使寬闊
G4116	寬闊的
G4117	編結的頭髮
G4118	最多
G4119	指數量上的
G4120	編
G4121	增多
G4122	佔便宜
G4123	貪婪的人
G4124	貪婪的慾求
G4125	身體側面
G4126	航行
G4127	擊打
G4128	數量
G4129	加多
G4130	充滿
G4131	好鬥的人
G4132	洪水
G4133	但是
G4134	滿的
G4135	完成
G4136	信心十足
G4137	使充滿
G4138	充滿
G4139	近於，鄰居
G4140	滿足
G4141	重擊
G4142	小舟
G4143	船
G4144	航行
G4145	富裕的
G4146	大量地
G4147	有錢的
G4148	使富裕有錢
G4149	錢財
G4150	洗
G4151	吹送
G4152	與神的靈相關
G4153	與神的靈相符地
G4154	吹動
G4155	掐住
G4156	窒息死亡的
G4157	氣息
G4158	一直到腳的
G4159	地點
G4160	製造
G4161	作品
G4162	行動的過程
G4163	製造者
G4164	多元的
G4165	餵養
G4166	牧羊人
G4167	羊群
G4168	羊群
G4169	哪一種？
G4170	作戰
G4171	戰爭
G4172	城市
G4173	市府官員
G4174	公民權
G4175	國家
G4176	成為公民
G4177	公民
G4178	多次
G4179	更多倍
G4180	多話
G4181	許多部分
G4182	多方面的
G4183	為數眾多的
G4184	滿懷憐憫
G4185	廣闊
G4186	非常有價值的
G4187	用許多種方式
G4188	飲料
G4189	邪惡
G4190	邪惡的
G4192	艱辛的勞力
G4193	從本都來的
G4194	本丟[彼拉多]
G4195	原先為海的名稱
G4196	部百流
G4197	旅行
G4198	去
G4199	毀壞
G4200	取得途徑
G4201	腓力斯的繼承者
G4202	賣淫
G4203	犯姦淫
G4204	妓女
G4205	行姦淫的人
G4206	遠遠
G4207	由遠處
G4208	更遠地
G4209	從骨螺這種貝殼取出的紫色染料
G4210	紫色的
G4211	賣紫色布匹的商人
G4212	多少次？多常？
G4213	喝
G4214	何等偉大
G4215	河川
G4216	被水流捲走
G4217	什麼種類？
G4218	某時
G4219	甚麼時候？
G4220	或者
G4221	杯
G4222	給飲料喝
G4223	部丟利
G4224	酒宴
G4225	哪裡？
G4226	哪裡？往何處？到什麼地方？
G4227	布田
G4228	腳
G4229	行為
G4230	活動
G4231	作買賣
G4232	總督府
G4233	官員
G4234	活動
G4235	溫和的
G4237	字意
G4238	藉著行動完成事情
G4239	溫和
G4240	溫柔
G4241	合宜
G4242	使節
G4243	年長
G4244	長老議會
G4245	年長
G4246	老年人
G4247	上年紀的婦女
G4248	倒栽蔥
G4249	鋸
G4250	之前
G4251	百基拉
G4252	百基拉
G4253	在……之前
G4254	帶領前進
G4255	選擇
G4256	事先指控
G4257	事先聽見
G4258	以前犯罪
G4259	前院
G4260	向前行
G4261	使之往前
G4262	羊的
G4263	羊
G4264	致使向前
G4265	預知
G4266	先前所發生
G4267	預先知道
G4268	預知
G4269	父母
G4270	事先寫下
G4271	顯然易見的
G4272	事先給予
G4273	背叛者
G4274	先行
G4275	預見
G4276	事先盼望
G4277	預先說出來
G4278	開始
G4279	事先/先前承諾
G4280	從前說過
G4281	往前走
G4282	事先預備
G4283	預先宣告好消息
G4284	優於
G4285	在前引路
G4286	陳列
G4287	指定的日子
G4288	樂意
G4289	願意的
G4290	樂意地
G4291	治理
G4292	挑動
G4293	預先宣告
G4294	準備
G4295	被揭露
G4296	公開宣講
G4297	進步
G4298	前進
G4299	了解事實前所產生的意見
G4300	事先設立
G4301	預先作某件事
G4302	預先說出來
G4303	預先作證
G4304	事前練習
G4305	事先著急
G4306	考量
G4307	
G4308	預見
G4309	預定
G4310	遭受痛苦
G4311	陪同
G4312	字意
G4313	走在……前面
G4314	有……的優勢
G4315	安息日前一天
G4316	打招呼
G4317	帶來
G4318	途徑
G4319	乞求
G4320	上到更高處
G4321	大量花費
G4322	供應
G4323	附加
G4324	進一步恐嚇
G4325	額外花費
G4326	需要
G4327	接受
G4328	期待
G4329	期待
G4330	允許再走遠一些
G4331	接近
G4332	字意
G4333	賺更多
G4334	前來
G4335	禱告
G4336	禱告
G4337	擔心
G4338	以釘字栓緊扎牢
G4339	改變宗教者拉比將改信猶太教的人分為兩種
G4340	暫時的
G4341	召喚
G4342	貼近於
G4343	堅持不懈
G4344	枕頭
G4345	依附
G4346	傾向
G4347	字意
G4348	絆倒的行動
G4349	冒犯
G4350	撞擊
G4351	滾動
G4352	敬拜
G4353	崇拜者
G4354	對……講話
G4355	取用
G4356	接納
G4357	繼續持守
G4358	進入港口
G4359	還欠
G4360	生氣
G4361	饑餓
G4362	釘牢
G4363	仆倒於某人腳前
G4364	假裝
G4365	接近
G4366	打破擊碎
G4367	吩咐
G4368	資助人
G4369	增加
G4370	奔向
G4371	魚
G4372	新的
G4373	最近
G4374	帶到
G4375	可愛的
G4376	獻祭
G4377	呼喚
G4378	將東西澆灌或灑在其上
G4379	接觸
G4380	偏袒
G4381	偏袒的人
G4382	偏袒
G4383	臉
G4384	固定
G4385	攤開
G4386	以前的
G4387	之前的
G4388	公開展示
G4389	催促
G4390	跑在前頭
G4391	之前就存在
G4392	真正的動機或理由
G4393	導致
G4394	預言的行為
G4395	說預言
G4396	先知
G4397	預言的
G4398	女先知
G4399	事先
G4400	為自己選擇
G4401	預先揀選
G4402	伯羅哥羅
G4403	船的尾部
G4404	清早
G4405	一大早
G4406	早的
G4407	清早
G4408	船首或船頭的
G4409	成為第一
G4410	首位
G4411	首席
G4412	首先
G4413	首先
G4414	領袖
G4415	長子的權利
G4416	頭胎出生的
G4417	絆倒失足
G4418	腳跟
G4419	翅膀
G4420	翅膀
G4421	有羽毛
G4422	使驚嚇
G4423	威嚇
G4424	多利買
G4425	簸去穀殼的鏟子
G4426	受驚嚇
G4427	唾沫
G4428	摺疊在一起
G4429	吐唾沫
G4430	屍體
G4431	墜落
G4432	赤貧
G4433	變得極其貧窮
G4434	仰仗別人養生的
G4435	拳頭
G4436	占卜的靈
G4437	頻繁的
G4438	拳擊
G4439	門
G4440	入口
G4441	詢問
G4442	火
G4443	火
G4444	塔
G4445	生病發燒
G4446	發燒
G4447	火一般的
G4448	燃燒
G4449	變的火紅
G4450	火焰的顏色
G4451	燃燒
G4452	連
G4453	出售
G4454	年幼的動物
G4455	向來
G4456	變硬
G4457	遲鈍
G4458	或許
G4459	如何？
G4460	喇合
G4461	師父
G4462	我的主
G4463	用棍子打
G4464	棍子
G4465	警察
G4466	拉吳
G4467	罪行
G4468	欺瞞
G4469	笨蛋
G4470	一塊布料
G4471	拉瑪
G4472	灑佈
G4473	噴灑
G4474	打
G4475	用棍或竿或鞭子擊打
G4476	針
G4477	喇合
G4478	拉結
G4479	利百加
G4480	四輪馬車
G4481	理番
G4482	流
G4483	傾吐
G4484	利基翁
G4485	傾毀
G4486	撕裂成片
G4487	話語
G4488	利撒
G4489	雄辯家
G4490	明確地
G4491	樹根
G4492	穩固扎根
G4493	快速的動作
G4494	吹來吹去
G4495	拋
G4496	投
G4497	羅波安
G4498	羅大
G4499	羅底
G4500	一陣吵雜聲
G4501	劍
G4502	流便
G4503	路得
G4504	魯孚
G4505	搖擺
G4506	拯救
G4507	道德上的不潔
G4508	污穢
G4509	
G4510	玷污
G4511	流
G4512	皺紋
G4513	拉丁文
G4514	羅馬的
G4515	拉丁文
G4516	羅馬
G4517	道別
G4518	祢已棄絕我
G4519	萬軍之耶和華
G4520	安息日的安息
G4521	每週的第七天
G4522	大的捕魚網
G4523	撒督該人
G4524	撒督
G4525	狗搖尾巴
G4526	蔴袋
G4527	沙拉
G4528	撒拉鐵
G4529	撒拉米
G4530	撒冷
G4531	搖動
G4532	撒冷
G4533	撒門
G4534	撒摩尼
G4535	震盪或波動
G4536	號筒
G4537	吹響號角
G4538	號手
G4539	撒羅米
G4540	撒瑪利亞
G4541	撒瑪利亞人
G4542	撒馬利亞婦人
G4543	撒摩特喇
G4544	撒摩
G4545	撒母耳
G4546	參孫
G4547	涼鞋
G4548	建築用板
G4549	掃羅
G4550	腐敗發臭
G4551	撒非喇
G4552	藍寶石
G4553	用繩索做成的筐子
G4554	撒狄
G4555	一種紅色的寶石
G4556	一種紅色的寶石
G4557	纏絲瑪瑙
G4558	撒勒法
G4559	物質的
G4560	肉體的
G4561	肉體
G4562	西鹿
G4563	掃除
G4564	撒拉
G4565	沙崙
G4566	字意
G4567	字意
G4568	乾貨的一種度量單位
G4569	掃羅
G4570	止熄
G4571	你
G4572	你自己
G4573	敬拜
G4574	被膜拜的物品
G4575	值得崇敬的
G4576	敬拜
G4577	繩索
G4578	震動
G4579	搖動
G4580	西公都
G4581	西流基
G4582	月亮
G4583	瘋癲
G4584	西美
G4585	最好的麵粉
G4586	有威嚴的
G4587	尊貴
G4588	士求保羅
G4589	塞特
G4590	閃
G4591	報導
G4592	指標
G4593	寫下來
G4594	今天
G4595	腐爛
G4596	絲綢製品
G4597	蛀蟲
G4598	被蛀壞的
G4599	增強
G4600	臉頰
G4601	沉默
G4602	寂靜
G4603	鐵製的
G4604	鐵
G4605	西頓
G4606	西頓人
G4607	刺客
G4608	一種酒精飲料
G4609	西拉
G4610	西拉
G4611	西羅亞
G4612	圍裙
G4613	使徒彼得
G4614	西乃
G4615	芥菜
G4616	亞麻布衣
G4617	篩動
G4618	養肥的
G4619	養肥的
G4620	食物配額
G4621	麥子
G4622	錫安
G4623	保持緘默
G4624	使犯罪
G4625	陷阱
G4626	挖掘
G4627	盤子
G4628	腿
G4629	覆蓋物
G4630	一個祭司長
G4631	器具
G4632	東西
G4633	帳篷
G4634	住棚節
G4635	做帳棚的人
G4636	帳棚
G4637	居住
G4638	住處
G4639	因遮斷光線而造成的陰影
G4640	跳躍
G4641	心硬
G4642	粗硬
G4643	硬心
G4644	硬著頸項的
G4645	使變硬
G4646	彎曲的
G4647	碎片
G4648	觀看
G4649	目標
G4650	分散
G4651	蝎子
G4652	黑暗的
G4653	黑暗
G4654	變黑暗
G4655	黑暗
G4656	使變暗
G4657	廢物
G4658	西古提人
G4659	憂傷
G4660	找麻煩
G4661	戰利品
G4662	蟲咬的
G4663	蟲
G4664	綠寶石的
G4665	綠寶石
G4666	沒藥
G4667	士每拿
G4668	關乎士每拿的
G4669	用沒藥
G4670	所多瑪
G4671	給你
G4672	所羅門
G4673	棺材
G4674	你的
G4675	你的
G4676	面巾
G4677	蘇撒拿
G4678	智慧
G4679	使有智慧
G4680	有技巧
G4681	士班雅
G4682	抖來抖去
G4683	用布包起來
G4684	豪華奢侈地生活
G4685	拉
G4686	古羅馬步兵隊
G4687	播種
G4688	間諜
G4689	奠酒
G4690	種子
G4691	字意
G4692	急促
G4693	山洞
G4694	海底的石頭
G4695	玷污
G4696	污點
G4697	憐憫
G4698	脾臟的加強型
G4699	海綿
G4700	灰燼
G4701	種子
G4702	實名詞
G4703	播種
G4704	急促
G4705	勤勉的
G4706	非常勤勉的
G4707	熱心
G4708	勤奮地
G4709	勤奮地
G4710	急忙
G4711	筐子
G4712	長度單位
G4713	瓶罐
G4714	存在
G4715	古代希臘的錢幣單位
G4716	柱子
G4717	釘十字架
G4718	葡萄
G4719	穀穗
G4720	士大古
G4721	屋頂
G4722	遮蓋
G4723	不孕的
G4724	遠離
G4725	花圈
G4726	呻吟
G4727	歎息
G4728	狹窄的
G4729	）囿限
G4730	狹窄
G4731	強壯
G4732	使堅強
G4733	穹蒼
G4734	司提反
G4735	花環
G4736	司提反
G4737	給人戴上冠冕
G4738	胸膛
G4739	站立
G4740	指心志上的堅立穩固
G4741	立定
G4742	記號
G4743	片刻
G4744	閃耀
G4745	門廊
G4746	樹枝
G4747	基本元素
G4748	遵循
G4749	特指飄逸的長袍
G4750	口
G4751	胃
G4752	遠征
G4753	軍隊
G4754	服兵役
G4755	羅馬城市最高行政官員
G4756	軍隊
G4757	士兵
G4758	招募軍隊
G4759	軍營的指揮官
G4760	軍營
G4761	折磨
G4762	轉動
G4763	奢侈
G4764	奢華
G4765	麻雀
G4766	鋪展開
G4767	討厭的
G4768	驚駭
G4769	柱子
G4770	斯多葛學派的
G4771	你
G4772	親屬關係
G4773	與……有關係
G4774	讓步
G4775	同坐
G4776	使其一同坐下
G4777	與某人一同經歷苦難
G4778	同受苦難
G4779	召喚
G4780	掩蓋
G4781	使之彎曲
G4782	一起下到
G4783	協議
G4784	同意
G4785	一同被選出來
G4786	混在一起
G4787	激動
G4788	包圍捕捉
G4789	共同繼承
G4790	連結
G4791	參與人
G4792	帶進來
G4793	結合
G4794	彎下
G4795	意外
G4796	與人一起歡樂
G4797	字意
G4798	與……有來往
G4799	混亂
G4800	同住
G4801	結合
G4802	討論
G4803	討論
G4804	辨士
G4805	字意
G4806	與某人一起使活過來
G4807	桑樹
G4808	無花果樹
G4809	西克莫無花果樹
G4810	無花果樹的果實
G4811	騷擾
G4812	擄獲
G4813	奪取
G4814	交談
G4815	逮捕
G4816	搜集
G4817	理論
G4818	因……憂傷
G4819	同行
G4820	與人討論
G4821	一起統治
G4822	聯合
G4823	給予忠告
G4824	諮詢
G4825	顧問
G4826	西面
G4827	同為門徒
G4828	以見證為佐證
G4829	共享
G4830	與……共享
G4831	模仿別人的人
G4832	形狀相似的
G4833	取相同的樣式
G4834	感同身受
G4835	同情
G4836	前來聚集
G4837	共同勉勵
G4838	連同攜帶
G4839	住在一起
G4840	一起出席
G4841	一同受苦或受到相同的痛苦
G4842	打發一起去
G4843	擁抱
G4844	同飲
G4845	完全裝滿
G4846	抑制
G4847	同胞
G4848	同行
G4849	宴會
G4850	長老同工
G4851	放在一起
G4852	同意
G4853	鄉親
G4854	使與……有關聯
G4855	一起成長
G4856	符合
G4857	一致
G4858	樂聲
G4859	一致的
G4860	計算
G4861	和諧一致的
G4862	加間接受格
G4863	聚集
G4864	集會處
G4865	與……一起奮鬥
G4866	一起努力奮鬥
G4867	聚集
G4868	算帳
G4869	一起被關在牢中的
G4870	跟隨
G4871	同吃
G4872	同去
G4873	同吃
G4874	混合
G4875	一同歇息
G4876	遇見
G4877	會合
G4878	幫助人
G4879	領人誤入歧途
G4880	與……同死
G4881	一起毀滅
G4882	一同打發
G4883	連結在一起
G4884	捕捉
G4885	一齊成長
G4886	緊固物
G4887	用……把某人綁起來
G4888	一同讚許
G4889	同為奴隸的人
G4890	一起奔跑
G4891	一同復活
G4892	總會
G4893	對任何事的自覺
G4894	察覺
G4895	偕同
G4896	聚集一起
G4897	一起進入
G4898	旅行的同伴
G4899	同蒙揀選的
G4900	驅使
G4901	同時作見證
G4902	陪同
G4903	一起工作
G4904	幫助的
G4905	聚集
G4906	與……一起吃
G4907	智力
G4908	聰智的
G4909	同意
G4910	一同坐席
G4911	群起攻擊某人
G4912	經外意義
G4913	樂於
G4914	友誼
G4915	同時代的人
G4916	與……同葬
G4917	粉碎
G4918	相互擠壓
G4919	破成碎片
G4920	理解
G4921	聯合
G4922	與人同行
G4923	旅隊
G4924	一起居住
G4925	建造起來
G4926	與……談話
G4927	比鄰
G4928	監獄
G4929	命令
G4930	完成
G4931	完成
G4932	設限
G4933	保護
G4934	並放在一起
G4935	簡短地
G4936	一起跑
G4937	打破
G4938	毀滅
G4939	玩伴
G4940	相遇
G4941	循都基
G4942	一同掩飾
G4943	同心協力幫助
G4944	一如生產之痛的痛苦
G4945	設謀
G4946	敘拉古
G4947	敘利亞
G4948	敘利亞人
G4949	敘利腓尼基人
G4950	賽耳底沿著利比亞海岸線的兩個海灣的名字
G4951	拉
G4952	全身痙攣
G4953	記號
G4954	屬於同一個身體的
G4955	叛亂暴動的同夥人
G4956	推荐的
G4957	同釘十字架
G4958	限制
G4959	一起呻吟
G4960	士兵站在同一排
G4961	同袍
G4962	聚集
G4963	秘密策劃
G4964	作為模範來塑造
G4965	敘加
G4966	示劍
G4967	屠殺
G4968	犧牲品
G4969	屠殺
G4970	猛烈的
G4971	極端地
G4972	封印
G4973	印戒
G4974	踝
G4975	非常接近
G4976	外表的樣子
G4977	分開
G4978	撕破
G4979	細繩
G4980	花時間於
G4981	演講廳
G4982	救助
G4983	指人或動物的身體
G4984	有形的
G4985	身體地
G4986	所巴特
G4987	堆在一起
G4988	所提尼
G4989	所西巴德
G4990	救主
G4991	拯救
G4992	挽救的
G4993	頭腦清楚健全
G4994	勉勵
G4995	自制
G4996	慎重地
G4997	理智
G4998	慎思明辨的
G4999	三酒館
G5000	大比大
G5001	清楚界定的群體
G5002	固定的
G5003	經受哀傷
G5004	辛苦
G5005	悲慘的
G5006	他連得重
G5007	天平
G5008	大利大
G5009	儲藏室
G5010	次序
G5011	低下的
G5012	謙遜
G5013	降低
G5014	家道中衰
G5015	搖晃
G5016	攪動
G5017	心情騷動
G5018	大數
G5019	大數
G5020	Tartaros是希臘人認為比陰府還要低深的一處地方
G5021	安排就緒
G5022	公牛或被閹的公牛
G5023	這些
G5024	即使這樣
G5025	那些
G5026	這
G5027	埋葬處
G5028	墳墓
G5029	或者
G5030	短暫
G5031	立刻
G5032	更敏捷的
G5033	非常的快
G5034	快速
G5035	快速地
G5036	快速的
G5037	因此
G5038	牆
G5039	證明
G5040	小孩子
G5041	生育子女
G5042	生產
G5043	子女
G5044	養育兒女
G5045	建築工
G5046	完全的
G5047	完熟
G5048	完成
G5049	完全地
G5050	完全
G5051	完全者
G5052	完熟結果實
G5053	結束
G5054	終結
G5055	結束
G5056	結束
G5057	稅吏
G5058	稅關
G5059	奇蹟
G5060	德丟
G5061	帖士羅
G5062	四十
G5063	四十年
G5064	四
G5065	第十四的
G5066	在第四天
G5067	第四
G5068	四方形的
G5069	四個軍人一組一守衛隊包括四個士兵
G5070	四千
G5071	四百
G5072	四個月的
G5073	四倍的
G5074	四隻腳的動物
G5075	做分封王
G5076	分封王
G5077	焚燒成灰燼
G5078	技術
G5079	工匠
G5080	成為液體
G5081	明顯地
G5082	如此巨大
G5083	看守
G5084	看管
G5085	提比哩亞
G5086	提比留
G5087	置
G5088	分娩
G5089	摘
G5090	底買
G5091	評估
G5092	價格
G5093	高價的
G5094	豐足
G5095	提摩太
G5096	提門
G5097	施以懲處
G5098	懲罰
G5099	接受懲處
G5100	某些
G5101	誰
G5102	刻印文字
G5103	提多
G5104	的確
G5105	為此理由
G5106	因此
G5107	如此
G5108	如同這個
G5109	牆
G5110	利息
G5111	敢於
G5112	勇敢的
G5113	大膽之人
G5114	更銳利的
G5115	弓
G5116	黃玉
G5117	地方
G5118	指數量
G5119	在那時候
G5120	他的
G5121	相反地
G5122	名叫
G5123	那就是
G5124	那個
G5125	這些
G5126	這
G5127	這個
G5128	這些
G5129	對這一個
G5130	這些的……
G5131	公山羊
G5132	桌子
G5133	兌幣者
G5134	傷口
G5135	傷害
G5136	敞開
G5137	脖頸
G5138	粗糙
G5139	特拉可尼
G5140	三
G5141	顫抖
G5142	滋養
G5143	奔跑
G5144	形容詞
G5145	三百
G5146	薊屬植物
G5147	磨損的道路
G5148	三年之久
G5149	咬牙切齒
G5150	三個月
G5151	三次
G5152	三樓
G5153	三千
G5154	第三
G5155	毛製的
G5156	顫慄
G5157	轉動
G5158	方式
G5159	容忍一個人的態度
G5160	食物
G5161	特羅非摩
G5162	乳母
G5163	輪子留下的痕跡
G5164	輪子
G5165	碗
G5166	收集
G5167	斑鳩
G5168	洞
G5169	洞
G5170	土非拿
G5171	過著自我耽溺的生活
G5172	糜爛
G5173	土富撒
G5174	特羅亞
G5175	特羅基利翁
G5176	嚼食
G5177	得到
G5178	tympanum施酷刑tympanum可能是一種輪形的酷刑刑具
G5179	擊打
G5180	擊打
G5181	推喇奴
G5182	煩躁不安
G5183	推羅人
G5184	推羅
G5185	瞎眼
G5186	失明
G5187	冒煙
G5188	冒煙
G5189	旋風般的
G5190	推基古
G5191	紫藍色的
G5192	橘紅色寶石或藍寶石
G5193	玻璃的
G5194	水晶
G5195	侮慢
G5196	傲慢無禮
G5197	傲慢
G5198	健康的
G5199	身體健康
G5200	潮濕的
G5201	水罐
G5202	喝水
G5203	水腫的
G5204	水
G5205	雨
G5206	領養
G5207	兒子
G5208	濃密的森林
G5209	你們
G5210	你們
G5211	許米乃
G5212	屬於你們的
G5213	你們
G5214	及物動詞
G5215	讚美詩歌
G5216	你們的
G5217	離開
G5218	遵守
G5219	聽從
G5220	已婚的
G5221	見面
