α	alpha
βαρέως	with difficulty
Βαρθολομαῖος	Bartholomew
Βαριησοῦς	Bar-Jesus
Βαριωνᾶ	son of Jonah
Βαριωνᾶς	son of Jonah
Βαρναβᾶς	Barnabas
βάρος	burden
Βαρσαββᾶς	Barsabbas
Βαρτιμαῖος	Bartimaeus
βαρύς	burdensome
βαρύτιμος	very expensive
βασανίζω	to torture
βασανισμός	torment
βασανιστής	torturer
βάσανος	torment
βασιλεία	kingdom
βασίλειος	royal
βασιλεύς	king
βασιλεύω	to reign as a king
βασιλικός	royal
βασιλισ‚àöκος	petty king
βασίλισσα	queen
βάσις	foot
βασκαίνω	to bewitch
βαστάζω	to carry
βάτος	bush
βάτραχος	frog
βατταλογέω	to babble
βδέλυγμα	abomination
βδελυκτός	detestable
βδελύσσομαι	(mid.) to abhor
βέβαιος	firm
βεβαιόω	to confirm
βεβαίωσις	confirmation
βέβηλος	godless
βεβηλόω	to desecrate
Βεελζεβούλ	Beelzebub
Βελιάρ	Belial
βελόνη	needle
βέλος	arrow
βελτίων	having a detailed knowledge
Βενιαμίν	Benjamin
Βερνίκη	Bernice
Βέροια	Berea
Βεροιαῖος	Berean
Βεώρ	Beor
Βηθαβαρά	Bethabara
Βηθανία	Bethany
Βηθεσδά	Bethesda
Βηθζαθά	Bethzatha
Βηθλέεμ	Bethlehem
Βηθσαι&δά	Bethsaida
Βηθφαγή	Bethphage
βῆμα	judicial court
βηρεύς	Bereus
βήρυλλος	beryl
βία	force
βιάζω	(mid.) to force one's way
βίαιος	violent
βιαστής	forceful one
βιβλαρίδιον	little scroll
βιβλίον	scroll
βίβλος	book
βιβρώσκω	to eat
Βιθυνία	Bithynia
βίος	(everyday) life
βιόω	to live
βίωσις	the way one lives
βιωτικός	(lesser things) of this life
βλαβερός	harmful
βλάπτω	to hurt
βλαστάνω	to sprout
Βλάστος	Blastus
βλασφημέω	to blaspheme
βλασφημία	blasphemy
βλάσφημος	blasphemous
βλέμμα	act of seeing
βλέπω	to see
βλητέος	must be put
Βοανηργές	Boanerges
βοάω	to call
Βόες	Boaz
βοή	cry
βοήθεια	help
βοηθέω	to help
βοηθός	helpful (one)
βόθρος	pit
βόθυνος	pit
βολή	throwing
βολίζω	to take a sounding (a nautical technical term)
βολίς	missile
Βόοζ	Boaz
Βόος	Boaz
βόρβορος	mud
βορρᾶς	the north
βόσκω	to feed
Βοσόρ	Bosor
βοτάνη	crop (from any kind of plant or vegetation)
βότρυς	grape cluster
βουλευτής	member of a council (an advisory or legislative body)
βουλεύω	to make plans
βουλή	plan
βούλημα	plan
βούλομαι	to wish
βουνός	hill
βοῦς	ox
βραβεῖον	prize (from a contest or foot race)
βραβεύω	to rule
βραδύνω	to delay
βραδυπλοέω	to sail slowly
βραδύς	slow
βραδύτης	slowness
βραχίων	arm
βραχύς	little
βρέφος	baby
βρέχω	to rain down (water or sulfur)
βροντή	thunder
βροχή	rain
βρόχος	restriction
βρυγμός	gnashing
βρύχω	to gnash
βρύω	to flow
βρῶμα	food
βρώσιμος	eatable
βρῶσις	consumable
βυθίζω	(act.) to plunge
βυθός	open sea
βυρσεύς	tanner
βύσσινος	made of fine linen
βύσσος	fine linen
βωμός	altar
γ	letter of the Greek alphabet
Γαββαθᾶ	Gabbatha
Γαβριήλ	Gabriel
γάγγραινα	gangrene
Γάδ	Gad
Γαδαρηνός	Gadarene
γάζα	Gaza
γαζοφυλάκιον	treasury
Γάι&ος	Gaius
γάλα	milk
Γαλάτης	Galatian
Γαλατία	Galatia
Γαλατικός	Galatian
γαλήνη	calm
Γαλιλαία	Galilee
Γαλιλαῖος	Galilean
Γαλλία	Gaul
Γαλλίων	Gallio
Γαμαλιήλ	Gamaliel
γαμέω	to marry
γαμίζω	to give in marriage
γαμίσκω	(pass.) to be given in marriage
γάμος	wedding banquet (a festive time in the community)
γάρ	shows inference or continuation: for
γαστήρ	belly
Γεδεών	Gideon
γέεννα	Gehenna
Γεθσημανί	Gethsemane
γείτων	neighbor
γελάω	to laugh
γέλως	laughter
γεμίζω	to fill
γέμω	to be full
γενεά	generation
γενεαλογέω	to trace genealogical descent
γενεαλογία	genealogy
γενέθλιος	pertaining to birth
γενέσια	birthday (a day that was celebrated)
γένεσις	birth
γενετή	birth
γένημα	fruit
γεννάω	to become the father of
γέννημα	offspring
Γεννησαρέτ	Gennesaret
γέννησις	birth
γεννητός	pertaining to birth
γένος	family
Γερασηνός	Gerasene
Γεργεσηνός	Gergesene
γερουσία	assembly of the elders
γέρων	old person
γεύομαι	to taste
γεωργέω	to farm
γεώργιον	(farmer's) field
γεωργός	farmer
γῆ	emphatic particle: indeed
γῆρας	old age
γηράσκω	to grow old
γίνομαι	to be
γινώσκω	to know
γλεῦκος	(sweet) wine
γλυκύς	sweet
γλῶσσα	tongue
γλωσσόκομον	container for money
γναφεύς	bleacher
γνησίως	true
γνόφος	darkness
γνώμη	purpose
γνωρίζω	to make known
γνώριμος	acquainted with
γνῶσις	knowledge
γνώστης	one well acquainted with
γνωστός	known
γογγύζω	to grumble
γογγυσμός	complaint
γογγυστής	grumbler
γόης	imposter
Γολγοθᾶ	Golgotha
Γόμορρα	Gomorrah
γόμος	cargo
γονεύς	(pl.) parents
γόνυ	knee
γονυπετέω	to kneel (before in submission or worship)
γράμμα	letter (of the alphabet)
γραμματεύς	teacher or expert in the law
γραπτός	written
γραφή	(s.) a passage of Scripture
γράφω	to write
γραώδης	old wives' tale
γρηγορέω	to keep watch
γυμνάζω	to train
γυμνασία	training
γυμνητεύω	to be poorly dressed
γυμνιτεύω	to be in ragged clothing
γυμνός	naked
γυμνότης	nakedness
γυναικάριον	weak-willed woman
γυναικεῖος	feminine
γυνή	woman
Γώγ	Gog
γωνία	corner
Δαβίδ	David
δαιμονίζομαι	to be demon-possessed
δαιμόνιον	demon
δαιμονιώδης	of the devil
δαίμων	demon
δάκνω	to bite
δάκρυον	teardrop
δακρύω	to weep
δακτύλιος	(finger) ring
δάκτυλος	finger
Δαλμανουθά	Dalmanutha
Δαλματία	Dalmatia
δαμάζω	to tame
δάμαλις	heifer
Δάμαρις	Damaris
Δαμασκηνός	Damascene
Δαμασκός	Damascus
Δάν	Dan
δανείζω	to lend
δάνειον	debt
δανειστής	moneylender
δανίζω	to lend
Δανιήλ	Daniel
δανιστής	moneylender
δαπανάω	to spend
δαπάνη	cost
Δαυίδ	David
δέησις	prayer
δεῖ	it is a must
δεῖγμα	example
δειγματίζω	to expose to public disgrace
δείκνυμι	to show
δεικνύω	to show
δειλία	timidity
δειλιάω	to be afraid
δειλός	afraid
δεῖνα	a certain one
δεινῶς	terribly
δειπνέω	to eat supper
δεῖπνον	banquet
δεισιδαιμονία	religion
δεισιδαίμων	(very) religious
δέκα	ten
δεκαδύο	twelve
δεκαοκτώ	eighteen
δεκαπέντε	fifteen
Δεκάπολις	Decapolis
δεκατέσσαρες	fourteen
δέκατος	tenth in a series of things or events
δεκατόω	to collect a tenth
δεκτός	acceptable
δελεάζω	to entice
δένδρον	tree
δεξιολάβος	spearman
δεξιός	the right hand or side in contrast to the left
δέομαι	to pray
δέος	awe
Δερβαῖος	from Derbe
Δέρβη	Derbe
δέρμα	skin
δερμάτινος	made of leather
δέρρις	skin
δέρω	to beat up
δεσμεύω	to tie up
δεσμέω	to tie
δέσμη	bundle
δέσμιος	prisoner
δεσμός	chain
δεσμοφύλαξ	jailer
δεσμωτήριον	prison
δεσμώτης	prisoner
δεσπότης	master
δεῦρο	come
δεῦτε	come
δευτεραῖος	on the following day
δεύτερον	for the second time
δευτερόπρωτος	lit: <i>second-first</i>
δεύτερος	second
δέχομαι	to welcome
δέω	to tie
δή	but
δηλαυγῶς	very clearly
δῆλος	clear
δηλόω	to make clear
Δημᾶς	Demas
δημηγορέω	to deliver a public address
Δημήτριος	Demetrius
δημιουργός	builder
δῆμος	people
δημόσιος	public
δηνάριον	denarius [about a day's wage]
δήποτε	whatever
δήπου	surely
διά	(gen.) through
διαβαίνω	to pass through
διαβάλλω	(pass.) to have accusations brought upon someone
διαβεβαιόομαι	to confidently affirm
διαβλέπω	to see clearly
διάβολος	devilish
διαγγέλλω	to proclaim (throughout)
διαγίνομαι	to pass
διαγινώσκω	to determine
διαγνωρίζω	to give an exact report
διάγνωσις	decision
διαγογγύζω	to mutter
διαγρηγορέω	to become fully awake
διάγω	to live
διαδέχομαι	to receive (in turn)
διάδημα	crown
διαδίδωμι	to distribute
διάδοχος	successor
διαζώννυμι	to wrap around
διαθήκη	covenant
διαίρεσις	difference
διαιρέω	to divide
διακαθαίρω	to clear out
διακαθαρίζω	to clear out
διακατελέγχομαι	to refute (thoroughly)
διακελεύω	to order
διακονέω	to serve
διακονία	ministry
διάκονος	servant
διακόσιοι	two hundred
διακούω	to give a (legal) hearing
διακρίνω	to make a distinction
διάκρισις	distinguishing
διακωλύω	to deter
διαλαλέω	to talk about
διαλέγομαι	to reason
διαλείπω	to stop
διάλεκτος	language
διαλιμπάνω	to stop
διαλλάσσομαι	to become reconciled
διαλογίζομαι	to think
διαλογισμός	thought
διαλύω	to disperse
διαμαρτύρομαι	to (solemnly) warn or charge
διαμάχομαι	to argue vigorously
διαμένω	to remain (constantly)
διαμερίζω	to divide
διαμερισμός	division
διανέμω	(pass.) to be spread
διανεύω	to make signs
διανόημα	thought
διάνοια	mind
διανοίγω	to open
διανυκτερεύω	to spend the (entire) night
διανύω	to continue
διαπαντός	always
διαπαρατριβή	constant friction
διαπεράω	to cross over
διαπλέω	to sail across
διαπονέομαι	to be greatly disturbed
διαπορεύομαι	to go through
διαπορέω	to be perplexed
διαπραγματεύομαι	to gain
διαπρίω	(pass.) to be furious
διαρήσσω	to tear
διαρθρόω	to tear
διαρπάζω	to rob
διαρρήγνυμι	to tear (clothes)
διασαφέω	to tell
διασείω	to extort money
διασκορπίζω	to scatter
διασπάω	(pass.) to be torn to pieces
διασπείρω	(pass.) to be scattered
διασπορά	scattering
διαστέλλω	(mid.) to give orders
διάστημα	later time
διαστολή	difference
διαστρέφω	(act.) to subvert
διασῴζω	save
διαταγή	putting into effect
διάταγμα	edict
διαταράσσω	(pass.) to be greatly troubled
διατάσσω	(act./mid.) to command
διατελέω	to continue
διατηρέω	to keep
διατί	why?
διατίθημι	to make a covenant or a will
διατρίβω	to stay
διατροφή	food
διαυγάζω	to dawn
διαυγής	transparent
διαφανής	transparent
διαφέρω	(tr.) to carry
διαφεύγω	to escape
διαφημίζω	to spread news about
διαφθείρω	to destroy
διαφθορά	decay
διάφορος	different
διαφυλάσσω	to guard carefully
διαχειρίζω	(mid.) to kill
διαχλευάζω	to make fun of
διαχωρίζω	(pass.) to be separated
διγαμιά	second marriage
δίγαμος	pertaining to a second marriage
διδακτικός	able to teach
διδακτός	taught
διδασκαλία	teaching
διδάσκαλος	teacher
διδάσκω	to teach
διδαχή	(the activity or content of ) teaching
δίδραχμον	two-drachma (temple tax)
Δίδυμος	Didymus
διδῶ	I give
δίδωμι	to give
διεγείρω	to get up
διενθυμέομαι	to think
διεξέρχομαι	to come out
διέξοδος	(street) corner
διερμηνεία	explanation
διερμηνευτής	interpreter
διερμηνεύω	to interpret
διέρχομαι	to go through
διερωτάω	to find out
διετής	two years old
διετία	two years
διηγέομαι	to tell
διήγησις	account
διηνεκής	forever
διθάλασσος	sandbar
διι&κνέομαι	to penetrate
διι&σχυρίζομαι	to assert
διΐστημι	to leave
δικαιοκρισία	righteous judgment
δικαιοσύνη	righteousness
δικαιόω	to justify
δικαίωμα	regulation
δικαίως	right
δικαίωσις	justification
δικαστής	judge
δίκη	punishment
δίκτυον	(fish) net
δίλογος	insincere
διό	therefore
διοδεύω	to go through
Διονύσιος	Dionysius
διόπερ	therefore
διοπετής	(the image) fallen from heaven (given by the pagan god Zeus)
διόρθωμα	reform
διόρθωσις	a new order
διορύσσω	to break in
Διόσκουροι	the twin gods Castor and Pollux
διότι	therefore
Διοτρέφης	Diotrephes
διπλόος	double
διπλοῦς	double
διπλόω	to double
δίς	twice
δισμυριάς	twenty thousand
διστάζω	to doubt
δίστομος	double-edged
δισχίλιοι	two thousand
διυ&λίζω	to strain out
διχάζω	to turn (one against another)
διχοστασία	division
διχοτομέω	to cut to pieces
διψάω	to be thirsty
δίψος	thirst
δίψυχος	double-minded
διωγμός	persecution
διώκτης	persecutor
διώκω	to pursue
δόγμα	decree
δογματίζω	(pass.) to submit to a rule
δοκέω	to think
δοκιμάζω	to test
δοκιμασία	testing
δοκιμή	character
δοκίμιον	testing
δόκιμος	approved by testing
δοκός	plank
δόλιος	deceitful
δολιόω	to practice deceit
δόλος	deceit
δολόω	to distort
δόξα	glory
δοξάζω	to glorify
Δορκάς	Dorcas
δόσις	gift
δότης	giver
δουλαγωγέω	to enslave
δουλεία	slavery
δουλεύω	to serve (as a slave)
δούλη	female servant
δοῦλος	servant
δουλόω	to enslave
δοχή	banquet
δράκων	dragon
δράσσομαι	to catch
δραχμή	silver coin
δρέπανον	sickle
δρόμος	race
Δρούσιλλα	Drusilla
δύναμαι	to be able
δύναμις	power
δυναμόω	(pass.) to be strengthened
δυνάστης	ruler
δυνατέω	to be able
δυνατός	possible (based on power)
δύνω	to set (of the sun)
δύο	two
δυσβάστακτος	hard to carry
δυσεντέριον	dysentery
δυσερμήνευτος	hard to explain
δύσις	west
δυσκόλως	hard
δυσμή	west (setting of the sun)
δυσνόητος	hard to understand
δυσφημέω	(pass.) to be slandered
δυσφημία	bad report
δώδεκα	twelve
δωδέκατος	twelfth
δωδεκάφυλον	twelve tribes
δῶμα	gift
δωρεά	gift
δωρεάν	freely
δωρέομαι	to give
δώρημα	gift
δῶρον	gift
δωροφορία	the bringing of a gift
ἔα	ha!
ἐάν	if (usually used in general conditions or conditions that imply some doubt)
ἐάνπερ	if
ἑαυτοῦ	himself
ἐάω	to let
ἑβδομήκοντα	seventy
ἑβδομηκοντάκις	seventy times
ἕβδομος	seventh
Ἔβερ	Eber
Ἑβραι&κός	Hebrew
Ἑβραι&στί	in Aramaic
Ἑβραῖος	a Hebrew
Ἑβραΐς	Aramaic
ἐγγίζω	come near
ἐγγράφω	to write in
ἔγγυος	(n.) guarantee
ἐγγύς	near
ἐγγύτερον	nearer
ἐγείρω	to arise
ἔγερσις	resurrection
ἐγκαίνια	Feast of Dedication (Hanukkah)
ἐγκαινίζω	(pass.) to be put into effect
ἐγκαλέω	to bring charges
ἐγκαταλείπω	to forsake
ἐγκατοικέω	to live among
ἐγκαυχάομαι	to boast
ἐγκεντρίζω	to graft into
ἐγκλείω	to lock up
ἔγκλημα	charge
ἐγκομβόομαι	to clothe (oneself) with
ἐγκοπή	hinderance
ἐγκόπτω	to hinder
ἐγκράτεια	self-control
ἐγκρατεύομαι	to have control (of oneself)
ἐγκρατής	disciplined
ἐγκρίνω	to classify
ἐγκρύπτω	to mix
ἔγυος	pregnant
ἐγχρίω	to put on
ἐγώ	I
ἐδαφίζω	to dash to the ground
ἔδαφος	ground
ἑδραῖος	firm
ἑδραίωμα	foundation
Ἑζεκίας	Hezekiah
ἐθελοθρησκία	self-imposed religion
ἐθίζω	(pass.) to be accustomed
ἐθνάρχης	governor
ἐθνικῶς	pagan
ἔθνος	Gentile
εἰ	if
εἰ μή	surely
εἰδέα	appearance (usually implies a condition of reality)
εἶδον	to see
εἶδος	form
εἰδωλεῖον	temple of an idol
εἰδωλόθυτος	(food) sacrificed to idols
εἰδωλολάτρης	idolater
εἰδωλολατρία	idolatry
εἴδωλον	idol
εἰκῇ	in vain
εἴκοσι	twenty
εἴκω	to give in
εἰκών	image
εἰλικρίνεια	sincerity
εἰλικρινής	pure
εἶμι	to be
εἵνεκεν	because of
εἴπερ	if indeed
εἴπως	if perhaps
εἰρηνεύω	to live in peace
εἰρήνη	peace
εἰρηνικός	peace-loving
εἰρηνοποιέω	to make peace
εἰρηνοποιός	peacemaker
εἰς	to
εἷς	one
εἰσάγω	to bring in
εἰσακούω	(pass.) to be heard
εἰσδέχομαι	to receive
εἴσειμι	to go in
εἰσέρχομαι	to go in
εἰσκαλέομαι	to invite into
εἴσοδος	entering
εἰσπηδάω	to rush in
εἰσπορεύομαι	to go in
εἰστρέχω	to run in
εἰσφέρω	to bring in
εἶτα	then
εἴτε	if
εἴωθα	to have a custom
ἐκ	of
ἕκαστος	each
ἑκάστοτε	always
ἑκατόν	hundred
ἑκατονταετής	a hundred years old
ἑκατονταπλασίων	a hundred times
ἑκατοντάρχης	centurion
ἑκατόνταρχος	centurion
ἐκβαίνω	to leave
ἐκβάλλω	to take out
ἔκβασις	way out
ἐκβλαστάνω	to sprout up
ἐκβολή	throwing out (a ship's cargo)
ἐκγαμίζω	to marry
ἔκγονος	(n.) grandchild
ἐκδαπανάω	(pass.) to be completely expended
ἐκδέχομαι	to wait for
ἔκδηλος	clear
ἐκδημέω	to be away
ἐκδίδωμι	(mid.) to rent
ἐκδιηγέομαι	to tell
ἐκδικέω	to avenge
ἐκδίκησις	justice
ἔκδικος	punishing
ἐκδιώκω	to drive out
ἔκδοτος	handed over
ἐκδοχή	expectation
ἐκδύω	to strip off clothing
ἐκεῖ	there
ἐκεῖθεν	from there
ἐκεῖνος	that
ἐκεῖσε	there
ἐκζητέω	to seek out
ἐκζήτησις	controversy
ἐκθαμβέω	(pass.) to be overwhelmed with wonder
ἔκθαμβος	(utterly) astonished
ἐκθαυμάζω	to wonder
ἔκθετος	thrown out
ἐκκαθαίρω	to cleanse
ἐκκαίω	(pass.) to be inflamed
ἐκκακέω	to lose heart
ἐκκεντέω	to pierce
ἐκκλάω	(pass.) to be broken off
ἐκκλείω	to alienate
ἐκκλησία	church
ἐκκλίνω	to turn away
ἐκκολυμβάω	to swim away
ἐκκομίζω	to carry out
ἐκκοπή	hindrance
ἐκκόπτω	to cut off
ἐκκρεμάννυμι	(mid.) to hang upon (words)
ἐκλαλέω	to tell
ἐκλάμπω	to shine
ἐκλανθάνομαι	to forget
ἐκλέγομαι	to chose
ἐκλείπω	to fail
ἐκλεκτός	elect
ἐκλογή	election
ἐκλύω	(pass.) to lose heart
ἐκμάσσω	to wipe off
ἐκμυκτηρίζω	to sneer at
ἐκνεύω	to slip away
ἐκνήφω	to come to one's sense
ἑκουσίως	spontaneous
ἔκπαλαι	for a long time
ἐκπειράζω	to test
ἐκπέμπω	to send away
ἐκπερισσῶς	emphatically
ἐκπετάννυμι	to hold out
ἐκπηδάω	to rush out
ἐκπίπτω	to fall off
ἐκπλέω	to sail (from)
ἐκπληρόω	to (utterly) fulfill
ἐκπλήρωσις	end
ἐκπλήσσω	(pass.) to be amazed
ἐκπνέω	to breathe one's last breath
ἐκπορεύομαι	to go out
ἐκπορνεύω	to engage in sexual immorality
ἐκπτύω	to scorn
ἐκπυρόω	to set on fire
ἐκριζόω	to uproot
ἔκστασις	amazement
ἐκστρέφω	(pass.) to be warped
ἐκσῴζω	to bring safely
ἐκταράσσω	to throw into an uproar
ἐκτείνω	to stretch out
ἐκτελέω	to finish
ἐκτένεια	earnestness
ἐκτενής	deep
ἐκτενῶς	deeply
ἐκτίθημι	(mid.) to explain
ἐκτινάσσω	to shake off
ἐκτός	outside
ἕκτος	sixth
ἐκτρέπω	to turn away
ἐκτρέφω	to feed
ἔκτρομος	trembling
ἔκτρωμα	abnormal or untimely birth
ἐκφέρω	to bring out
ἐκφεύγω	to escape
ἐκφοβέω	to frighten
ἔκφοβος	frightened
ἐκφύω	to come out
ἐκφωνέω	cry out
ἐκχέω	to pour out
ἐκχύννομαι	to be poured out
ἐκχωρέω	to go out
ἐκψύχω	to die
ἑκών	voluntarily
ἐλαία	olive
ἐλαιών	olive oil
Ἐλαμίτης	Elamite
ἐλάσσων	lesser
ἐλαττονέω	to have too little
ἐλαττόω	to make lower than
ἐλάττων	lesser
ἐλαύνω	to row (with oars)
ἐλαφρία	lightness
ἐλαφρός	light
ἐλάχιστος	least
Ἐλεάζαρ	Eleazar
ἐλεάω	to show mercy
ἐλεγμός	rebuke
ἔλεγξις	rebuke
ἔλεγχος	certainty
ἐλέγχω	to expose
ἐλεεινός	pitiful
ἐλεέω	to have mercy on
ἐλεημοσύνη	gift to the poor
ἐλεήμων	merciful
ἔλεος	mercy
ἐλευθερία	freedom
ἐλεύθερος	free
ἐλευθερόω	to set free
ἔλευσις	coming
ἐλεφάντινος	made of ivory (derivative of the Greek word for <i>elephant
Ἐλιακίμ	Eliakim
Ἐλιέζερ	Eliezer
Ἐλιούδ	Eliud
Ἐλισάβετ	Elizabeth
Ἐλισαῖος	Elisha
ἑλίσσω	to roll up
ἕλκος	sore
ἑλκόω	(pass.) to be covered with sores
ἑλκύω	to drag
Ἑλλάς	Greece
Ἕλλην	Greek
Ἑλληνικός	Greek (language)
Ἑλληνίς	Greek
Ἑλληνιστής	Grecian Jew
Ἑλληνιστί	in Greek (language)
ἐλλογάω	to charge (to one's account)
ἐλλογέω	(pass.) to be charged to one's account
Ἐλμαδάμ	Elmadam
ἐλπίζω	to hope
ἐλπίς	hope
Ἐλύμας	Elymas
ἐλωΐ	Eloi [Aramaic: my God]
ἐμαυτοῦ	myself
ἐμβαίνω	to get into
ἐμβάλλω	to throw into
ἐμβαπτίζω	to dip into
ἐμβάπτω	to dip into
ἐμβατεύω	to go into great detail about
ἐμβιβάζω	to put on board (a vessel)
ἐμβλέπω	to look (closely
ἐμβριμάομαι	to warn sternly
ἐμέω	to spit out
ἐμμαίνομαι	to be enraged
Ἐμμανουήλ	Immanuel
Ἐμμαοῦς	Emmaus
ἐμμένω	to remain in
Ἑμμώρ	Hamor
ἐμός	my
ἐμπαιγμονή	scoffing
ἐμπαιγμός	jeering
ἐμπαίζω	to mock
ἐμπαίκτης	scoffer
ἐμπέμπω	to send in
ἐμπεριπατέω	to walk among
ἐμπιμπλάω	to provide
ἐμπίμπρημι	to burn
ἐμπίπλημι	to provide
ἐμπίπτω	to fall into
ἐμπλέκω	(mid./pass.) to be involved in
ἐμπλοκή	braiding (possibly associated with high fashion)
ἐμπνέω	to breath
ἐμπορεύομαι	to carry on business
ἐμπορία	business
ἐμπόριον	market
ἔμπορος	merchant
ἐμπρήθω	to burn
ἔμπροσθεν	before
ἐμπτύω	to spit on
ἐμφανής	seen
ἐμφανίζω	to show
ἔμφοβος	afraid
ἐμφυσάω	to breathe on
ἔμφυτος	implanted
ἐναγκαλίζομαι	to take in one's arms
ἐνάλιος	creatures pertaining to the sea
ἐνάλλομαι	leap upon
ἐνανθρωπέω	to take on human form
ἔναντι	before (spatial)
ἐναντίον	before (spatial)
ἐναντιόομαι	to oppose
ἐναντίος	against
ἐναργής	clear
ἐνάρχομαι	to begin
ἔνατος	ninth (ninth hour = three p.m.)
ἐναφίημι	to let
ἐνδεής	needy
ἔνδειγμα	evidence
ἐνδείκνυμι	to show
ἔνδειξις	demonstration
ἕνδεκα	eleven
ἑνδέκατος	eleventh
ἐνδέχομαι	it is possible
ἐνδημέω	to be at home
ἐνδιδύσκω	to put on
ἔνδικος	just
ἐνδοξάζομαι	to be glorified
ἔνδοξος	honored
ἔνδυμα	clothing
ἐνδυναμόω	to give strength
ἐνδύνω	to worm one's way
ἔνδυσις	putting on
ἐνδύω	to clothe
ἐνδώμησις	construction
ἐνέδρα	plot
ἐνεδρεύω	to wait in ambush
ἔνεδρον	plot
ἐνειλέω	to wrap in
ἔνειμι	to be inside
ἕνεκα	for the sake of
ἕνεκεν	for
ἐνενήκοντα	ninety
ἐνεός	speechless
ἐνέργεια	working
ἐνεργέω	to be at work in
ἐνέργημα	working
ἐνεργής	active
ἐνευλογέω	(pass.) to be blessed
ἐνέχω	to oppose
ἐνθάδε	here
ἔνθεν	from here
ἐνθυμέομαι	to consider
ἐνθύμησις	thought
ἔνι	there is
ἐνιαυτός	year
ἐνίοτε	sometimes
ἐνίστημι	to be present
ἐνισχύω	to strengthen (another)
ἐννέα	nine
ἐννεός	speechless
ἐννεύω	to make a sign
ἔννοια	attitude
ἐννόμως	under law
ἔννυχος	while it is still dark
ἐνοικέω	to live in
ἐνορκίζω	to charge by oath
ἑνότης	unity
ἐνοχλέω	(act.) to cause trouble
ἔνοχος	subject to
ἔνταλμα	rule
ἐνταφιάζω	to prepare (a corpse) for burial
ἐνταφιασμός	preparation for burial
ἐντέλλω	(mid.) to command
ἐντεῦθεν	from here
ἔντευξις	prayer
ἐντίθημι	to put in
ἔντιμος	highly valued
ἐντολή	command
ἐντόπιος	resident
ἐντός	inside
ἐντρέπω	to cause shame
ἐντρέφω	(pass.) to be brought up
ἔντρομος	trembling
ἐντροπή	shame
ἐντρυφάω	to revel
ἐντυγχάνω	to intercede
ἐντυλίσσω	to wrap up (a body)
ἐντυπόω	(pass.) to be engraved
ἐνυβρίζω	to insult
ἐνυπνιάζομαι	to (have supernatural) dreams or visions
ἐνύπνιον	dream
ἐνώπιον	before
Ἐνώς	Enosh
ἐνωτίζομαι	to listen carefully
Ἑνώχ	Enoch
ἕξ	six
ἐξαγγέλλω	to declare
ἐξαγοράζω	(act.) to redeem
ἐξάγω	to lead out
ἐξαιρέω	(act.) to gouge
ἐξαίρω	to expel
ἐξαιτέω	(mid.) to ask for
ἐξαίφνης	suddenly
ἐξακολουθέω	to follow
ἑξακόσιοι	six hundred
ἐξαλείφω	to wipe away
ἐξάλλομαι	to jump up
ἐξανάστασις	resurrection
ἐξανατέλλω	to spring up
ἐξανίστημι	to raise up (seed) = have children
ἐξανοίγω	to open fully
ἐξαπατάω	to deceive
ἐξάπινα	suddenly
ἐξαπορέω	(mid.) to despair
ἐξαποστέλλω	to send out
ἐξαρτάω	to be attached to
ἐξαρτίζω	to finish
ἐξαστράπτω	to flash like lightning
ἐξαυτῆς	immediately
ἐξεγείρω	to raise
ἔξειμι	to leave
ἐξελέγχω	to convict
ἐξέλκω	(pass.) to be dragged away
ἐξέραμα	vomit
ἐξεραυνάω	to search intently
ἐξέρχομαι	to go out
ἔξεστιν	it is legal
ἐξετάζω	to make a search
ἐξέχω	to stand out
ἐξηγέομαι	to tell
ἑξήκοντα	sixty
ἑξῆς	next
ἐξηχέω	(pass.) to ring out
ἕξις	constant use
ἐξίστημι	to amaze
ἐξισχύω	to have power
ἔξοδος	exodus
ἐξολεθρεύω	(pass.) to be completely cut off from
ἐξομολογέομαι	(act.) to consent
ἐξορκίζω	to charge under oath
ἐξορκιστής	one driving out evil spirits
ἐξορύσσω	to dig through
ἐξουδενέω	(pass.) to be rejected
ἐξουδενόω	(pass.) to be rejected
ἐξουθενέω	to treat with contempt
ἐξουθενόω	despise
ἐξουσία	authority
ἐξουσιάζω	to have power over
ἐξουσιαστικός	authoritative
ἐξοχή	leading
ἐξυπνίζω	to wake up
ἔξυπνος	awake
ἔξω	out
ἔξωθεν	from the outside
ἐξωθέω	to drive out
ἐξώτερος	outside
ἔοικα	to be like
ἑορτάζω	to celebrate a festival
ἑορτή	feast
ἐπαγγελία	promise
ἐπαγγέλλομαι	to promise
ἐπάγγελμα	promise
ἐπάγω	to bring upon
ἐπαγωνίζομαι	to contend
ἐπαθροίζω	(pass.) to increase
Ἐπαίνετος	Epenetus
ἐπαινέω	to praise
ἔπαινος	praise
ἐπαίρω	to lift up
ἐπαισχύνομαι	to be ashamed of
ἐπαιτέω	to beg
ἐπακολουθέω	to follow after
ἐπακούω	to hear
ἐπακροάομαι	to listen to
ἐπάν	when
ἐπάναγκες	necessarily
ἐπανάγω	to put out (to sea)
ἐπαναμιμνῄσκω	to remind again
ἐπαναπαύομαι	to rest on
ἐπανέρχομαι	to return (home)
ἐπανίστημι	to rebel against
ἐπανόρθωσις	correcting
ἐπάνω	above
ἐπάρατος	accursed
ἐπαρκέω	to help
ἐπαρχεία	province
ἐπάρχειος	belonging to an eparch
ἐπαρχικός	pertaining to the eparch
ἔπαυλις	place to live
ἐπαύριον	the next day
