G1	阿拉法
G3449	勞碌
G3450	我的
G3451	音樂的
G3452	骨髓^
G3453	講授入門知識
G3454	無稽之談
G3455	吼叫
G3456	作鬼臉
G3457	磨坊的
G3458	磨石
G3459	磨坊
G3460	每拉
G3461	一萬
G3462	抹膏
G3463	萬
G3464	沒藥
G3465	每西亞
G3466	奧祕
G3467	閉著眼睛
G3468	鞭傷
G3469	吹毛求疵
G3470	瑕疵
G3471	失了味
G3472	愚拙
G3473	妄語
G3474	愚拙的
G3475	摩西
G3476	拿順
G3477	拿該
G3478	拿撒勒
G3479	拿撒勒人
G3480	拿撒勒的
G3481	拿單
G3482	拿但業
G3483	是
G3484	拿因
G3485	殿
G3486	拿鴻
G3487	哪噠
G3488	拿其數
G3489	船被破毀
G3490	船長
G3491	船
G3492	船員
G3493	拿鶴
G3494	青年人
G3495	年輕人
G3496	尼亞波利
G3497	乃縵
G3498	死
G3499	治死
G3500	死亡
G3501	新
G3502	幼雛
G3503	新
G3504	新栽上的
G3505	尼祿
G3506	點頭
G3507	雲
G3508	拿弗他利
G3509	雲
G3510	腎臟
G3511	看守殿的
G3512	少年的
G3513	確實地
G3514	紡織
G3515	言行如嬰孩
G3516	不能說話的
G3517	尼利亞
G3518	尼利
G3519	小島
G3520	島
G3521	禁戒
G3522	禁戒食物
G3523	未進食
G3524	清醒的
G3525	禁戒酒
G3526	尼結
G3527	尼迦挪
G3528	得勝
G3529	征服
G3530	尼哥底母
G3531	尼哥拉黨人
G3532	尼哥拉
G3533	尼哥波立
G3534	征服者
G3535	尼尼微
G3536	尼尼微人
G3537	大水罐
G3538	洗淨
G3539	運用心思
G3540	理解力
G3541	庶出的
G3542	牧草
G3543	依法
G3544	循法的
G3545	合法地
G3546	法定錢幣
G3547	解釋律法者
G3548	立法
G3549	制定律法
G3550	立法者
G3551	律法
G3552	生病
G3553	病
G3554	疾病
G3555	孵雛
G3556	小雞
G3557	私自留下
G3558	南風
G3559	警戒
G3560	勸戒
G3561	新月之慶
G3562	有思路的
G3563	悟性
G3564	寧法
G3565	新娘
G3566	新郎
G3567	新房
G3568	現在
G3569	如今
G3570	即時
G3571	夜
G3572	戮穿
G3573	打盹
G3574	一晝一夜
G3575	挪亞
G3576	懈怠的
G3577	背脊
G3578	待客住處
G3579	款待
G3580	要善於待客
G3581	外人
G3582	容器
G3583	使乾涸
G3584	枯乾的
G3585	木製的
G3586	木料
G3587	剃
G3588	這
G3589	十乘八
G3590	第八
G3591	重量
G3592	同樣地
G3593	行路
G3594	指引道路
G3595	領導者
G3596	徒步旅行
G3597	旅行
G3598	道路
G3599	牙齒
G3600	傷心
G3601	傷痛
G3602	呻吟
G3603	就是
G3604	烏西亞
G3605	聞出氣味
G3606	從此
G3607	細麻布
G3608	細麻布
G3609	屬於家的
G3610	家人
G3611	居住
G3612	多家合居之房屋
G3613	住所
G3614	家
G3615	家裏的人
G3616	作一家之主
G3617	一家之主
G3618	作匠人
G3619	建築
G3620	確定
G3621	經營
G3622	管理
G3623	家務分配者
G3624	住處
G3625	天下
G3626	料理家務的
G3627	發憐憫
G3628	慈悲
G3629	慈悲的
G3630	酒徒
G3631	酒
G3632	被酒充溢
G3633	設想
G3634	這樣的
G3635	耽延
G3636	緩慢的
G3637	八日大的嬰孩
G3638	八
G3639	敗壞
G3640	不肯信的
G3641	細微的
G3642	小魂的
G3643	小看
G3644	敗壞者
G3645	滅
G3646	完全燒盡的祭物
G3647	完整
G3648	完備的
G3649	哀號
G3650	整個
G3651	貫徹到底
G3652	阿林巴
G3653	未成熟的無花果
G3654	徹底地
G3655	雷雨
G3656	與人為伍
G3657	友誼
G3658	結交
G36580001	霧
G3659	眼界
G3660	起誓
G3661	意見一致的
G3662	相像
G3663	同受影響的
G3664	好像
G3665	同樣
G3666	好比
G3667	樣式
G3668	照樣地
G3669	形像
G3670	同意
G3671	承認
G3672	公認地
G3673	同業
G3674	相同
G3675	思念相同
G3676	同時
G3677	夢
G3678	驢駒
G3679	誹謗
G3680	侮辱
G3681	醜名
G3682	阿尼西母
G3683	阿尼色弗
G3684	磨石
G3685	使滿足
G3686	名字
G3687	起名
G3688	驢
G3689	真正地
G3690	醋
G3691	鋒利的
G3692	洞穴
G3693	後頭
G3694	到後面
G3695	裝備
G3696	器具
G3697	那一等的
G3698	其時
G3699	何處
G3700	注視
G3701	異象
G3702	煮的
G3703	季節將盡
G3704	如何
G3705	景象
G3706	注視中
G3707	注視的
G3708	凝視
G3709	意欲
G3710	動怒
G3711	暴燥的
G3712	噚
G3713	伸展雙手
G3714	山地
G3715	心思激動
G3716	按正直行
G3717	正直的
G3718	正確分解
G3719	趁早
G3720	破曉
G3721	曙
G3722	黎明
G3723	正直地
G3724	標出
G3725	界限
G3726	宣誓
G3727	確定
G3728	鄭重起誓
G3729	出發
G3730	暴動
G3731	攻擊
G3732	小鳥
G3733	鳥
G3734	劃定界線
G3735	山
G3736	挖洞
G3737	喪失雙親的
G3738	跳舞
G3739	誰
G3740	每逢
G3741	神聖的
G3742	虔誠
G3743	虔誠地
G3744	香氣
G3745	凡
G3746	尤其
G3747	骨
G3748	這些
G3749	瓦器
G3750	聞味
G3751	腰
G3752	每當
G3753	及至
G3754	那
G3755	當時
G3756	否
G3757	在那裏
G3758	啊
G3759	禍哉
G3760	決不
G3761	然而不
G3762	毫無
G3763	從來沒有
G3764	仍尚未
G3765	尚未
G3766	要不然
G3767	必然地
G3768	尚未
G3769	尾巴
G3770	在天上的
G3771	從天上
G3772	天空
G3773	耳巴奴
G3774	烏利亞
G3775	耳
G3776	物質
G3777	亦不
G3778	這
G3779	如此
G3780	果然不是
G3781	欠債者
G3782	所欠的債
G3783	債
G3784	欠債
G3785	我應當
G3786	利益
G3787	眼前事奉
G3788	眼睛
G3789	蛇
G3790	眼眉
G3791	侵擾
G3792	聚眾
G3793	擠滿
G3794	城堡
G3795	美味食物
G3796	日暮
G3797	晚春
G3798	晚上
G3799	外貌
G3800	士兵的糧食
G3801	昔在今在
G3802	誘入陷阱
G3803	陷阱
G3804	苦難
G3805	必須受苦
G3806	受苦
G3807	孩童領導者
G3808	小孩童
G3809	管教
G3810	訓練者
G3811	訓練
G3812	自幼
G3813	小孩子
G3814	女孩
G3815	遊戲
G3816	孩童
G3817	打
G3818	帕卡帖阿奈
G3819	從前
G3820	古老的
G3821	陳舊
G3822	成為老舊
G3823	角力
G3824	重生
G3825	再
G3826	一齊
G3827	很多的
G3828	旁非利亞
G3829	全部接受
G3830	客棧主人
G3831	民眾大會
G3832	和全家
G3833	全副盔甲
G3834	機巧
G3835	無所不為的
G3836	從各處
G3837	各處
G3838	充分完成
G3839	全然地
G3840	四面
G3841	全能者
G3842	經常的
G3843	全部
G3844	旁
G3845	作相反的事
G3846	停靠
G3847	違犯
G3848	違犯者
G3849	強人之不願
G3850	比喻
G3851	錯誤諮詢
G3852	命令
G3853	傳送信息
G3854	靠近
G3855	領近
G3856	在民眾旁顯示
G3857	樂園
G3858	接受
G3859	錯誤應用
G3860	交付
G3861	與期望相反的
G3862	傳統
G3863	激發
G3864	沿海
G3865	忽略
G3866	存放
G3867	勸告
G3868	請求原諒
G3869	靠近坐
G3870	召近來
G3871	掩蓋
G3872	託付
G3873	躺在近旁
G3874	懇求
G3875	代求者
G3876	不注意
G3877	跟隨在側
G3878	誤聽
G3879	側旁彎腰
G3880	帶到身邊
G3881	沿岸航行
G3882	鹽海旁
G3883	變化
G3884	誤算
G3885	癱瘓的
G3886	癱瘓
G3887	就近停住
G3888	接近
G3889	撫慰
G3890	慰藉
G3891	抵觸律法
G3892	犯罪
G3893	惹人發怒
G3894	發怒
G3895	遺棄
G3896	航近
G3897	幾乎
G3898	近似地
G3899	從旁經過
G3900	滑出去
G3901	流過
G3902	有記號的
G3903	儲應
G3904	準備妥
G3905	伸延
G3906	在旁檢視
G3907	檢視
G3908	交託
G3909	巧遇
G3910	至暫
G3911	取去
G3912	狂想
G3913	瘋狂
G3914	過冬
G3915	在過冬
G3916	與事同時
G3917	豹
G39170001	靜坐在側旁
G3918	靠近
G3919	從旁引進
G3920	私運進來的
G3921	側旁遷入
G3922	從旁進來
G3923	從旁運進
G3924	此外
G39240001	從旁拋進
G3925	從旁投入
G3926	更加侵擾
G3927	傍依異鄉的
G3928	走近
G3929	容忍
G3930	提供
G3931	在旁講論
G3932	童女時期
G3933	童女
G3934	帕提亞人
G3935	放過去
G3936	站在旁邊
G3937	巴米拿
G3938	通道
G3939	就近住
G3940	僑居
G3941	寄居的
G3942	忖度
G3943	逗留於酒旁
G3944	過去
G3945	相似
G3946	相似的
G3947	使其銳利
G3948	激發
G3949	惹動氣忿
G3950	盛怒
G3951	挑唆
G3952	在近側
G3953	次盤小菜
G3954	坦率直言
G3955	放膽講論
G3956	一切
G3957	逾越節
G3958	經歷苦楚
G3959	帕大喇
G3960	打擊
G3961	踐踏
G3962	父親
G3963	拔摩
G3964	弒父者
G3965	父系血統
G3966	先祖
G3967	父系的
G3968	父地
G3969	八羅巴
G3970	傳統的
G3971	父親的
G3972	保羅
G3973	止住
G3974	帕弗
G3975	加濃
G3976	腳鐐
G3977	平的
G3978	步行
G3979	步行的
G3980	被統治者說服
G3981	善於勸導的
G3982	說服
G3983	挨餓
G3984	察驗
G3985	試驗
G3986	試煉
G3987	實驗
G3988	說服力
G3989	深
G3990	砍斷
G3991	第五
G3992	打發
G3993	貧窮
G3994	妻子的母親
G3995	妻子的父親
G3996	哀慟
G3997	憂傷
G3998	窮困的
G3999	五次
G4000	五乘一千
G4001	五百
G4002	五
G4003	五和第十
G4004	五十
G4005	第五十
G4006	信賴
G4007	多
G40070001	此外
G4008	那邊
G4009	極
G4010	別迦摩
G4011	別加
G4012	為
G4013	走遍
G4014	除去四圍一切
G40140001	繫住
G4015	動詞 {2}四周閃光
G4016	披裹
G4017	周圍環視
G4018	圍裹
G4019	四周捆綁
G4020	到處活動
G4021	到處活動的
G4022	包含
G4023	包含
G4024	四圍束縛
G4025	四圍安置
G4026	周圍站著
G4027	潔淨四散污物
G4028	四圍蓋住
G4029	圍繞
G4030	圍繞著頭的
G4031	掌握著
G4032	四圍封緊
G4033	四圍環繞
G4034	周圍照射
G4035	存留
G4036	極其傷心
G4037	周圍停住
G4038	四周
G4039	周圍居住
G4040	鄰里
G4041	超過通常的
G4042	內容
G4043	走遍
G4044	完全穿入
G4045	落在其中
G4046	保全自己
G4047	獲得產業
G4048	剝開
G4049	四圍拉扯
G4050	盈餘
G4051	剩餘
G4052	充足
G4053	極多的
G4054	越發
G4055	極其多
G4056	更加
G4057	分外
G4058	鴿子
G4059	四周切
G4060	綁
G4061	割禮
G4062	轉變
G4063	跑遍
G4064	隨身帶著
G4065	自忖過高
G4066	周圍的地方
G4067	碎渣四散
G4068	誇口
G4069	彼息氏
G4070	去年
G4071	飛禽
G4072	飛
G4073	巖石
G4074	彼得
G4075	石頭似的
G4076	芸香
G4077	泉源
G4078	固定
G4079	舵
G4080	多大
G4081	黏土
G4082	錢袋
G4083	前臂
G4084	緊握
G4085	擠壓
G4086	勸誘遊說
G4087	苦待
G4088	尖刻
G4089	銳利的
G4090	悲痛地
G4091	彼拉多
G4092	燃燒
G4093	書寫板
G4094	盤子
G4095	喝
G4096	豐肥的
G4097	商業
G4098	落下
G4099	彼西底
G4100	相信
G4101	可信靠的
G4102	信服
G4103	可信賴的
G4104	確信
G4105	流浪
G4106	詐欺
G4107	流蕩者
G4108	漂泊
G4109	模板
G4110	塑造物
G4111	模造
G4112	模造成的
G4113	寬廣地方
G4114	寬
G4115	加寬
G4116	平闊
G4117	編髮
G4118	最大數目
G4119	更多
G4120	編結
G4121	多行些
G4122	貪
G4123	持有更多
G4124	貪財
G4125	肋
G4126	船渡
G4127	毆傷
G4128	完全
G4129	增多
G4130	充滿
G4131	攻擊者
G4132	洪水
G4133	再者
G4134	滿的
G4135	完滿的實現
G4136	確信
G4137	充滿
G4138	充滿
G4139	近鄰
G4140	滿足
G4141	重擊
G4142	小船
G4143	船
G4144	航行
G4145	富裕的
G4146	豐富地
G4147	成為富足
G4148	使其富足
G4149	財富
G4150	投入水中洗
G4151	氣
G4152	非肉體的
G4153	非物質的
G4154	吹氣
G4155	喘息
G4156	勒死的
G4157	氣息
G4158	長衣延垂至踝
G4159	從那裏
G4160	作
G4161	生產品
G4162	行為
G4163	行動者
G4164	混雜的
G4165	住在牧人帳棚中
G4166	牧人
G4167	群
G4168	群羊
G4169	何種的
G4170	作戰
G4171	爭戰
G4172	城
G4173	城市官吏
G4174	公民籍
G4175	公眾
G4176	作市民
G4177	居民
G4178	屢次
G4179	多倍的
G4180	多話
G4181	多次
G4182	很多種類的
G4183	多
G4184	極有憐憫心的
G4185	極貴的
G4186	極有價值的
G4187	多方地
G4188	飲料
G4189	邪惡
G4190	有害的
G4191	更惡的
G4192	勞苦
G4193	本都
G4194	本丟
G4195	海洋
G4196	部百流
G4197	路程
G4198	走過
G4199	蹂躪
G4200	供給品
G4201	波求
G4202	賣淫行為
G4203	行淫
G4204	娼妓
G4205	男娼
G4206	向前
G4207	從遠處
G4208	往前
G4209	紫色
G4210	紫色的
G4211	售紫色布女商人
G4212	多少次
G4213	飲用
G4214	多少
G4215	河流
G4216	河流沖去
G4217	任何
G4218	有時
G4219	何時
G4220	那一個
G4221	杯
G4222	供飲
G4223	部丟利
G4224	飲宴
G4225	大約
G4226	如何
G4227	布田
G4228	足
G4229	事
G4230	事務
G4231	忙碌
G4232	官署
G4233	實行的人
G4234	實施
G4235	溫和的
G4236	溫和
G4237	花園圖案
G4238	實行
G42380001	溫和的性情
G4239	溫柔的
G4240	溫柔
G4241	合宜
G4242	尊者
G4243	作長老
G4244	長老的職務
G4245	長老
G4246	老年人
G4247	老年婦人
G4248	傾向前方
G4249	鋸為兩段
G4250	以先
G4251	百基拉
G4252	百基拉
G4253	前
G4254	引領向前
G4255	事前自擇
G4256	已經控告
G4257	已經聽見
G4258	從前犯罪
G4259	前院
G4260	往前走
G4261	向前拋
G4262	與羊有關
G4263	向前走的
G4264	強迫向前
G4265	事前注視
G4266	早已
G4267	預先知道
G4268	預籌
G4269	祖先
G4270	從前所寫
G4271	坦誠於眾人面前
G4272	先給
G4273	交付者
G4274	在前跑的
G4275	先見
G4276	首先有盼望
G4277	早已說
G4278	已經著手
G4279	從前所應許
G4280	已經說過
G4281	往前走
G4282	預先裝備好
G4283	預先宣佈好消息
G4284	自認比別人強
G4285	為別人引路
G4286	陳設
G4287	預先定時
G4288	傾向
G4289	熱切響往
G4290	敏捷
G4291	站在前面
G4292	喚起
G4293	事先宣佈
G4294	預先準備
G4295	擺在前面
G4296	預先宣布
G4297	進步
G4298	往前
G4299	成見
G4300	預先所立
G4301	先行取得
G4302	預言
G4303	預先證明
G4304	預先考慮
G4305	預先思慮
G4306	預為籌謀
G4307	預見
G4308	曾看見
G4309	預先確定
G4310	從前受苦楚
G43100001	祖宗
G4311	往前送
G4312	向前墮落
G4313	在前引路
G4314	向著
G4315	安息日的前一日
G4316	講說
G4317	向⋯帶領
G4318	准許進入
G4319	重複地請求
G43190001	乞丐
G4320	更往上升
G4321	過度花費
G4322	填滿
G4323	商量
G4324	再加威脅
G4325	加添的消耗
G4326	還有需要
G4327	容納
G4328	期望
G4329	期待
G4330	有待許可
G4331	行近
G4332	坐近
G4333	額外地工作
G4334	行近
G4335	禱告
G4336	向神祈求
G4337	專心向著
G4338	釘牢於
G4339	從外地到達者
G4340	僅為此機會
G4341	召前來
G4342	誠摯向著
G4343	堅持
G4344	為著頭的東西
G4345	按鬮分派
G4346	傾向
G4347	黏接
G43470001	傾向
G4348	絆腳石
G4349	絆腳之事物
G4350	絆跌
G4351	滾動
G4352	乞憐
G4353	俯伏敬拜者
G4354	訓誡
G4355	接受
G4356	收納
G4357	停住下去
G4358	碇泊
G4359	仍是負債
G4360	感到憤慨
G4361	很餓
G4362	固定於
G4363	向前俯伏
G4364	自命
G4365	向前行
G4366	衝向前
G4367	正在處理
G4368	幫助者
G4369	增添
G4370	跑上去
G4371	配著餅喫的
G4372	先前
G4373	新近
G4374	引到
G4375	友善的
G4376	禮物
G4377	呼喚
G4378	灑在
G4379	輕輕彈指
G4380	偏心待人
G4381	以貌取人
G4382	偏袒
G4383	面前
G4384	預先安排
G4385	身體前伸
G4386	先前
G4387	以前
G4388	預定
G4389	促進
G4390	跑在前面
G4391	從前存在
G4392	外表的做作
G4393	發出
G4394	預言
G4395	說預言
G4396	說預言者
G4397	屬先知的
G4398	女先知
G4399	先發制人
G4400	預先下手
G4401	預先揀選
G4402	伯羅哥羅
G4403	船尾
G4404	破曉
G4405	早晨
G4406	早的
G4407	晨
G4408	船頭
G4409	居首位
G4410	首座
G4411	筵席上之首座
G4412	首先
G4413	首要的
G4414	首領
G4415	長子名分
G4416	首生的
G4417	失足
G4418	足跟
G4419	小翅
G4420	翅
G4421	鳥
G4422	驚慌
G4423	恐懼
G4424	多利買
G4425	簸箕
G4426	恐嚇
G4427	唾沫
G4428	捲起來
G4429	吐唾沫
G4430	毀滅
G4431	跌倒
G4432	赤貧
G4433	成了貧窮
G4434	乞丐
G4435	緊握拳頭
G4436	巫師
G4437	屢次的
G4438	鬥拳
G4439	大門
G4440	建築物的大門口
G4441	查問
G4442	火
G4443	燃火
G4444	高樓
G4445	在火熱中
G4446	火中燒
G4447	如火的
G4448	點燃
G4449	發紅
G4450	如火紅的
G4451	發火
G4452	尚
G4453	交換
G4454	小驢
G4455	任何時候
G4456	使堅硬
G4457	剛硬
G4458	未知如何
G4459	用何法
G4460	喇合
G4461	我的師傅
G4462	我的師傅
G4463	用棍打
G4464	杖
G4465	持杖者
G4466	拉吳
G4467	輕率行為
G4468	鹵莽
G4469	哦
G4470	碎布
G4471	拉瑪
G4472	灑水
G4473	灑水禮
G4474	摑
G4475	摑
G4476	針
G4477	喇合氏
G4478	拉結
G4479	利百加
G4480	驢車
G4481	理番
G4482	湧流
G4483	說出來
G4484	利基翁
G4485	撕裂
G4486	破裂
G4487	發表
G4488	利撒
G4489	說話者
G4490	坦言地
G4491	根
G4492	生根
G4493	急動
G4494	騷動
G4495	投出去
G4496	拋擲
G4497	羅波安
G4498	羅大
G4499	羅底
G4500	颼颼聲地
G4501	刀劍
G4502	流便
G4503	路得
G4504	魯孚
G4505	小街巷
G4506	衝進
G4507	污物
G4508	骯髒的
G4509	污穢
G4510	弄污
G4511	血漏
G4512	摺
G4513	羅馬的
G4514	羅馬人
G4515	羅馬文
G4516	羅馬
G4517	加力
G4518	你離棄了我
G4519	眾軍
G4520	守安息日
G4521	安息日
G4522	大捕魚網
G4523	撒都該人
G4524	撒督
G4525	搖擺
G4526	麻布
G4527	沙拉
G4528	撒拉鐵
G4529	撒拉米
G4530	撒冷
G4531	擺動
G4532	撒冷
G4533	撒門
G4534	撒摩尼
G4535	震動
G4536	喇叭
G4537	吹喇叭
G4538	喇叭手
G4539	撒羅米
G4540	撒瑪利亞
G4541	撒瑪利亞
G4542	撒瑪利亞
G4543	撒摩特喇
G4544	撒摩
G4545	撒母耳
G4546	參孫
G4547	拖鞋
G4548	平板
G4549	掃羅
G4550	腐爛的
G4551	撒非喇
G4552	藍寶石
G4553	籃筐子
G4554	撒狄
G4555	紅寶石
G4556	紅寶石
G4557	紅瑪瑙
G4558	撒勒法
G4559	屬肉體的
G4560	有如肉體的
G4561	肉體
G4562	西鹿
G4563	打掃
G4564	撒拉
G4565	沙崙
G4566	撒但
G4567	控告者
G4568	一種量器
G4569	掃羅
G4570	熄滅
G4571	你
G4572	你自己
G4573	敬奉
G4574	所敬拜的
G4575	可尊敬的
G4576	敬拜
G4577	鏈子
G4578	震動
G4579	搖滾
G4580	西公都
G4581	西流基
G4582	月亮
G4583	發狂
G4584	西美
G4585	細麵
G4586	端莊的
G4587	端莊
G4588	士求
G4589	塞特
G4590	閃
G4591	指明
G4592	表記
G4593	辨識
G4594	今日
G4595	腐壞
G4596	絲的
G4597	蛀蟲
G4598	蟲子咬
G4599	加給力量
G4600	頷
G4601	閉口不言
G4602	緘默
G4603	鐵作的
G4604	鐵
G4605	西頓
G4606	西頓人
G4607	兇徒
G4608	含酒精飲料
G4609	西拉
G4610	西拉
G4611	西羅亞
G4612	圍裙
G4613	西門
G4614	西乃
G4615	芥菜
G4616	細麻布
G4617	篩
G4618	餵飽了的
G4619	餵飽的
G4620	定量食糧
G4621	穀類
G4622	錫安
G4623	啞
G4624	誘陷
G4625	陷阱
G4626	挖掘
G4627	輕舟
G4628	腿
G4629	衣服
G4630	士基瓦
G4631	家具
G4632	器具
G4633	帳棚
G4634	住棚節
G4635	製帳棚者
G4636	茅舍
G4637	住帳棚
G4638	帳幕
G4639	蔭
G4640	跳躍
G4641	硬心
G4642	乾的
G4643	剛硬
G4644	豎琴頸
G4645	使堅硬
G4646	彎曲的
G4647	枯枝尖
G4648	意圖
G4649	注意
G4650	分散
G4651	蠍子
G4652	不透明
G4653	昏暗
G4654	使暗
G4655	蔭蔽
G4656	使暗
G4657	丟給狗的
G4658	西古提人
G4659	怒容
G4660	勞煩
G4661	剝皮
G4662	蟲咬了
G4663	蟲
G4664	翡翠組成的
G4665	翡翠
G4666	沒藥
G4667	士每拿
G4668	士每拿人
G4669	調以沒藥
G4670	所多瑪
G4671	為你
G4672	所羅門
G4673	安葬用容器
G4674	你的
G4675	屬你
G4676	手巾
G4677	蘇撒拿
G4678	智慧
G4679	有智慧
G4680	有智慧的
G4681	士班雅
G4682	撕裂
G4683	裹緊
G4684	貪戀酒色
G4685	抽出
G4686	盤繞
G4687	撒種
G4688	護衛兵
G4689	澆奠
G4690	種子
G4691	喫種子的鳥
G4692	急速
G4693	大地洞
G4694	暗礁
G4695	玷污
G4696	污穢
G4697	有憐憫心腸
G4698	心腸
G4699	海綿
G4700	灰
G4701	撒的種子
G4702	撒過種的田地
G4703	撒播種子
G4704	加速
G4705	迅速的
G4706	更熱心地
G4707	更殷切的
G4708	越發急速
G4709	熱心地
G4710	急忙
G4711	籃子
G4712	士他笛按
G4713	瓶
G4714	立足點
G4715	士他帖而
G4716	樁
G4717	刺穿在十字架上
G4718	一串葡萄
G4719	穀類之前端
G4720	士大古
G4721	屋頂
G4722	蓋住
G4723	不生育的
G4724	阻止
G4725	花圈
G4726	歎息
G4727	歎氣
G4728	窄
G4729	圍緊
G4730	地方狹窄
G4731	堅硬的
G4732	使堅實
G4733	被確立的
G4734	司提反
G4735	戴在頭上的花圈
G4736	司提反
G4737	冠以榮譽花冕
G4738	胸懷
G4739	不動的
G4740	穩定
G4741	固定
G4742	印記
G4743	時間的一點
G4744	閃光
G4745	柱廊
G4746	樹枝
G4747	原質
G4748	列隊行進
G4749	裝備
G4750	口
G4751	胃
G4752	兵役
G4753	軍備
G4754	服兵役
G4755	將軍
G4756	類似營房
G4757	露宿
G4758	募兵
G4759	軍隊之統領
G4760	營地
G4761	猛扭
G4762	扭轉
G4763	奢華
G4764	濫用
G4765	小麻雀
G4766	散佈
G4767	怨恨的
G4768	發黑
G4769	支柱
G4770	斯多亞
G4771	你
G4772	親戚關係
G4773	親族
G4774	同識
G4775	與人同坐
G4776	一同坐著
G4777	一同受苦
G4778	同受虐待
G4779	召集
G4780	共同隱藏
G4781	一同彎曲
G4782	一同下去
G4783	同意
G4784	附和
G4785	共同數算
G4786	摻合
G4787	共同移動
G4788	共同關上
G4789	同為後嗣
G4790	共同分享
G4791	一同有份
G4792	一同搬運
G4793	評判
G4794	一同彎腰
G4795	偶然發生
G4796	一同歡樂
G4797	雜亂地摻合
G4798	同用
G4799	雜亂
G4800	一同繼續活著
G4801	共同負軛
G4802	共同調查
G4803	互相探詢
G4804	爭論者
G4805	同負軛
G4806	一同活過來
G4807	無花果樹
G4808	無花果樹
G4809	無花果樹
G4810	無花果
G4811	無花果-告發
G4812	當作擄物帶走
G4813	掠奪
G4814	商量
G4815	捉拿
G4816	收集
G4817	商議
G4818	憂傷
G4819	同行
G4820	聯結
G4821	一同攝政
G4822	一同努力
G4823	一同勸告
G4824	勸勉
G4825	商議者
G4826	西面
G4827	同學
G4828	同證
G4829	同領
G4830	同有分者
G4831	一同模仿者
G4832	共同的形成
G4833	使類似
G4834	同情
G4835	同感
G4836	一同出席
G4837	同得安慰
G4838	帶著同行
G4839	一同活著
G4840	同在近處
G4841	一同受苦
G4842	打發同去
G4843	緊抱著
G4844	同喝
G48440001	倒塌
G4845	完全裝滿
G4846	全然扼殺
G4847	同一市的市民
G4848	同行
G4849	酒會
G4850	同作長老
G4851	共同負擔
G4852	連合聲明
G4853	同支派的人
G4854	一同長大
G4855	一同生長
G4856	協調
G4857	一致
G4858	聲音和諧
G4859	共同發聲
G4860	一同計算
G4861	同魂的
G4862	同
G4863	共同帶領
G4864	人的聚集
G4865	一同努力
G4866	成群人摔跤
G4867	集會
G4868	共同完成
G4869	同作俘虜
G4870	陪同
G4871	和好
G48710001	和好
G4872	一同上升
G4873	一同側躺
G4874	調合在一起
G4875	同得安息
G4876	遇見
G4877	迎見
G4878	同負責任
G4879	一同離開
G4880	同死
G4881	一同滅亡
G4882	同被差遣
G4883	緊靠的連結一起
G4884	共同劫奪
G4885	一同增加
G4886	聯絡
G4887	同受捆綁
G4888	同被高舉到榮耀
G4889	同作奴隸
G4890	一同跑
G4891	一同復活
G4892	聯合會議
G4893	一同覺察
G4894	看透
G4895	同在
G4896	聚集
G4897	同著進來
G4898	同為離家在外者
G4899	同蒙揀選
G4900	共同驅使
G4901	同作見證
G4902	同去
G4903	作同工
G4904	同工
G4905	集會
G4906	一同喫飯
G4907	建立智力
G4908	建立智力的
G4909	思想共同的好處
G4910	一同宴樂
G4911	一同站起來
G4912	共同持有
G4913	自喜
G4914	共有的習俗
G4915	同歲的人
G4916	一同埋葬
G4917	一同撞破
G4918	緊壓
G4919	共同壓碎
G4920	建立
G4921	動詞） 16並列
G4922	同行
G4923	結隊旅行
G4924	同住
G4925	構造
G4926	互相交談
G4927	互相毗連
G4928	抑制
G4929	一同安排
G4930	結束
G4931	圓滿
G4932	用割切來收縮
G4933	共同嚴密保存
G4934	共同安排
G4935	簡明地
G4936	同奔
G4937	徹底的壓碎
G4938	衝擊
G4939	同被養育的
G4940	相遇
G4941	循都基
G4942	一同裝假
G4943	作幫手
G4944	同受悲痛
G4945	同心起誓
G4946	敘拉古
G4947	敘利亞
G4948	敘利亞人
G4949	敘利非尼基
G4950	賽耳底沙灘
G4951	拖拉
G4952	徹底的扯破
G4953	共有的標記
G4954	同為一體
G4955	暴動同伴
G4956	介紹的
G4957	一同被刺穿
G4958	包裹
G4959	一同歎息
G4960	同類
G4961	一同當兵
G4962	共同彎曲
G4963	共同盤旋
G4964	效法
G4965	敘加
G4966	示劍
G4967	屠宰
G4968	犧牲
G4969	宰
G4970	熱切地
G4971	非常
G4972	蓋印嚴封
G4973	印記
G4974	踝
G4975	近
G4976	風度
G4977	分開
G4978	分裂
G4979	草繩
G4980	在休假
G4981	閒蕩
G4982	救
G4983	身體
G4984	形體的
G4985	有形地
G4986	所巴特
G4987	堆積
G4988	所提尼
G4989	所西巴德
G4990	拯救者
G4991	拯救
G4992	保護者
G4993	心思健全
G4994	使人心明達
G4995	謹守
G4996	心思清明
G4997	心思明達
G4998	心思得救
G4999	小屋
G5000	大比大
G5001	有次序的安排
G5002	安排的
G5003	可憐的
G5004	可憐
G5005	忍受苦難
G5006	一他連得重
G5007	秤
G5008	年輕的
G5009	庫房
G5010	循規蹈矩
G5011	喪氣
G50110001	謙卑意向的
G5012	心思謙卑
G5013	降為卑
G5014	卑賤
G5015	激動
G5016	滋擾
G5017	滋擾
G5018	大數人
G5019	大數
G5020	監禁在永久的痛苦中
G5021	安排
G5022	小公牛
G5023	這些事
G5024	照樣
G5025	這些
G5026	此
G5027	安葬
