1	G70971	Βίβλος
41298	G71706	ἔμπροσθεν
41299	G70838	αὐτοῦ
41300	G72518	καὶ
41301	G70607	ἀποκριθεὶς
41302	G73459	ὁ
41303	G72409	Ἰησοῦς
41304	G72989	εἶπεν
41305	G74182	πρὸς
41306	G73459	τοὺς
41307	G73415	νομικοὺς
41308	G72518	καὶ
41309	G75177	Φαρισαίους
41310	G72989	λέγων
41311	G71824	Ἔξεστιν
41312	G73459	τῷ
41313	G74385	σαββάτῳ
41314	G72308	θεραπεῦσαι
41315	G72219	ἢ
41316	G73629	οὔ
41317	G73459	οἱ
41318	G71158	δὲ
41319	G72255	ἡσύχασαν
41320	G72518	καὶ
41321	G71942	ἐπιλαβόμενος
41322	G72375	ἰάσατο
41323	G70838	αὐτὸν
41324	G72518	καὶ
41325	G70625	ἀπέλυσεν
41326	G72518	καὶ
41327	G74182	πρὸς
41328	G70838	αὐτοὺς
41329	G72989	εἶπεν
41330	G74958	Τίνος
41331	G74631	ὑμῶν
41332	G75057	υἱὸς
41333	G72219	ἢ
41334	G71011	βοῦς
41335	G71511	εἰς
41336	G75265	φρέαρ
41337	G73971	πεσεῖται
41338	G72518	καὶ
41339	G73628	οὐκ
41340	G72100	εὐθέως
41341	G70388	ἀνασπάσει
41342	G70838	αὐτὸν
41343	G71713	ἐν
41344	G72238	ἡμέρᾳ
41345	G73459	τοῦ
41346	G74385	σαββάτου
41347	G72518	καὶ
41348	G73628	οὐκ
41349	G72462	ἴσχυσαν
41350	G70472	ἀνταποκριθῆναι
41351	G74182	πρὸς
41352	G73651	ταῦτα
41353	G72989	Ἔλεγεν
41354	G71158	δὲ
41355	G74182	πρὸς
41356	G73459	τοὺς
41357	G72549	κεκλημένους
41358	G73722	παραβολήν
41359	G71900	ἐπέχων
41360	G74326	πῶς
41361	G73459	τὰς
41362	G74276	πρωτοκλισίας
41363	G71577	ἐξελέγοντο
41364	G72989	λέγων
41365	G74182	πρὸς
41366	G70838	αὐτούς
41367	G73625	Ὅταν
41368	G72549	κληθῇς
41369	G75105	ὑπό
41370	G74957	τινος
41371	G71511	εἰς
41372	G71059	γάμους
41373	G73244	μὴ
41374	G72611	κατακλιθῇς
41375	G71511	εἰς
41376	G73459	τὴν
41377	G74276	πρωτοκλισίαν
41378	G73259	μήποτε
41379	G71777	ἐντιμότερός
41380	G74631	σου
41381	G71503	ᾖ
41382	G72549	κεκλημένος
41383	G75105	ὑπ’
41384	G70838	αὐτοῦ
41385	G72518	καὶ
41386	G72056	ἐλθὼν
41387	G73459	ὁ
41388	G74631	σὲ
41389	G72518	καὶ
41390	G70838	αὐτὸν
41391	G72549	καλέσας
41392	G72989	ἐρεῖ
41393	G74631	σοι
41394	G71322	Δὸς
41395	G73651	τούτῳ
41396	G74974	τόπον
41397	G72518	καὶ
41398	G74976	τότε
41399	G70749	ἄρξῃ
41400	G73208	μετὰ
41401	G70153	αἰσχύνης
41402	G73459	τὸν
41403	G72065	ἔσχατον
41404	G74974	τόπον
41405	G72703	κατέχειν
41406	G70236	ἀλλ’
41407	G73625	ὅταν
41408	G72549	κληθῇς
41409	G74068	πορευθεὶς
41410	G70380	ἀνάπεσε
41411	G71511	εἰς
41412	G73459	τὸν
41413	G72065	ἔσχατον
41414	G74974	τόπον
41415	G72427	ἵνα
41416	G73625	ὅταν
41417	G72056	ἔλθῃ
41418	G73459	ὁ
41419	G72549	κεκληκώς
41420	G74631	σε
41421	G72989	ἐρεῖ
41422	G74631	σοι
41423	G75230	Φίλε
41424	G74189	προσανάβηθι
41425	G70511	ἀνώτερον
41426	G74976	τότε
41427	G71503	ἔσται
41428	G74631	σοι
41429	G71392	δόξα
41430	G71792	ἐνώπιον
41431	G73827	πάντων
41432	G73459	τῶν
41433	G74735	συνανακειμένων
41434	G74631	σοι
41435	G73627	ὅτι
41436	G73827	πᾶς
41437	G73459	ὁ
41438	G75159	ὑψῶν
41439	G71440	ἑαυτὸν
41440	G74876	ταπεινωθήσεται
41441	G72518	καὶ
41442	G73459	ὁ
41443	G74876	ταπεινῶν
41444	G71440	ἑαυτὸν
41445	G75159	ὑψωθήσεται
41446	G72989	Ἔλεγεν
41447	G71158	δὲ
41448	G72518	καὶ
41449	G73459	τῷ
41450	G72549	κεκληκότι
41451	G70838	αὐτόν
41452	G73625	Ὅταν
41453	G74030	ποιῇς
41454	G70705	ἄριστον
41455	G72219	ἢ
41456	G71170	δεῖπνον
41457	G73244	μὴ
41458	G75299	φώνει
41459	G73459	τοὺς
41460	G75230	φίλους
41461	G74631	σου
41462	G73247	μηδὲ
41463	G73459	τοὺς
41464	G70081	ἀδελφούς
41465	G74631	σου
41466	G73247	μηδὲ
41467	G73459	τοὺς
41468	G74633	συγγενεῖς
41469	G74631	σου
41470	G73247	μηδὲ
41471	G71066	γείτονας
41472	G74015	πλουσίους
41473	G73259	μήποτε
41474	G72518	καὶ
41475	G70838	αὐτοὶ
41476	G70480	ἀντικαλέσωσίν
41477	G74631	σε
41478	G72518	καὶ
41479	G71093	γένηται
41480	G70470	ἀνταπόδομά
41481	G74631	σοι
41482	G70236	ἀλλ’
41483	G73625	ὅταν
41484	G71403	δοχὴν
41485	G74030	ποιῇς
41486	G72549	κάλει
41487	G74300	πτωχούς
41488	G70379	ἀναπείρους
41489	G75402	χωλούς
41490	G75035	τυφλούς
41491	G72518	καὶ
41492	G73094	μακάριος
41493	G71503	ἔσῃ
41494	G73627	ὅτι
41495	G73628	οὐκ
41496	G72182	ἔχουσιν
41497	G70469	ἀνταποδοῦναί
41498	G74631	σοι
41499	G70469	ἀνταποδοθήσεται
41500	G71060	γάρ
41501	G74631	σοι
41502	G71713	ἐν
41503	G73459	τῇ
41504	G70389	ἀναστάσει
41505	G73459	τῶν
41506	G71340	δικαίων
41507	G70190	Ἀκούσας
41508	G71158	δέ
41509	G74957	τις
41510	G73459	τῶν
41511	G74735	συνανακειμένων
41512	G73651	ταῦτα
41513	G72989	εἶπεν
41514	G70838	αὐτῷ
41515	G73094	Μακάριος
41516	G73621	ὅστις
41517	G72059	φάγεται
41518	G70733	ἄρτον
41519	G71713	ἐν
41520	G73459	τῇ
41521	G70927	βασιλείᾳ
41522	G73459	τοῦ
41523	G72301	θεοῦ
41524	G73459	ὁ
41525	G71158	δὲ
41526	G72989	εἶπεν
41527	G70838	αὐτῷ
41528	G70448	Ἄνθρωπός
41529	G74957	τις
41530	G74030	ἐποίει
41531	G71170	δεῖπνον
41532	G73156	μέγα
41533	G72518	καὶ
41534	G72549	ἐκάλεσεν
41535	G74054	πολλούς
41536	G72518	καὶ
41537	G70642	ἀπέστειλεν
41538	G73459	τὸν
41539	G71401	δοῦλον
41540	G70838	αὐτοῦ
41541	G73459	τῇ
41542	G75449	ὥρᾳ
41543	G73459	τοῦ
41544	G71170	δείπνου
41545	G72989	εἰπεῖν
41546	G73459	τοῖς
41547	G72549	κεκλημένοις
41548	G72056	Ἔρχεσθε
41549	G73627	ὅτι
41550	G72225	ἤδη
41551	G72079	ἕτοιμά
41552	G71503	ἐστιν
41553	G72518	καὶ
41554	G70749	ἤρξαντο
41555	G70571	ἀπὸ
41556	G71512	μιᾶς
41557	G73827	πάντες
41558	G73738	παραιτεῖσθαι
41559	G73459	ὁ
41560	G74278	πρῶτος
41561	G72989	εἶπεν
41562	G70838	αὐτῷ
41563	G70069	Ἀγρὸν
41564	G70060	ἠγόρασα
41565	G72518	καὶ
41566	G72182	ἔχω
41567	G70323	ἀνάγκην
41568	G71823	ἐξελθὼν
41569	G73583	ἰδεῖν
41570	G70838	αὐτόν
41571	G72057	ἐρωτῶ
41572	G74631	σε
41573	G72182	ἔχε
41574	G71476	με
41575	G73738	παρῃτημένον
41576	G72518	καὶ
41577	G72074	ἕτερος
41578	G72989	εἶπεν
41579	G72191	Ζεύγη
41580	G71011	βοῶν
41581	G70060	ἠγόρασα
41582	G73873	πέντε
41583	G72518	καὶ
41584	G74068	πορεύομαι
41585	G71381	δοκιμάσαι
41586	G70838	αὐτά
41587	G72057	ἐρωτῶ
41588	G74631	σε
41589	G72182	ἔχε
41590	G71476	με
41591	G73738	παρῃτημένον
41592	G72518	καὶ
41593	G72074	ἕτερος
41594	G72989	εἶπεν
41595	G71132	Γυναῖκα
41596	G71056	ἔγημα
41597	G72518	καὶ
41598	G71219	διὰ
41599	G73651	τοῦτο
41600	G73628	οὐ
41601	G71410	δύναμαι
41602	G72056	ἐλθεῖν
41603	G72518	καὶ
41604	G73725	παραγενόμενος
41605	G73459	ὁ
41606	G71401	δοῦλος
41607	G70519	ἀπήγγειλεν
41608	G73459	τῷ
41609	G72949	κυρίῳ
41610	G70838	αὐτοῦ
41611	G73651	ταῦτα
41612	G74976	τότε
41613	G73585	ὀργισθεὶς
41614	G73459	ὁ
41615	G73489	οἰκοδεσπότης
41616	G72989	εἶπεν
41617	G73459	τῷ
41618	G71401	δούλῳ
41619	G70838	αὐτοῦ
41620	G71823	Ἔξελθε
41621	G74888	ταχέως
41622	G71511	εἰς
41623	G73459	τὰς
41624	G73986	πλατείας
41625	G72518	καὶ
41626	G74370	ῥύμας
41627	G73459	τῆς
41628	G74042	πόλεως
41629	G72518	καὶ
41630	G73459	τοὺς
41631	G74300	πτωχοὺς
41632	G72518	καὶ
41633	G70379	ἀναπείρους
41634	G72518	καὶ
41635	G75035	τυφλοὺς
41636	G72518	καὶ
41637	G75402	χωλοὺς
41638	G71513	εἰσάγαγε
41639	G75442	ὧδε
41640	G72518	καὶ
41641	G72989	εἶπεν
41642	G73459	ὁ
41643	G71401	δοῦλος
41644	G72949	Κύριε
41645	G71093	γέγονεν
41646	G73613	ὃ
41647	G71998	ἐπέταξας
41648	G72518	καὶ
41649	G72076	ἔτι
41650	G74974	τόπος
41651	G71503	ἐστίν
41652	G72518	καὶ
41653	G72989	εἶπεν
41654	G73459	ὁ
41655	G72949	κύριος
41656	G74182	πρὸς
41657	G73459	τὸν
41658	G71401	δοῦλον
41659	G71823	Ἔξελθε
41660	G71511	εἰς
41661	G73459	τὰς
41662	G73469	ὁδοὺς
41663	G72518	καὶ
41664	G75262	φραγμοὺς
41665	G72518	καὶ
41666	G70320	ἀνάγκασον
41667	G71517	εἰσελθεῖν
41668	G72427	ἵνα
41669	G71069	γεμισθῇ
41670	G71476	μου
41671	G73459	ὁ
41672	G73496	οἶκος
41673	G72989	λέγω
41674	G71060	γὰρ
41675	G74631	ὑμῖν
41676	G73627	ὅτι
41677	G73635	οὐδεὶς
41678	G73459	τῶν
41679	G70439	ἀνδρῶν
41680	G71555	ἐκείνων
41681	G73459	τῶν
41682	G72549	κεκλημένων
41683	G71086	γεύσεταί
41684	G71476	μου
41685	G73459	τοῦ
41686	G71170	δείπνου
41687	G74708	Συνεπορεύοντο
41688	G71158	δὲ
41689	G70838	αὐτῷ
41690	G73666	ὄχλοι
41691	G74054	πολλοί
41692	G72518	καὶ
41693	G74623	στραφεὶς
41694	G72989	εἶπεν
41695	G74182	πρὸς
41696	G70838	αὐτούς
41697	G71489	Εἴ
41698	G74957	τις
41699	G72056	ἔρχεται
41700	G74182	πρός
41701	G71476	με
41702	G72518	καὶ
41703	G73628	οὐ
41704	G73279	μισεῖ
41705	G73459	τὸν
41706	G73833	πατέρα
41707	G71440	ἑαυτοῦ
41708	G72518	καὶ
41709	G73459	τὴν
41710	G73263	μητέρα
41711	G72518	καὶ
41712	G73459	τὴν
41713	G71132	γυναῖκα
41714	G72518	καὶ
41715	G73459	τὰ
41716	G74900	τέκνα
41717	G72518	καὶ
41718	G73459	τοὺς
41719	G70081	ἀδελφοὺς
41720	G72518	καὶ
41721	G73459	τὰς
41722	G70080	ἀδελφάς
41723	G72076	ἔτι
41724	G74894	τε
41725	G72518	καὶ
41726	G73459	τὴν
41727	G75432	ψυχὴν
41728	G71440	ἑαυτοῦ
41729	G73628	οὐ
41730	G71410	δύναται
41731	G71503	εἶναί
41732	G71476	μου
41733	G73086	μαθητής
41734	G73621	ὅστις
41735	G73628	οὐ
41736	G70936	βαστάζει
41737	G73459	τὸν
41738	G74576	σταυρὸν
41739	G71440	ἑαυτοῦ
41740	G72518	καὶ
41741	G72056	ἔρχεται
41742	G73569	ὀπίσω
41743	G71476	μου
41744	G73628	οὐ
41745	G71410	δύναται
41746	G71503	εἶναί
41747	G71476	μου
41748	G73086	μαθητής
41749	G74958	τίς
41750	G71060	γὰρ
41751	G71527	ἐξ
41752	G74631	ὑμῶν
41753	G72294	θέλων
41754	G74311	πύργον
41755	G73490	οἰκοδομῆσαι
41756	G73653	οὐχὶ
41757	G74278	πρῶτον
41758	G72508	καθίσας
41759	G75427	ψηφίζει
41760	G73459	τὴν
41761	G71156	δαπάνην
41762	G71489	εἰ
41763	G72182	ἔχει
41764	G71511	εἰς
41765	G70535	ἀπαρτισμόν
41766	G72427	ἵνα
41767	G73259	μήποτε
41768	G74944	θέντος
41769	G70838	αὐτοῦ
41770	G72296	θεμέλιον
41771	G72518	καὶ
41772	G73244	μὴ
41773	G72462	ἰσχύοντος
41774	G71608	ἐκτελέσαι
41775	G73827	πάντες
41776	G73459	οἱ
41777	G72319	θεωροῦντες
41778	G70749	ἄρξωνται
41779	G70838	αὐτῷ
41780	G71693	ἐμπαίζειν
41781	G72989	λέγοντες
41782	G73627	ὅτι
41783	G73651	Οὗτος
41784	G73459	ὁ
41785	G70448	ἄνθρωπος
41786	G70749	ἤρξατο
41787	G73490	οἰκοδομεῖν
41788	G72518	καὶ
41789	G73628	οὐκ
41790	G72462	ἴσχυσεν
41791	G71608	ἐκτελέσαι
41792	G72219	ἢ
41793	G74958	τίς
41794	G70930	βασιλεὺς
41795	G74068	πορευόμενος
41796	G72074	ἑτέρῳ
41797	G70930	βασιλεῖ
41798	G74680	συμβαλεῖν
41799	G71511	εἰς
41800	G74041	πόλεμον
41801	G73653	οὐχὶ
41802	G72508	καθίσας
41803	G74278	πρῶτον
41804	G71005	βουλεύσεται
41805	G71489	εἰ
41806	G71415	δυνατός
41807	G71503	ἐστιν
41808	G71713	ἐν
41809	G71173	δέκα
41810	G75349	χιλιάσιν
41811	G75067	ὑπαντῆσαι
41812	G73459	τῷ
41813	G73208	μετὰ
41814	G71498	εἴκοσι
41815	G75349	χιλιάδων
41816	G72056	ἐρχομένῳ
41817	G71902	ἐπ’
41818	G70838	αὐτόν
41819	G71489	εἰ
41820	G71158	δὲ
41821	G73245	μήγε
41822	G72076	ἔτι
41823	G70838	αὐτοῦ
41824	G74076	πόρρω
41825	G71503	ὄντος
41826	G74111	πρεσβείαν
41827	G70642	ἀποστείλας
41828	G72057	ἐρωτᾷ
41829	G73459	τὰ
41830	G74182	πρὸς
41831	G71507	εἰρήνην
41832	G73652	οὕτως
41833	G73640	οὖν
41834	G73827	πᾶς
41835	G71527	ἐξ
41836	G74631	ὑμῶν
41837	G73613	ὃς
41838	G73628	οὐκ
41839	G70650	ἀποτάσσεται
41840	G73827	πᾶσιν
41841	G73459	τοῖς
41842	G71440	ἑαυτοῦ
41843	G75070	ὑπάρχουσιν
41844	G73628	οὐ
41845	G71410	δύναται
41846	G71503	εἶναί
41847	G71476	μου
41848	G73086	μαθητής
41849	G72553	Καλὸν
41850	G73640	οὖν
41851	G73459	τὸ
41852	G70218	ἅλας
41853	G71438	ἐὰν
41854	G71158	δὲ
41855	G72518	καὶ
41856	G73459	τὸ
41857	G70218	ἅλας
41858	G73343	μωρανθῇ
41859	G71713	ἐν
41860	G74958	τίνι
41861	G70734	ἀρτυθήσεται
41862	G73650	οὔτε
41863	G71511	εἰς
41864	G71090	γῆν
41865	G73650	οὔτε
41866	G71511	εἰς
41867	G72858	κοπρίαν
41868	G72099	εὔθετόν
41869	G71503	ἐστιν
41870	G71846	ἔξω
41871	G70902	βάλλουσιν
41872	G70838	αὐτό
41873	G73459	ὁ
41874	G72182	ἔχων
41875	G73648	ὦτα
41876	G70190	ἀκούειν
41877	G70190	ἀκουέτω
41878	G71503	Ἦσαν
41879	G71158	δὲ
41880	G70838	αὐτῷ
41881	G71449	ἐγγίζοντες
41882	G73827	πάντες
41883	G73459	οἱ
41884	G74914	τελῶναι
41885	G72518	καὶ
41886	G73459	οἱ
41887	G70270	ἁμαρτωλοὶ
41888	G70190	ἀκούειν
41889	G70838	αὐτοῦ
41890	G72518	καὶ
41891	G71230	διεγόγγυζον
41892	G73459	οἵ
41893	G74894	τε
41894	G75177	Φαρισαῖοι
41895	G72518	καὶ
41896	G73459	οἱ
41897	G71119	γραμματεῖς
41898	G72989	λέγοντες
41899	G73627	ὅτι
41900	G73651	Οὗτος
41901	G70270	ἁμαρτωλοὺς
41902	G74196	προσδέχεται
41903	G72518	καὶ
41904	G74765	συνεσθίει
41905	G70838	αὐτοῖς
41906	G72989	εἶπεν
41907	G71158	δὲ
41908	G74182	πρὸς
41909	G70838	αὐτοὺς
41910	G73459	τὴν
41911	G73722	παραβολὴν
41912	G73651	ταύτην
41913	G72989	λέγων
41914	G74958	Τίς
41915	G70448	ἄνθρωπος
41916	G71527	ἐξ
41917	G74631	ὑμῶν
41918	G72182	ἔχων
41919	G71530	ἑκατὸν
41920	G74132	πρόβατα
41921	G72518	καὶ
41922	G70617	ἀπολέσας
41923	G71527	ἐξ
41924	G70838	αὐτῶν
41925	G71512	ἓν
41926	G73628	οὐ
41927	G72626	καταλείπει
41928	G73459	τὰ
41929	G71745	ἐνενήκοντα
41930	G71761	ἐννέα
41931	G71713	ἐν
41932	G73459	τῇ
41933	G72040	ἐρήμῳ
41934	G72518	καὶ
41935	G74068	πορεύεται
41936	G71902	ἐπὶ
41937	G73459	τὸ
41938	G70617	ἀπολωλὸς
41939	G72183	ἕως
41940	G72137	εὕρῃ
41941	G70838	αὐτό
41942	G72518	καὶ
41943	G72137	εὑρὼν
41944	G72001	ἐπιτίθησιν
41945	G71902	ἐπὶ
41946	G73459	τοὺς
41947	G75446	ὤμους
41948	G70838	αὐτοῦ
41949	G75307	χαίρων
41950	G72518	καὶ
41951	G72056	ἐλθὼν
41952	G71511	εἰς
41953	G73459	τὸν
41954	G73496	οἶκον
41955	G74640	συγκαλεῖ
41956	G73459	τοὺς
41957	G75230	φίλους
41958	G72518	καὶ
41959	G73459	τοὺς
41960	G71066	γείτονας
41961	G72989	λέγων
41962	G70838	αὐτοῖς
41963	G74657	Συγχάρητέ
41964	G71476	μοι
41965	G73627	ὅτι
41966	G72137	εὗρον
41967	G73459	τὸ
41968	G74132	πρόβατόν
41969	G71476	μου
41970	G73459	τὸ
41971	G70617	ἀπολωλός
41972	G72989	λέγω
41973	G74631	ὑμῖν
41974	G73627	ὅτι
41975	G73652	οὕτως
41976	G75323	χαρὰ
41977	G71713	ἐν
41978	G73459	τῷ
41979	G73645	οὐρανῷ
41980	G71503	ἔσται
41981	G71902	ἐπὶ
41982	G71512	ἑνὶ
41983	G70270	ἁμαρτωλῷ
41984	G73222	μετανοοῦντι
41985	G72219	ἢ
41986	G71902	ἐπὶ
41987	G71745	ἐνενήκοντα
41988	G71761	ἐννέα
41989	G71340	δικαίοις
41990	G73621	οἵτινες
41991	G73628	οὐ
41992	G75373	χρείαν
41993	G72182	ἔχουσιν
41994	G73223	μετανοίας
41995	G72219	Ἢ
41996	G74958	τίς
41997	G71132	γυνὴ
41998	G71406	δραχμὰς
41999	G72182	ἔχουσα
42000	G71173	δέκα
42001	G71438	ἐὰν
42002	G70617	ἀπολέσῃ
42003	G71406	δραχμὴν
42004	G71512	μίαν
42005	G73653	οὐχὶ
42006	G70673	ἅπτει
42007	G73073	λύχνον
42008	G72518	καὶ
42009	G74425	σαροῖ
42010	G73459	τὴν
42011	G73486	οἰκίαν
42012	G72518	καὶ
42013	G72203	ζητεῖ
42014	G71954	ἐπιμελῶς
42015	G72183	ἕως
42016	G73613	οὗ
42017	G72137	εὕρῃ
42018	G72518	καὶ
42019	G72137	εὑροῦσα
42020	G74640	συγκαλεῖ
42021	G73459	τὰς
42022	G75230	φίλας
42023	G72518	καὶ
42024	G71066	γείτονας
42025	G72989	λέγουσα
42026	G74657	Συγχάρητέ
42027	G71476	μοι
42028	G73627	ὅτι
42029	G72137	εὗρον
42030	G73459	τὴν
42031	G71406	δραχμὴν
42032	G73613	ἣν
42033	G70617	ἀπώλεσα
42034	G73652	οὕτως
42035	G72989	λέγω
42036	G74631	ὑμῖν
42037	G71093	γίνεται
42038	G75323	χαρὰ
42039	G71792	ἐνώπιον
42040	G73459	τῶν
42041	G70033	ἀγγέλων
42042	G73459	τοῦ
42043	G72301	θεοῦ
42044	G71902	ἐπὶ
42045	G71512	ἑνὶ
42046	G70270	ἁμαρτωλῷ
42047	G73222	μετανοοῦντι
42048	G72989	Εἶπεν
42049	G71158	δέ
42050	G70448	Ἄνθρωπός
42051	G74957	τις
42052	G72182	εἶχεν
42053	G71417	δύο
42054	G75057	υἱούς
42055	G72518	καὶ
42056	G72989	εἶπεν
42057	G73459	ὁ
42058	G73375	νεώτερος
42059	G70838	αὐτῶν
42060	G73459	τῷ
42061	G73833	πατρί
42062	G73833	Πάτερ
42063	G71322	δός
42064	G71476	μοι
42065	G73459	τὸ
42066	G71904	ἐπιβάλλον
42067	G73195	μέρος
42068	G73459	τῆς
42069	G73649	οὐσίας
42070	G73459	ὁ
42071	G71158	δὲ
42072	G71240	διεῖλεν
42073	G70838	αὐτοῖς
42074	G73459	τὸν
42075	G70974	βίον
42076	G72518	καὶ
42077	G73208	μετ’
42078	G73628	οὐ
42079	G74054	πολλὰς
42080	G72238	ἡμέρας
42081	G74724	συναγαγὼν
42082	G73827	πάντα
42083	G73459	ὁ
42084	G73375	νεώτερος
42085	G75057	υἱὸς
42086	G70585	ἀπεδήμησεν
42087	G71511	εἰς
42088	G75403	χώραν
42089	G73104	μακράν
42090	G72518	καὶ
42091	G71553	ἐκεῖ
42092	G71284	διεσκόρπισεν
42093	G73459	τὴν
42094	G73649	οὐσίαν
42095	G70838	αὐτοῦ
42096	G72188	ζῶν
42097	G70803	ἀσώτως
42098	G71155	δαπανήσαντος
42099	G71158	δὲ
42100	G70838	αὐτοῦ
42101	G73827	πάντα
42102	G71093	ἐγένετο
42103	G73029	λιμὸς
42104	G72460	ἰσχυρὰ
42105	G72579	κατὰ
42106	G73459	τὴν
42107	G75403	χώραν
42108	G71555	ἐκείνην
42109	G72518	καὶ
42110	G70838	αὐτὸς
42111	G70749	ἤρξατο
42112	G75149	ὑστερεῖσθαι
42113	G72518	καὶ
42114	G74068	πορευθεὶς
42115	G72838	ἐκολλήθη
42116	G71512	ἑνὶ
42117	G73459	τῶν
42118	G74048	πολιτῶν
42119	G73459	τῆς
42120	G75403	χώρας
42121	G71555	ἐκείνης
42122	G72518	καὶ
42123	G73863	ἔπεμψεν
42124	G70838	αὐτὸν
42125	G71511	εἰς
42126	G73459	τοὺς
42127	G70069	ἀγροὺς
42128	G70838	αὐτοῦ
42129	G71001	βόσκειν
42130	G75361	χοίρους
42131	G72518	καὶ
42132	G71929	ἐπεθύμει
42133	G71069	γεμίσαι
42134	G73459	τὴν
42135	G72821	κοιλίαν
42136	G70838	αὐτοῦ
42137	G70571	ἀπὸ
42138	G73459	τῶν
42139	G72754	κερατίων
42140	G73613	ὧν
42141	G72059	ἤσθιον
42142	G73459	οἱ
42143	G75361	χοῖροι
42144	G72518	καὶ
42145	G73635	οὐδεὶς
42146	G71322	ἐδίδου
42147	G70838	αὐτῷ
42148	G71511	εἰς
42149	G71440	ἑαυτὸν
42150	G71158	δὲ
42151	G72056	ἐλθὼν
42152	G75192	ἔφη
42153	G74084	Πόσοι
42154	G73282	μίσθιοι
42155	G73459	τοῦ
42156	G73833	πατρός
42157	G71476	μου
42158	G73924	περισσεύονται
42159	G70733	ἄρτων
42160	G71476	ἐγὼ
42161	G71158	δὲ
42162	G73029	λιμῷ
42163	G75442	ὧδε
42164	G70617	ἀπόλλυμαι
42165	G70452	ἀναστὰς
42166	G74068	πορεύσομαι
42167	G74182	πρὸς
42168	G73459	τὸν
42169	G73833	πατέρα
42170	G71476	μου
42171	G72518	καὶ
42172	G72989	ἐρῶ
42173	G70838	αὐτῷ
42174	G73833	Πάτερ
42175	G70266	ἥμαρτον
42176	G71511	εἰς
42177	G73459	τὸν
42178	G73645	οὐρανὸν
42179	G72518	καὶ
42180	G71792	ἐνώπιόν
42181	G74631	σου
42182	G73638	οὐκέτι
42183	G71503	εἰμὶ
42184	G70515	ἄξιος
42185	G72549	κληθῆναι
42186	G75057	υἱός
42187	G74631	σου
42188	G74030	ποίησόν
42189	G71476	με
42190	G75452	ὡς
42191	G71512	ἕνα
42192	G73459	τῶν
42193	G73282	μισθίων
42194	G74631	σου
42195	G72518	καὶ
42196	G70452	ἀναστὰς
42197	G72056	ἦλθεν
42198	G74182	πρὸς
42199	G73459	τὸν
42200	G73833	πατέρα
42201	G71440	ἑαυτοῦ
42202	G72076	ἔτι
42203	G71158	δὲ
42204	G70838	αὐτοῦ
42205	G73099	μακρὰν
42206	G70564	ἀπέχοντος
42207	G73583	εἶδεν
42208	G70838	αὐτὸν
42209	G73459	ὁ
42210	G73833	πατὴρ
42211	G70838	αὐτοῦ
42212	G72518	καὶ
42213	G74558	ἐσπλαγχνίσθη
42214	G72518	καὶ
42215	G74992	δραμὼν
42216	G71961	ἐπέπεσεν
42217	G71902	ἐπὶ
42218	G73459	τὸν
42219	G74985	τράχηλον
42220	G70838	αὐτοῦ
42221	G72518	καὶ
42222	G72686	κατεφίλησεν
42223	G70838	αὐτόν
42224	G72989	εἶπεν
42225	G71158	δὲ
42226	G73459	ὁ
42227	G75057	υἱὸς
42228	G70838	αὐτῷ
42229	G73833	Πάτερ
42230	G70266	ἥμαρτον
42231	G71511	εἰς
42232	G73459	τὸν
42233	G73645	οὐρανὸν
42234	G72518	καὶ
42235	G71792	ἐνώπιόν
42236	G74631	σου
42237	G73638	οὐκέτι
42238	G71503	εἰμὶ
42239	G70515	ἄξιος
42240	G72549	κληθῆναι
42241	G75057	υἱός
42242	G74631	σου
42243	G72989	εἶπεν
42244	G71158	δὲ
42245	G73459	ὁ
42246	G73833	πατὴρ
42247	G74182	πρὸς
42248	G73459	τοὺς
42249	G71401	δούλους
42250	G70838	αὐτοῦ
42251	G74893	Ταχὺ
42252	G71620	ἐξενέγκατε
42253	G74611	στολὴν
42254	G73459	τὴν
42255	G74278	πρώτην
42256	G72518	καὶ
42257	G71737	ἐνδύσατε
42258	G70838	αὐτόν
42259	G72518	καὶ
42260	G71322	δότε
42261	G71142	δακτύλιον
42262	G71511	εἰς
42263	G73459	τὴν
42264	G75339	χεῖρα
42265	G70838	αὐτοῦ
42266	G72518	καὶ
42267	G75112	ὑποδήματα
42268	G71511	εἰς
42269	G73459	τοὺς
42270	G74098	πόδας
42271	G72518	καὶ
42272	G75188	φέρετε
42273	G73459	τὸν
42274	G73321	μόσχον
42275	G73459	τὸν
42276	G74480	σιτευτόν
42277	G72365	θύσατε
42278	G72518	καὶ
42279	G72059	φαγόντες
42280	G72154	εὐφρανθῶμεν
42281	G73627	ὅτι
42282	G73651	οὗτος
42283	G73459	ὁ
42284	G75057	υἱός
42285	G71476	μου
42286	G73372	νεκρὸς
42287	G71503	ἦν
42288	G72518	καὶ
42289	G70331	ἀνέζησεν
42290	G71503	ἦν
42291	G70617	ἀπολωλὼς
42292	G72518	καὶ
42293	G72137	εὑρέθη
42294	G72518	καὶ
42295	G70749	ἤρξαντο
42296	G72154	εὐφραίνεσθαι
42297	G71503	Ἦν
42298	G71158	δὲ
42299	G73459	ὁ
42300	G75057	υἱὸς
42301	G70838	αὐτοῦ
42302	G73459	ὁ
42303	G74114	πρεσβύτερος
42304	G71713	ἐν
42305	G70069	ἀγρῷ
42306	G72518	καὶ
42307	G75452	ὡς
42308	G72056	ἐρχόμενος
42309	G71449	ἤγγισεν
