A.APF	adjective, accusative, plural, feminine
V.PMPNPN	verb, present, middle, participle, nominative, plural, neuter
V.PMPNSF	verb, present, middle, participle, nominative, singular, feminine
V.PMPNSM	verb, present, middle, participle, nominative, singular, masculine
V.PMPNSN	verb, present, middle, participle, nominative, singular, neuter
V.PPN	verb, present, passive, infinitive
V.PPPAPF	verb, present, passive, participle, accusative, plural, feminine
V.PPPAPM	verb, present, passive, participle, accusative, plural, masculine
V.PPPAPN	verb, present, passive, participle, accusative, plural, neuter
V.PPPASF	verb, present, passive, participle, accusative, singular, feminine
V.PPPASM	verb, present, passive, participle, accusative, singular, masculine
V.PPPASN	verb, present, passive, participle, accusative, singular, neuter
V.PPPDPM	verb, present, passive, participle, dative, plural, masculine
V.PPPDPN	verb, present, passive, participle, dative, plural, neuter
V.PPPDSF	verb, present, passive, participle, dative, singular, feminine
V.PPPDSM	verb, present, passive, participle, dative, singular, masculine
V.PPPDSN	verb, present, passive, participle, dative, singular, neuter
V.PPPGPM	verb, present, passive, participle, genitive, plural, masculine
V.PPPGPN	verb, present, passive, participle, genitive, plural, neuter
V.PPPGSF	verb, present, passive, participle, genitive, singular, feminine
V.PPPGSM	verb, present, passive, participle, genitive, singular, masculine
V.PPPGSN	verb, present, passive, participle, genitive, singular, neuter
V.PPPNPF	verb, present, passive, participle, nominative, plural, feminine
V.PPPNPM	verb, present, passive, participle, nominative, plural, masculine
V.PPPNPN	verb, present, passive, participle, nominative, plural, neuter
V.PPPNSF	verb, present, passive, participle, nominative, singular, feminine
V.PPPNSM	verb, present, passive, participle, nominative, singular, masculine
V.PPPNSN	verb, present, passive, participle, nominative, singular, neuter
V.XAN	verb, perfect, active, infinitive
V.XAPAPM	verb, perfect, active, participle, accusative, plural, masculine
V.XAPAPN	verb, perfect, active, participle, accusative, plural, neuter
V.XAPASF	verb, perfect, active, participle, accusative, singular, feminine
V.XAPASM	verb, perfect, active, participle, accusative, singular, masculine
V.XAPASN	verb, perfect, active, participle, accusative, singular, neuter
V.XAPDPM	verb, perfect, active, participle, dative, plural, masculine
V.XAPDSM	verb, perfect, active, participle, dative, singular, masculine
V.XAPDSN	verb, perfect, active, participle, dative, singular, neuter
V.XAPGPM	verb, perfect, active, participle, genitive, plural, masculine
V.XAPGPN	verb, perfect, active, participle, genitive, plural, neuter
V.XAPGSF	verb, perfect, active, participle, genitive, singular, feminine
V.XAPGSM	verb, perfect, active, participle, genitive, singular, masculine
V.XAPNPF	verb, perfect, active, participle, nominative, plural, feminine
V.XAPNPM	verb, perfect, active, participle, nominative, plural, masculine
V.XAPNPN	verb, perfect, active, participle, nominative, plural, neuter
V.XAPNSF	verb, perfect, active, participle, nominative, singular, feminine
V.XAPNSM	verb, perfect, active, participle, nominative, singular, masculine
V.XAPNSN	verb, perfect, active, participle, nominative, singular, neuter
V.XMN	verb, perfect, middle, infinitive
V.XMPAPM	verb, perfect, middle, participle, accusative, plural, masculine
V.XMPASF	verb, perfect, middle, participle, accusative, singular, feminine
V.XMPASM	verb, perfect, middle, participle, accusative, singular, masculine
V.XMPDPF	verb, perfect, middle, participle, dative, plural, feminine
V.XMPDPM	verb, perfect, middle, participle, dative, plural, masculine
V.XMPGPM	verb, perfect, middle, participle, genitive, plural, masculine
V.XMPGSF	verb, perfect, middle, participle, genitive, singular, feminine
V.XMPNPM	verb, perfect, middle, participle, nominative, plural, masculine
V.XMPNSF	verb, perfect, middle, participle, nominative, singular, feminine
V.XMPNSM	verb, perfect, middle, participle, nominative, singular, masculine
V.XPN	verb, perfect, passive, infinitive
V.XPPAPF	verb, perfect, passive, participle, accusative, plural, feminine
V.XPPAPM	verb, perfect, passive, participle, accusative, plural, masculine
V.XPPAPN	verb, perfect, passive, participle, accusative, plural, neuter
V.XPPASF	verb, perfect, passive, participle, accusative, singular, feminine
V.XPPASM	verb, perfect, passive, participle, accusative, singular, masculine
V.XPPASN	verb, perfect, passive, participle, accusative, singular, neuter
V.XPPDPM	verb, perfect, passive, participle, dative, plural, masculine
V.XPPDPN	verb, perfect, passive, participle, dative, plural, neuter
V.XPPDSF	verb, perfect, passive, participle, dative, singular, feminine
V.XPPDSM	verb, perfect, passive, participle, dative, singular, masculine
V.XPPDSN	verb, perfect, passive, participle, dative, singular, neuter
V.XPPGPF	verb, perfect, passive, participle, genitive, plural, feminine
V.XPPGPM	verb, perfect, passive, participle, genitive, plural, masculine
V.XPPGPN	verb, perfect, passive, participle, genitive, plural, neuter
V.XPPGSF	verb, perfect, passive, participle, genitive, singular, feminine
V.XPPGSM	verb, perfect, passive, participle, genitive, singular, masculine
V.XPPGSN	verb, perfect, passive, participle, genitive, singular, neuter
V.XPPNPF	verb, perfect, passive, participle, nominative, plural, feminine
V.XPPNPM	verb, perfect, passive, participle, nominative, plural, masculine
V.XPPNPN	verb, perfect, passive, participle, nominative, plural, neuter
V.XPPNSF	verb, perfect, passive, participle, nominative, singular, feminine
V.XPPNSM	verb, perfect, passive, participle, nominative, singular, masculine
V.XPPNSN	verb, perfect, passive, participle, nominative, singular, neuter
V.XPPVPM	verb, perfect, passive, participle, vocative, plural, masculine
V.XPPVSF	verb, perfect, passive, participle, vocative, singular, feminine
V.XPPVSM	verb, perfect, passive, participle, vocative, singular, masculine
X	particle
