G1	alpha
G1685	to be away
G1686	(mid.) to rent
G1687	to tell
G1688	to avenge
G1689	justice
G1690	punishing
G1691	to drive out
G1692	handed over
G1693	expectation
G1694	to strip off clothing
G1695	there
G1696	from there
G1697	that
G1698	there
G1699	to seek out
G1700	controversy
G1701	(pass.) to be overwhelmed with wonder
G1702	(utterly) astonished
G1703	to wonder
G1704	thrown out
G1705	to cleanse
G1706	(pass.) to be inflamed
G1707	to lose heart
G1708	to pierce
G1709	(pass.) to be broken off
G1710	to alienate
G1711	church
G1712	to turn away
G1713	to swim away
G1714	to carry out
G1715	hindrance
G1716	to cut off
G1717	(mid.) to hang upon (words)
G1718	to tell
G1719	to shine
G1720	to forget
G1721	to chose
G1722	to fail
G1723	elect
G1724	election
G1725	(pass.) to lose heart
G1726	to wipe off
G1727	to sneer at
G1728	to slip away
G1729	to come to one's sense
G1730	spontaneous
G1732	for a long time
G1733	to test
G1734	to send away
G1735	emphatically
G1736	to hold out
G1737	to rush out
G1738	to fall off
G1739	to sail (from)
G1740	to (utterly) fulfill
G1741	end
G1742	(pass.) to be amazed
G1743	to breathe one's last breath
G1744	to go out
G1745	to engage in sexual immorality
G1746	to scorn
G1747	to set on fire
G1748	to uproot
G1749	amazement
G1750	(pass.) to be warped
G1751	to bring safely
G1752	to throw into an uproar
G1753	to stretch out
G1754	to finish
G1755	earnestness
G1756	deep
G1757	deeply
G1758	(mid.) to explain
G1759	to shake off
G1760	outside
G1761	sixth
G1762	to turn away
G1763	to feed
G1764	trembling
G1765	abnormal or untimely birth
G1766	to bring out
G1767	to escape
G1768	to frighten
G1769	frightened
G1770	to come out
G1771	cry out
G1772	to pour out
G1773	to be poured out
G1774	to go out
G1775	to die
G1776	voluntarily
G1777	olive
G1778	olive oil
G1780	Elamite
G1781	lesser
G1782	to have too little
G1783	to make lower than
G1784	lesser
G1785	to row (with oars)
G1786	lightness
G1787	light
G1788	least
G1789	Eleazar
G1790	to show mercy
G1791	rebuke
G1792	rebuke
G1793	certainty
G1794	to expose
G1795	pitiful
G1796	to have mercy on
G1797	gift to the poor
G1798	merciful
G1799	mercy
G1800	freedom
G1801	free
G1802	to set free
G1803	coming
G1804	made of ivory (derivative of the Greek word for <i>elephant
G1806	Eliakim
G1808	Eliezer
G1809	Eliud
G1810	Elizabeth
G1811	Elisha
G1813	to roll up
G1814	sore
G1815	(pass.) to be covered with sores
G1816	to drag
G1817	Greece
G1818	Greek
G1819	Greek (language)
G1820	Greek
G1821	Grecian Jew
G1822	in Greek (language)
G1823	to charge (to one's account)
G1824	(pass.) to be charged to one's account
G1825	Elmadam
G1827	to hope
G1828	hope
G1829	Elymas
G1830	Eloi [Aramaic: my God]
G1831	myself
G1832	to get into
G1833	to throw into
G1834	to dip into
G1835	to dip into
G1836	to go into great detail about
G1837	to put on board (a vessel)
G1838	to look (closely
G1839	to warn sternly
G1840	to spit out
G1841	to be enraged
G1842	Immanuel
G1843	Emmaus
G1844	to remain in
G1846	Hamor
G1847	my
G1848	scoffing
G1849	jeering
G1850	to mock
G1851	scoffer
G1852	to send in
G1853	to walk among
G1857	to provide
G1858	to provide
G1859	to burn
G1860	to fall into
G1861	(mid./pass.) to be involved in
G1862	braiding (possibly associated with high fashion)
G1863	to breath
G1864	to carry on business
G1865	business
G1866	market
G1867	merchant
G1868	to burn
G1869	before
G1870	to spit on
G1871	seen
G1872	to show
G1873	afraid
G1874	to breathe on
G1875	implanted
G1877	Spatially: in
G1878	to take in one's arms
G1879	creatures pertaining to the sea
G1880	leap upon
G1881	to take on human form
G1882	before (spatial)
G1883	before (spatial)
G1884	to oppose
G1885	against
G1886	clear
G1887	to begin
G1888	ninth (ninth hour = three p.m.)
G1889	to let
G1890	needy
G1891	evidence
G1892	to show
G1893	demonstration
G1894	eleven
G1895	eleventh
G1896	it is possible
G1897	to be at home
G1898	to put on
G1899	just
G1900	construction
G1901	to be glorified
G1902	honored
G1903	clothing
G1904	to give strength
G1905	to worm one's way
G1906	putting on
G1907	to clothe
G1909	plot
G1910	to wait in ambush
G1911	plot
G1912	to wrap in
G1913	to be inside
G1914	for the sake of
G1915	for
G1916	ninety
G1917	speechless
G1918	working
G1919	to be at work in
G1920	working
G1921	active
G1922	(pass.) to be blessed
G1923	to oppose
G1924	here
G1925	from here
G1926	to consider
G1927	thought
G1928	there is
G1929	year
G1930	sometimes
G1931	to be present
G1932	to strengthen (another)
G1933	nine
G1934	speechless
G1935	to make a sign
G1936	attitude
G1937	under law
G1939	while it is still dark
G1940	to live in
G1941	to charge by oath
G1942	unity
G1943	(act.) to cause trouble
G1944	subject to
G1945	rule
G1946	to prepare (a corpse) for burial
G1947	preparation for burial
G1948	(mid.) to command
G1949	from here
G1950	prayer
G1951	to put in
G1952	highly valued
G1953	command
G1954	resident
G1955	inside
G1956	to cause shame
G1957	(pass.) to be brought up
G1958	trembling
G1959	shame
G1960	to revel
G1961	to intercede
G1962	to wrap up (a body)
G1963	(pass.) to be engraved
G1964	to insult
G1965	to (have supernatural) dreams or visions
G1966	dream
G1967	before
G1968	Enosh
G1969	to listen carefully
G1970	Enoch
G1971	six
G1972	to declare
G1973	(act.) to redeem
G1974	to lead out
G1975	(act.) to gouge
G1976	to expel
G1977	(mid.) to ask for
G1978	suddenly
G1979	to follow
G1980	six hundred
G1981	to wipe away
G1982	to jump up
G1983	resurrection
G1984	to spring up
G1985	to raise up (seed) = have children
G1986	to open fully
G1987	to deceive
G1988	suddenly
G1989	(mid.) to despair
G1990	to send out
G1991	to be attached to
G1992	to finish
G1993	to flash like lightning
G1994	immediately
G1995	to raise
G1996	to leave
G1998	to convict
G1999	(pass.) to be dragged away
G2000	vomit
G2001	to search intently
G2002	to go out
G2003	it is legal
G2004	to make a search
G2006	to stand out
G2007	to tell
G2008	sixty
G2009	next
G2010	(pass.) to ring out
G2011	constant use
G2014	to amaze
G2015	to have power
G2016	exodus
G2017	(pass.) to be completely cut off from
G2018	(act.) to consent
G2019	to charge under oath
G2020	one driving out evil spirits
G2021	to dig through
G2022	(pass.) to be rejected
G2023	(pass.) to be rejected
G2024	to treat with contempt
G2025	despise
G2026	authority
G2027	to have power over
G2028	authoritative
G2029	leading
G2030	to wake up
G2031	awake
G2032	out
G2033	from the outside
G2034	to drive out
G2035	outside
G2036	to be like
G2037	to celebrate a festival
G2038	feast
G2039	promise
G2040	to promise
G2041	promise
G2042	to bring upon
G2043	to contend
G2044	(pass.) to increase
G2045	Epenetus
G2046	to praise
G2047	praise
G2048	to lift up
G2049	to be ashamed of
G2050	to beg
G2051	to follow after
G2052	to hear
G2053	to listen to
G2054	when
G2055	necessarily
G2056	to put out (to sea)
G2057	to remind again
G2058	to rest on
G2059	to return (home)
G2060	to rebel against
G2061	correcting
G2062	above
G2063	accursed
G2064	to help
G2065	province
G2066	belonging to an eparch
G2067	pertaining to the eparch
G2068	place to live
G2069	the next day
G2070	pertaining to being caught in the act
G2071	Epaphras
G2072	to foam up
G2073	Epaphroditus
G2074	to stir up
G2075	since
G2076	when
G2077	inasmuch as
G2078	to show favor
G2079	the next day (from a verb that means <i>to follow
G2080	since
G2081	introduction
G2082	to come in
G2083	then
G2084	beyond
G2085	to strain toward
G2086	to be clothed with
G2087	outer garment
G2088	to come
G2089	to ask
G2090	pledge
G2091	(tr.) hold out
G2092	to mistreat
G2093	(gen.) on
G2094	to go up
G2095	(tr.) to throw over
G2096	to burden
G2097	to put (someone) on (a mount)
G2098	to look at
G2099	patch
G2100	to cry out loudly
G2101	plan
G2102	to marry (as next of kin)
G2103	being on the earth
G2104	to come up
G2105	to know (fully)
G2106	knowledge
G2107	inscription
G2108	(act.) to write
G2109	to show
G2110	to welcome
G2111	to live as a visitor
G2112	to add to (a covenant)
G2113	to give
G2114	to straighten out
G2115	to go down
G2116	gentleness
G2117	gentle
G2118	to look for
G2119	condemned to die
G2120	laying on
G2121	to long for
G2122	one who desires
G2123	desire
G2124	to offer a sacrifice
G2125	to sit down (upon)
G2126	(act./pass.) to call (upon)
G2127	cover-up
G2128	(pass.) to be covered
G2129	cursed
G2130	to lay upon
G2131	to run aground
G2132	to gain in addition
G2133	(poll) tax
G2134	Epicurean
G2135	help
G2136	to shout threats
G2137	to decide
G2138	to take hold
G2139	to shine out
G2140	to forget
G2141	(pass.) to be called
G2142	to not have (time)
G2143	to lick
G2144	forgetfulness
G2145	remaining
G2146	interpretation
G2147	to explain
G2148	to testify that
G2149	needs
G2150	to take care of
G2151	carefully
G2152	to stay
G2153	to accept
G2154	thought
G2155	to break an oath
G2156	perjured
G2157	what recurs on a day to day basis
G2158	to fall upon
G2159	to rebuke
G2160	to long for
G2161	longing (for)
G2162	longed for
G2163	longing
G2164	to come to
G2165	to sew on
G2166	to throw on
G2167	to urge on
G2168	notorious
G2169	food
G2170	to visit
G2171	to get ready
G2172	to rest upon
G2173	to cast a shadow
G2174	to see to
G2175	coming
G2176	overseer or bishop
G2177	to (attempt to) conceal circumcision
G2178	to sow afterward
G2179	to understand
G2180	stirring up
G2181	master
G2182	to write a letter
G2183	understanding
G2184	understanding
G2185	to strengthen
G2186	letter
G2187	to silence
G2188	to turn (around
G2189	conversion
G2190	to gather together
G2191	gathering
G2192	to run together to
G2193	to sew on
G2194	uprising
G2195	dangerous
G2196	to insist
G2197	to gather a great number
G2198	command
G2199	to command
G2200	to finish
G2201	needful
G2202	to place
G2203	to rebuke
G2204	punishment
G2205	to let
G2206	to be governor
G2207	commission
G2208	foreman
G2209	to obtain
G2210	(act.) to appear
G2211	appearing
G2212	glorious
G2213	to shine on
G2214	to bring upon
G2215	to shout
G2216	to dawn
G2217	to attempt
G2218	attempt
G2219	to pour on
G2220	to support
G2221	support
G2222	to put on
G2223	to touch
G2224	to build up
G2225	to run aground
G2226	(pass.) to be called
G2227	to see
G2228	eyewitness
G2229	word
G2230	heavenly
G2231	seven
G2232	seven times
G2233	seven thousand
G2234	sevenfold
G2235	Erastus
G2236	to search
G2237	to work
G2238	trade
G2239	worker
G2240	work
G2241	to stir up
G2242	to stick fast
G2243	to utter
G2244	remote place
G2245	deserted
G2246	(pass.) to be brought to ruin
G2247	desolation
G2248	to quarrel
G2249	selfish ambition
G2250	wool
G2251	quarrel
G2252	goat
G2253	(young) goat
G2254	Hermas
G2255	interpretation
G2256	translator
G2257	to translate
G2258	Hermes
G2259	Hermogenes
G2260	reptile
G2261	red
G2262	to come
G2263	to ask
G2264	clothing
G2265	government
G2266	to eat
G2267	to eat
G2268	Esli
G2269	mirror
G2270	evening
G2271	pertaining to the evening
G2272	Hezron
G2273	to be inferior
G2274	last (of a series)
G2276	in
G2277	from within
G2278	inner
G2279	friend
G2280	speaking in a foreign language
G2281	to teach false doctrine
G2282	to yoke together in a mismatch
G2283	other
G2285	still
G2286	to prepare
G2288	readiness
G2289	ready
G2291	year
G2292	well
G2293	Eve
G2294	to preach (bring) the good news (gospel
G2295	gospel
G2296	evangelist
G2297	to please
G2298	pleasing
G2300	Eubulus
G2301	well done!
G2302	of noble birth
G2303	glibness
G2304	fair weather
G2305	to be well pleased
G2306	goodwill
G2307	act of kindness
G2308	to do good to
G2309	benefactor
G2310	fit
G2311	immediately
G2312	to sail straight
G2313	to keep up one's courage
G2314	encouraged
G2316	to make straight
G2317	immediately
G2319	righteousness
G2320	to have a chance to
G2321	opportunity
G2322	opportune
G2324	easy
G2325	reverence
G2326	to have holy fear
G2327	devout
G2328	to praise
G2329	worthy of being praised
G2330	blessing
G2331	generous
G2332	Eunice
G2333	to settle matters by coming to terms
G2334	wholeheartedness
G2335	to emasculate
G2336	eunuch
G2337	Euodia
G2338	(pass.) to get along with
G2339	devoted
G2340	submissive
G2341	easily distracting
G2342	easily entangling
G2343	doing good
G2344	to have (financial) ability
G2345	prosperity
G2346	beauty
G2347	acceptable
G2348	constant
G2349	to make a good impression
G2350	northeast wind
G2351	(act.) to find
G2353	broad
G2354	godliness
G2355	to worship
G2356	devout
G2357	in a godly manner
G2358	intelligible
G2359	compassionate
G2360	to behave in an affected manner
G2361	decently
G2362	modesty
G2363	presentable
G2364	vehemently
G2365	coarse joking
G2366	Eutychus
G2367	good report
G2368	admirable
G2369	to produce a good crop
G2370	(act.) to cause celebration
G2371	Euphrates
G2372	joy
G2373	to thank
G2374	expression of thanks
G2375	thankful (in word and attitude)
G2376	vow
G2377	to pray for
G2378	useful
G2379	to be cheerful
G2381	left (direction)
G2382	banquet
G2383	to jump on
G2384	once for all
G2385	Ephesian
G2386	Ephesian
G2387	Ephesus
G2388	inventor
G2389	(priestly) division
G2390	daily
G2391	to come (to)
G2392	to approach
G2393	to gaze upon
G2394	Ephraim
G2395	ephphatha!
G2396	yesterday
G2397	hostility
G2398	(n.) enemy
G2399	viper
G2400	(tr.) to have
G2401	up to
G2404	Zebulun
G2405	Zacchaeus
G2406	Zerah
G2408	Zechariah
G2409	to be alive
G2411	Zebedee
G2412	hot
G2413	to connect
G2414	yoke
G2415	rope
G2416	Zeus
G2417	to have great fervor
G2418	to be earnest
G2419	zeal
G2420	to desire
G2421	zealot
G2422	loss
G2423	(pass.) to forfeit
G2424	Zenas
G2426	to look for
G2427	question for discussion
G2428	argument
G2429	weed
G2431	Zerubbabel
G2432	blackness
G2433	yoke
G2434	yeast
G2435	to leaven
G2436	to capture (alive)
G2437	life
G2438	belt
G2439	to dress
G2440	to dress
G2441	to give life
G2442	living creature
G2443	to make alive
G2448	to govern
G2449	reign
G2450	ruler
G2451	to lead
G2452	gladly
G2453	already
G2454	pleasure
G2455	mint
G2457	to come
G2458	Eli [Hebrew: my God]
G2460	Elijah
G2461	life
G2462	how much
G2463	sun
G2464	nail (used in crucifixion)
G2465	day
G2466	our
G2467	half dead
G2468	half (temporal and spacial)
G2469	half an hour
G2471	when
G2472	than
G2473	gentle
G2474	Er
G2476	Herod
G2477	Herodians
G2478	Herodias
G2479	Herodion
G2480	Isaiah
G2481	Esau
G2482	for the worse
G2483	to be silent
G2484	quietness
G2485	quiet
G2486	(in a series) whether...or
G2487	to be mastered
G2488	loss
G2489	for the worse
G2490	to resound
G2491	sound
G2496	girl
G2497	Thaddaeus
G2498	sea
G2499	to care for
G2500	Tamar
G2501	(pass.) to be amazed
G2502	amazement
G2503	deadly
G2504	deadly
G2505	death
G2506	to put to death
G2507	to bury
G2508	Terah
G2509	to have confidence
G2510	take heart!
G2511	encouragement
G2512	wonder
G2513	to be amazed (at)
G2514	wonderful
G2515	wonderful
G2516	goddess
G2517	to see
G2518	to publicly expose
G2519	theatre
G2520	sulfur
G2521	divine
G2522	divine nature
G2523	(yellow) as sulfur
G2524	Thecla
G2525	will
G2526	will
G2527	to will
G2528	foundation
G2529	foundation
G2530	to lay a foundation
G2531	taught by God
G2532	one who speaks of God or divine things
G2533	to fight against God
G2534	fighting against God
G2535	God-breathed
G2536	God
G2537	worship of God
G2538	godly
G2539	God-hating
G2540	Deity
G2541	Theophilus
G2542	service
G2543	to serve
G2544	servant
G2545	to reap
G2546	harvest
G2547	harvester
G2548	(mid.) to keep warm
G2549	heat
G2550	summer
G2551	Thessaly
G2552	Thessalonian
G2553	Thessalonica
G2554	Theudas
G2555	to see
G2556	sight
G2557	sheath
G2558	to nurse a baby
G2559	female
G2560	trap
G2561	to catch in a mistake
G2562	to fight wild animals
G2563	(wild) animal
G2564	to store up
G2565	treasure
G2566	to touch
G2567	(act.) to press upon
G2568	trouble
G2569	(perf.) to have died
G2570	mortal
G2571	(pass.) to be upset
G2572	to start a riot
G2573	uproar
G2574	to break
G2575	(pass.) to be oppressed
G2576	livestock
G2577	to sing a funeral dirge
G2578	dirge
G2579	religion
G2580	religious
G2581	to lead in a triumphal procession
G2582	hair
G2583	(pass.) to be alarmed
G2584	drop
G2585	throne
G2586	to break in pieces
G2587	Thyatira
G2588	daughter
G2589	little daughter
G2590	storm
G2591	citron
G2592	incense
G2593	incense altar
G2594	to burn incense
G2595	to quarrel
G2596	wrath
G2597	(pass.) to become angry
G2598	door
G2599	(long
G2600	window
G2601	doorkeeper
G2602	sacrifice
G2603	altar
G2604	to kill
G2605	Thomas
G2606	breastplate
G2608	Jairus
G2609	Jacob
G2610	James
G2611	healing
G2612	Jambres
G2613	Jannai
G2614	Jannes
G2615	(mid.) to heal
G2616	Jared
G2617	healing
G2618	jasper
G2619	Jason
G2620	doctor
G2621	Jachin
G2622	two letters representing the number twelve
G2623	see!
G2624	appearance
G2625	one's own
G2626	ordinary
G2627	look!
G2628	Idumea
G2629	sweat
G2630	Jezebel
G2631	Hierapolis
G2632	priestly office
G2633	priesthood
G2634	to serve as a priest
G2635	Jeremiah
G2636	priest
G2637	Jericho
G2638	sacrificed to pagan gods
G2639	temple
G2640	reverent
G2641	sacred
G2642	Jerusalem
G2643	inhabitant of Jerusalem
G2644	to rob temples
G2645	temple robber
G2646	to perform priestly duty
G2647	Jerusalem
G2648	priesthood
G2649	Jesse
G2650	Jephthah
G2651	Jeconiah
G2652	Jesus
G2653	sufficient
G2654	competence
G2655	to make competent
G2656	petition
G2657	moisture
G2658	Iconium
G2659	cheerful
G2660	cheerfully
G2661	(mid.) to make atonement for
G2662	atoning sacrifice
G2663	atoning sacrifice
G2664	forgiving
G2665	Illyricum
G2666	(leather) thong
G2667	(pass.) to be dressed
G2668	clothing
G2669	clothing
G2670	to desire
G2671	a marker that shows purpose or result: in order that
G2672	why?
G2673	Joppa
G2674	Jordan
G2675	poison
G2677	Judea
G2678	to follow Jewish customs
G2679	Jewish
G2681	Jewish (people)
G2682	Judaism
G2683	Judah
G2684	Julia
G2685	Julius
G2687	Junias
G2688	Justus
G2689	horseman
G2690	mounted (troops)
G2691	horse
G2692	rainbow
G2693	Isaac
G2694	like an angel
G2695	Issachar
G2696	Iscariot
G2697	Iscariot
G2698	equal
G2699	equality
G2700	as precious as
G2701	like
G2702	Israel
G2703	Israelite
G2704	Issachar
G2705	(intr.) to stand
G2706	sail
G2707	to get acquainted with
G2708	powerful
G2709	strength
G2710	to be strong
G2712	Italy
G2713	Italian
G2714	Iturea
G2715	little fish
G2716	fish
G2717	step
G2718	Jotham
G2720	Joanan
G2721	Joanna
G2722	John
G2723	Joash
G2724	Job
G2725	Obed
G2726	Joda
G2727	Joel
G2728	Jonathas
G2729	Jonam
G2731	Jonah
G2732	Jehoram
G2733	Jorim
G2734	Jehoshaphat
G2736	Joses
G2737	Joseph
G2738	Josech
G2739	Josiah
G2740	smallest letter (of the Greek alphabet)
G2742	cab
G2743	and I
G2744	jar
G2745	(just) as
G2746	tearing down
G2747	to take down
G2748	to prune
G2749	as
G2750	to fasten
G2751	to make clean
G2752	cleansing
G2753	scapegoat
G2754	clean
G2755	cleanness
G2756	seat
G2757	to sit down
G2759	in order
G2761	to sleep
G2762	teacher
G2763	to be fitting
G2764	to sit
G2766	daily
G2767	(tr.) to place
G2768	to let down
G2769	see <a href="S:καθίστημι"/>καθίστημι</a>
G2770	to put in charge
G2771	insofar as
G2772	general
G2773	at all
G2774	(mid.) to fully arm or equip (oneself)
G2775	(pass.) to be clearly seen
G2776	as
G2777	as
G2778	just as
G2779	(as a connective) and
G2780	Caiaphas
G2781	even
G2782	Cain
G2783	Cainan
G2784	Cainan
G2785	new
G2786	newness
G2788	though
G2789	time (particular and general)
G2790	Caesar
G2791	Caesarea
G2792	and yet
G2793	although
G2794	to light (a wick)
G2795	and there
G2796	and from there
G2797	and that one
G2798	evil
G2799	malice
G2800	to curse
G2801	suffering
G2802	to suffer trouble
G2803	to do evil
G2804	wrongdoing
G2805	evil
G2806	criminal
G2807	(pass.) to be mistreated
G2808	to harm
G2810	oppression
G2811	straw
G2812	reed
G2813	to call
G2814	cultivated olive tree
G2815	teaching what is good
G2816	Fair Havens
G2817	nobility of character
G2818	to do what is right or good
G2819	good
G2820	veil
G2821	cover
G2823	camel
G2824	rope
G2825	furnace
G2826	close
G2827	to grow weary
G2828	to bend
G2829	and if
G2830	Cana
G2831	Zealot
G2832	Canaanite
G2833	Candace
G2834	rule
G2835	Capernaum
G2836	to act as a peddler
G2837	smoke
G2838	Cappadocia
G2839	eager expectation
G2840	heart
G2841	knower of the heart
G2842	Carpus
G2844	to produce a crop
G2845	crop
G2846	to persevere
G2847	speck
G2848	(gen.) against
G2849	to go down
G2850	(pass.) to be struck down
G2851	to burden
G2852	(pass.) to become heavy
G2853	place that goes down
G2854	to bring down
G2855	to cry out
G2856	creation (of the world)
G2857	to disqualify for a prize
G2858	advocate
G2859	to preach
G2860	to laugh at
G2861	to condemn
G2862	to break
G2863	to write
G2864	to bring
G2865	(mid.) to conquer
G2866	to bandage
G2867	clear
G2868	to condemn
G2869	condemnation
G2870	to look for
G2871	to make a slave
G2872	(act.) to exploit
G2873	cursed thing
G2874	to (call down a) curse
G2875	to dishonor
G2876	to burn up
G2877	(mid.) to cover (the head)
G2878	to boast about
G2879	to lie down (in bed)
G2880	to break in pieces
G2881	to lock up
G2882	to parcel out by lot
G2883	to give as an inheritance
G2884	(act.) to cause to sit
G2885	(pass.) to be deluged
G2886	flood
G2887	to follow
G2888	to cut
G2889	to throw down a cliff
G2890	condemnation
G2891	to condemn
G2892	condemnation
G2893	to stoop down
G2894	to lord it over
G2895	to speak against
G2896	slander
G2897	slanderous
G2898	to obtain
G2899	to put on a list
G2900	remnant
G2901	to leave (behind)
G2902	to stone to death
G2903	reconciliation
G2904	to reconcile (among human beings or between human beings and God)
G2905	remaining
G2906	guest room
G2907	(tr.) throw down
G2908	notice carefully
G2909	to bring testimony against
G2910	to stay
G2911	in private
G2912	curse
G2913	to curse
G2914	to consume
G2915	to burden
G2916	to signal
G2917	to pay attention
G2918	to come to
G2919	stupor
G2920	to be pierced
G2921	(pass.) to be counted worthy
G2922	to trample (an action that can show disdain)
G2923	rest
G2924	to keep from
G2925	curtain
G2926	to burn to ashes
G2927	to swallow
G2928	to fall down
G2929	to sail to
G2930	(pass.) to be oppressed
G2931	(pass.) to be drowned
G2932	curse
G2933	(mid.) to curse
G2934	to nullify
G2935	(pass.) to be numbered among
G2936	to restore
G2937	perfection
G2938	preparation
G2939	to motion
G2940	(act.) to tear down
G2941	to prepare
G2942	to perch
G2943	nest
G2944	to overshadow
G2945	to spy on
G2946	spy
G2947	to deal treacherously with
G2948	(act.) to quiet
G2949	the way one lives
G2950	appearance
G2951	to overturn
G2952	to be filled with desires that conflict with dedication to someone
G2953	ruin
G2954	(pass.) to be scattered
G2955	to drag away (by considerable force)
G2956	to kill
G2958	(pass.) to be sealed up
G2959	possession
G2960	(mid.) to grant a favor
G2961	mutilation
G2962	to shoot down
G2963	to run down
G2964	to shine upon
G2965	to cast (a vote) against
G2966	to flee
G2967	(pass.) to be depraved
G2968	to kiss
G2969	to despise
G2970	scoffer
G2971	to shout at
G2972	to pour out
G2973	under the earth
G2974	to make full use of
G2975	to be enrolled
G2976	to cool off
G2977	full of idols / images
G2978	ahead
G2979	in the sight of
G2980	to exercise authority over
G2981	to produce
G2982	to go down
G2983	to eat up
G2984	to eat up
G2985	to guide
G2986	to bless (intensely)
G2987	to make an attack upon
G2988	to hold back
G2989	to accuse
G2990	(legal) charge
G2991	accuser
G2992	accuser
G2993	gloominess
G2994	(act.) to instruct
G2995	(pass.) to become corroded
G2996	to overcome
G2997	to live in
G2998	where one lives
G2999	dwelling place
G3000	where one lives
G3001	to cause to live in
G3002	(mid.) to reflect or to look at
G3003	success
G3004	below
G3005	lower
G3006	under
G3007	Cauda
G3008	(scorching) heat
G3009	(act.) to scorch
G3010	to be scorched by the heat
G3011	burning
G3012	(pass.) to be consumed by fire
G3013	(pass.) to be seared as with a hot iron
G3014	(scorching) heat
G3015	(pass.) to be seared with a hot iron
G3016	to boast
G3017	something to boast about
G3018	boasting
G3019	Capernaum
G3020	Cenchrea
G3021	cedar tree
G3022	Kidron
G3023	to lay
G3024	strip of linen
G3025	(act.) to shear (another)
G3026	(loud) command
G3027	to order
G3029	vain conceit
G3030	conceited
G3031	empty
G3032	chatter
G3033	to empty
G3034	sting
G3035	centurion
G3037	least stroke of a pen
G3038	potter
G3039	pertaining to a potter
G3040	clay jar
G3041	clay roof tile
G3042	to mix
G3043	horn
G3044	carob pod
G3045	to gain
G3046	gain
G3047	coin
G3048	money exchanger
G3049	the (main) point
G3050	to strike on the head
G3051	head (of a body)
G3052	to strike on the head
G3053	section of a scroll
G3054	to take care of
G3055	to muzzle
G3056	(poll) tax
G3057	garden
G3058	gardener
G3059	wax
G3060	preaching
G3061	herald
G3062	to preach
G3063	huge fish
G3064	Cephas (Aramaic for Peter)
G3065	ciborium
G3066	ark
G3067	harp
G3068	to play the harp or lyre
G3069	harpist
G3070	Cilicia
G3071	Cilician
G3073	to be in danger
G3074	danger
G3075	to move
G3076	motion
G3077	cinnamon
G3078	Kish
G3079	to lend
G3080	branch
G3081	to weep
G3082	breaking
G3083	broken piece
G3084	Clauda
G3086	Claudia
G3087	Claudius
G3088	weeping
G3089	to break
G3090	key
G3091	to close
G3092	theft
G3093	Cleopas
G3094	credit
G3095	thief
G3096	steal
G3097	branch (in context
G3098	Clement
G3099	to inherit
G3100	inheritance
G3101	heir
G3102	(casting) lots
G3103	(pass.) to be chosen
G3104	call
G3105	called
G3106	(fire of a) furnace
G3107	region
G3108	bed
G3109	bed
G3110	bed
G3111	to bow down
G3112	group reclining for a meal
G3113	theft
G3114	raging waters
G3115	to be tossed back and forth by waves
G3116	Clopas
G3117	(pass.) to feel an itch
G3118	Cnidus
G3119	penny
G3120	any and all internal organs
G3121	(pass.) to fall asleep
G3122	(noun) sleep
G3123	common
G3124	to make (ceremonially) unclean
G3125	to share in
G3126	fellowship
G3127	willing to share
G3128	partner
G3130	(marriage) bed
G3131	bedroom
G3132	scarlet
G3133	seed
G3134	to punish
G3135	flattery
G3136	punishment
G3137	Colossian
G3138	Colosse
G3139	to strike with the fists
G3140	(mid.) to join
G3141	eye salve
G3142	money exchanger
G3143	to cut short
G3144	Colossian
G3145	Colosse
G3146	lap area: side
G3147	to swim
G3148	pool
G3149	Roman colony
G3150	to have long hair
G3151	(long) hair
G3152	(act.) to bring
G3153	better
G3154	(pass.) to be whitewashed
G3155	dust
G3156	to die down
G3157	mourning
G3158	defeat
G3159	to work
G3160	labor
G3161	manure pile
G3162	fertilizer
G3163	dung
G3164	to cut
G3165	raven
G3166	(little) girl
G3167	Corban
G3168	temple treasury
G3169	Korah
G3170	(pass.) to be filled to the full
G3171	Corinthian
G3172	Corinth
G3173	Cornelius
G3174	cor (dry measure between ten and twelve bushels)
G3175	to make beautiful
G3176	earthly
G3177	respectable
G3179	(pl.) powers of the world
G3180	world: earth
G3181	Quartus
G3182	koum (Aramaic: stand up!)
G3183	koumi (Aramaic: stand up!)
G3184	guard
G3185	to lighten
G3186	basket of various sizes and considered typical of the Jews
G3187	bed
G3188	bed
G3189	call out
G3190	dissipation
G3191	skull
G3192	edge
G3193	mighty
G3194	(pass.) to be strong
G3195	to arrest
G3196	most excellent
G3197	power
G3198	to shout
G3199	crying out
G3200	meat
G3201	better
G3202	better
G3203	to hang on
G3204	steep bank
G3205	Cretan
G3206	Crescens
G3207	Crete
G3208	barley
G3209	made of barley (flour)
G3210	judgment
G3211	lily
G3212	to decide
G3213	judgment (human or divine)
G3214	Crispus
G3215	court of law
G3216	judge
G3217	able to discern or judge
G3218	to knock (on a gate or door)
G3219	hidden place
G3220	hidden
G3221	to hide
G3222	to be clear as crystal
G3223	rock crystal
G3224	hidden
G3225	in secret
G3226	hidden
G3227	to get
G3228	wealth
G3229	(domestic) animal: donkey
G3230	(land) owner
G3231	to create
G3232	creation
G3233	creature
G3234	Creator
G3235	cunning
G3236	administration
G3237	sea captain
G3238	to surround
G3239	(all) around
G3240	to surround: gather around
G3241	all around
G3242	wallowing
G3243	wallowing
G3244	(mid.) to roll around
G3245	crippled
